2015-06-30-17 55 58.663	1.125946 3.1657867 8.792053
2015-06-30-17 55 58.670	1.2437744 3.2419586 8.793243
2015-06-30-17 55 58.675	1.3009033 3.3419342 8.820618
2015-06-30-17 55 58.680	1.2770996 3.2943268 8.930115
2015-06-30-17 55 58.684	1.2318726 3.4038239 8.825378
2015-06-30-17 55 58.689	1.1759338 3.4252472 8.664703
2015-06-30-17 55 58.694	1.0093079 3.4097748 8.527832
2015-06-30-17 55 58.700	0.8426819 3.4609528 8.429047
2015-06-30-17 55 58.704	0.86886597 3.526413 8.149353
2015-06-30-17 55 58.709	0.82244873 3.5168915 7.8172913
2015-06-30-17 55 58.714	0.7319946 3.545456 7.7863464
2015-06-30-17 55 58.720	0.6915283 3.6109161 7.868469
2015-06-30-17 55 58.725	0.7748413 3.6882782 7.8137207
2015-06-30-17 55 58.729	0.683197 3.6382904 7.776825
2015-06-30-17 55 58.737	0.7105713 3.6192474 7.854187
2015-06-30-17 55 58.740	0.7653198 3.5621185 7.9851074
2015-06-30-17 55 58.745	0.72961426 3.4657135 8.263611
2015-06-30-17 55 58.750	0.7034302 3.4157257 8.658752
2015-06-30-17 55 58.755	0.65701294 3.3550262 8.845612
2015-06-30-17 55 58.760	0.734375 3.2395782 9.246704
2015-06-30-17 55 58.765	0.7415161 3.1943512 9.466888
2015-06-30-17 55 58.770	0.8010254 3.1431732 9.660889
2015-06-30-17 55 58.775	0.72128296 3.1562653 9.6085205
2015-06-30-17 55 58.781	0.7581787 3.0277252 9.73468
2015-06-30-17 55 58.785	0.7081909 2.9908295 9.687073
2015-06-30-17 55 58.790	0.68081665 3.0027313 9.838226
2015-06-30-17 55 58.795	0.73080444 2.968216 9.940582
2015-06-30-17 55 58.801	0.7105713 2.9979706 10.084595
2015-06-30-17 55 58.806	0.68914795 2.9694061 10.325012
2015-06-30-17 55 58.810	0.68914795 2.9967804 10.407135
2015-06-30-17 55 58.815	0.7093811 2.9277496 10.50473
2015-06-30-17 55 58.820	0.6760559 2.956314 10.56662
2015-06-30-17 55 58.825	0.535614 2.8682404 10.604706
2015-06-30-17 55 58.830	0.47610474 2.8170624 10.746338
