2015-07-07-18 33 24.728	-6.5614624 -1.0546112 11.253357
2015-07-07-18 33 24.732	-5.9639893 -0.63923645 10.588043
2015-07-07-18 33 24.738	-5.397461 -0.3047943 10.375
2015-07-07-18 33 24.744	-4.9071045 -0.071517944 10.4999695
2015-07-07-18 33 24.749	-4.3869934 0.099868774 10.786804
2015-07-07-18 33 24.754	-3.987091 0.14628601 11.20813
2015-07-07-18 33 24.759	-3.6193237 0.057022095 11.508057
2015-07-07-18 33 24.766	-3.1194458 -0.050094604 11.990082
2015-07-07-18 33 24.769	-3.1194458 -0.050094604 11.990082
2015-07-07-18 33 24.774	-2.927826 -0.13816833 12.036499
2015-07-07-18 33 24.779	-2.780243 -0.16673279 11.902008
2015-07-07-18 33 24.784	-2.7302551 -0.08699036 11.756805
2015-07-07-18 33 24.789	-2.6362305 -0.02748108 11.516388
2015-07-07-18 33 24.794	-2.7397766 -0.041763306 11.126007
2015-07-07-18 33 24.799	-2.8111877 -0.11079407 10.739197
2015-07-07-18 33 24.804	-2.8266602 -0.1572113 10.186951
2015-07-07-18 33 24.809	-2.8754578 -0.34407043 9.589478
2015-07-07-18 33 24.817	-2.948059 -0.4797516 8.986053
2015-07-07-18 33 24.819	-2.8433228 -0.48332214 8.634949
2015-07-07-18 33 24.824	-2.69812 -0.4547577 8.176727
2015-07-07-18 33 24.829	-2.5529175 -0.51426697 7.5185547
2015-07-07-18 33 24.834	-2.3660583 -0.3047943 6.873474
2015-07-07-18 33 24.839	-1.9256897 0.020126343 6.109375
2015-07-07-18 33 24.844	-1.5817261 0.33433533 5.447632
2015-07-07-18 33 24.850	-1.1937256 0.40693665 4.741852
2015-07-07-18 33 24.854	-1.1818237 0.44502258 4.1539
2015-07-07-18 33 24.860	-1.8126221 0.059402466 4.000366
2015-07-07-18 33 24.865	-2.395813 0.22721863 3.698059
2015-07-07-18 33 24.870	-2.3743896 0.70329285 3.3350525
2015-07-07-18 33 24.874	-2.132782 0.98298645 3.3338623
2015-07-07-18 33 24.880	-2.062561 1.1389008 3.465973
2015-07-07-18 33 24.885	-1.888794 1.1972198 3.6004639
2015-07-07-18 33 24.890	-1.716217 1.2543488 3.993225
2015-07-07-18 33 24.895	-1.5603027 1.3043365 4.295532
2015-07-07-18 33 24.899	-1.5650635 1.3102875 4.5799866
2015-07-07-18 33 24.905	-1.7792969 1.2531586 4.2895813
2015-07-07-18 33 24.910	-1.9744873 1.4055023 4.5359497
2015-07-07-18 33 24.916	-2.18396 1.3412323 5.0477295
2015-07-07-18 33 24.920	-2.0935059 1.2531586 5.9070435
2015-07-07-18 33 24.925	-1.9732971 1.0329742 6.6199646
2015-07-07-18 33 24.930	-1.9911499 0.787796 7.328125
2015-07-07-18 33 24.935	-2.0018616 0.74494934 7.982727
2015-07-07-18 33 24.940	-1.9971008 0.7223358 8.527832
2015-07-07-18 33 24.945	-2.0649414 0.7068634 8.884888
2015-07-07-18 33 24.950	-2.203003 0.72709656 9.063416
2015-07-07-18 33 24.955	-2.2601318 0.59617615 9.175293
2015-07-07-18 33 24.960	-2.421997 0.50453186 9.390717
2015-07-07-18 33 24.968	-2.2339478 0.47477722 9.051514
2015-07-07-18 33 24.972	-1.9459229 0.53904724 8.799194
2015-07-07-18 33 24.975	-1.8197632 0.50691223 8.507599
2015-07-07-18 33 24.980	-1.7269287 0.6104584 8.12912
2015-07-07-18 33 24.986	-1.6257629 0.72709656 7.7470703
2015-07-07-18 33 24.991	-1.4412842 0.8211212 7.404297
