2015-07-01-15 51 46.480	0.123809814 2.006546 9.622803
2015-07-01-15 51 46.490	1.1188049 2.28862 10.290497
2015-07-01-15 51 46.494	1.8079224 2.5290375 10.768951
2015-07-01-15 51 46.505	2.1733093 2.7111359 11.084351
2015-07-01-15 51 46.507	2.3089905 2.7611237 11.14386
2015-07-01-15 51 46.510	2.1554565 2.814682 10.773712
2015-07-01-15 51 46.513	1.6936646 2.5695038 10.399994
2015-07-01-15 51 46.518	1.3104248 2.4564362 9.832275
2015-07-01-15 51 46.523	0.82125854 2.2921906 9.268127
2015-07-01-15 51 46.528	0.43325806 1.955368 8.658752
2015-07-01-15 51 46.533	0.046447754 1.7280426 7.8898926
2015-07-01-15 51 46.538	-0.2868042 1.6268768 7.193634
2015-07-01-15 51 46.543	-0.46176147 1.6911469 6.897278
2015-07-01-15 51 46.548	-0.5938721 1.7732697 6.917511
2015-07-01-15 51 46.553	-0.4260559 1.9529877 7.2924194
2015-07-01-15 51 46.558	0.09524536 2.0874786 7.893463
2015-07-01-15 51 46.566	0.20474243 2.2207794 8.370728
2015-07-01-15 51 46.568	0.07620239 2.3088531 8.563538
2015-07-01-15 51 46.573	-0.18563843 2.301712 8.64328
2015-07-01-15 51 46.578	-0.2701416 2.2088776 8.9027405
2015-07-01-15 51 46.583	-0.2618103 2.2588654 9.043182
2015-07-01-15 51 46.588	-0.3534546 2.2029266 9.101501
2015-07-01-15 51 46.594	-0.5438843 2.1850739 8.77063
2015-07-01-15 51 46.599	-0.96759033 2.127945 8.057709
2015-07-01-15 51 46.603	-0.96759033 2.127945 8.057709
2015-07-01-15 51 46.608	-1.0390015 2.1493683 7.880371
2015-07-01-15 51 46.614	-1.2246704 2.0874786 7.547119
2015-07-01-15 51 46.618	-1.4353333 1.9506073 7.378113
2015-07-01-15 51 46.623	-1.5472107 1.8625336 7.161499
2015-07-01-15 51 46.628	-1.5971985 1.7768402 6.7294617
2015-07-01-15 51 46.634	-1.6567078 1.7399445 6.5164185
2015-07-01-15 51 46.638	-1.748352 1.5804596 6.3962097
2015-07-01-15 51 46.644	-1.7304993 1.461441 6.404541
2015-07-01-15 51 46.649	-1.9280701 1.3305206 6.423584
2015-07-01-15 51 46.654	-1.9125977 1.2936249 6.4854736
2015-07-01-15 51 46.658	-1.7424011 1.4257355 6.7615967
2015-07-01-15 51 46.664	-1.5281677 1.724472 7.0281982
2015-07-01-15 51 46.669	-1.0223389 2.0172577 7.3114624
2015-07-01-15 51 46.674	-0.4093933 2.2100677 7.5304565
2015-07-01-15 51 46.679	0.113098145 2.493332 7.9803467
2015-07-01-15 51 46.684	0.8022156 2.7789764 8.539734
