2015-07-01-16 00 09.514	-0.80929565 4.0120087 7.950592
2015-07-01-16 00 09.519	-0.77597046 4.1405487 7.7434998
2015-07-01-16 00 09.525	-0.9104614 4.1453094 7.4709473
2015-07-01-16 00 09.532	-1.1056519 3.9524994 7.162689
2015-07-01-16 00 09.536	-1.3984375 3.770401 6.9139404
2015-07-01-16 00 09.542	-1.619812 3.4657135 6.815155
2015-07-01-16 00 09.545	-1.4365234 2.8432465 7.1269836
2015-07-01-16 00 09.550	-0.94854736 2.2517242 8.339783
2015-07-01-16 00 09.555	-0.6581421 1.7732697 10.173859
2015-07-01-16 00 09.560	-0.35821533 1.3983612 11.312866
2015-07-01-16 00 09.567	-0.17492676 1.0746307 10.927246
2015-07-01-16 00 09.570	-0.10232544 0.89967346 11.2569275
2015-07-01-16 00 09.576	0.20236206 0.8972931 11.91153
2015-07-01-16 00 09.580	0.5344238 1.1638947 12.279297
2015-07-01-16 00 09.585	0.6534424 1.4055023 12.484009
2015-07-01-16 00 09.590	0.5713196 1.6899567 12.694672
2015-07-01-16 00 09.595	0.44039917 1.9839325 12.894623
2015-07-01-16 00 09.600	0.3059082 2.250534 12.914856
2015-07-01-16 00 09.605	-0.09994507 2.4897614 12.902954
2015-07-01-16 00 09.610	-0.87713623 2.640915 12.911285
2015-07-01-16 00 09.616	-1.8530884 2.8491974 12.827972
2015-07-01-16 00 09.620	-2.4874573 2.6337738 12.312622
2015-07-01-16 00 09.625	-2.6350403 1.1638947 10.435699
2015-07-01-16 00 09.631	-2.8754578 1.4911957 10.603516
2015-07-01-16 00 09.636	-2.8825989 1.5673676 10.563049
2015-07-01-16 00 09.640	-2.4624634 1.3388519 9.687073
2015-07-01-16 00 09.645	-1.8031006 0.7378082 8.880127
2015-07-01-16 00 09.651	-0.7295532 0.12843323 8.346924
2015-07-01-16 00 09.656	0.66415405 -0.14888 8.484985
2015-07-01-16 00 09.661	2.235199 -0.22743225 9.35025
2015-07-01-16 00 09.666	3.024292 0.07606506 11.260498
2015-07-01-16 00 09.671	2.0185852 0.7901764 13.683716
2015-07-01-16 00 09.676	0.4296875 1.3626556 15.654663
2015-07-01-16 00 09.682	-0.33441162 1.4304962 16.865082
2015-07-01-16 00 09.686	-0.101135254 1.2067413 17.56134
2015-07-01-16 00 09.691	0.5463257 0.5592804 17.269745
2015-07-01-16 00 09.697	0.7605591 -0.15126038 17.001953
2015-07-01-16 00 09.701	0.59036255 -0.6761322 16.372345
2015-07-01-16 00 09.706	0.24758911 -1.0236664 15.484467
2015-07-01-16 00 09.711	-0.29632568 -1.3021698 14.559692
2015-07-01-16 00 09.717	-0.7890625 -1.4795074 13.58374
2015-07-01-16 00 09.721	-1.0735168 -1.5033112 12.576843
2015-07-01-16 00 09.727	-1.3877258 -1.5521088 11.927002
2015-07-01-16 00 09.732	-1.4448547 -1.4473724 11.422363
2015-07-01-16 00 09.737	-1.472229 -1.3140717 10.899872
2015-07-01-16 00 09.741	-1.4293823 -1.0677032 10.257172
2015-07-01-16 00 09.746	-1.1877747 -0.8165741 9.7323
