2015-07-10-15 48 59.400	-1.9125977 -0.36787415 9.99176
2015-07-10-15 48 59.410	-2.6862183 -0.42500305 9.212189
2015-07-10-15 48 59.412	-2.6862183 -0.42500305 9.212189
2015-07-10-15 48 59.417	-3.1194458 -0.49998474 8.940826
2015-07-10-15 48 59.421	-3.2991638 -0.31669617 8.481415
2015-07-10-15 48 59.426	-3.255127 -0.04057312 8.075562
2015-07-10-15 48 59.431	-3.2158508 0.13676453 7.610199
2015-07-10-15 48 59.436	-3.1372986 0.345047 7.174591
2015-07-10-15 48 59.442	-2.9444885 0.6985321 6.704468
2015-07-10-15 48 59.446	-2.8349915 1.0472565 6.391449
2015-07-10-15 48 59.451	-2.4434204 1.2531586 5.9844055
2015-07-10-15 48 59.456	-2.2434692 1.3745575 6.264099
2015-07-10-15 48 59.461	-2.0018616 1.4971466 6.712799
2015-07-10-15 48 59.466	-1.6400452 1.6054535 7.42572
2015-07-10-15 48 59.471	-1.1806335 1.9077606 8.099365
2015-07-10-15 48 59.479	-0.62957764 2.1505585 8.936066
2015-07-10-15 48 59.481	-0.17373657 2.564743 9.6918335
2015-07-10-15 48 59.486	-0.05947876 2.5635529 10.136963
2015-07-10-15 48 59.493	-0.25823975 2.3409882 10.131012
2015-07-10-15 48 59.497	-0.5986328 2.0267792 9.929871
2015-07-10-15 48 59.501	-1.0592346 1.8101654 9.817993
2015-07-10-15 48 59.506	-1.4627075 1.5590363 9.587097
2015-07-10-15 48 59.512	-1.8280945 1.4138336 9.462128
2015-07-10-15 48 59.517	-2.0720825 1.2412567 9.339539
2015-07-10-15 48 59.523	-1.8102417 0.9972687 8.728973
2015-07-10-15 48 59.526	-2.1732483 0.7497101 8.949158
2015-07-10-15 48 59.532	-2.5779114 0.5688019 9.269318
2015-07-10-15 48 59.537	-2.7314453 0.40693665 9.184814
2015-07-10-15 48 59.541	-2.6933594 0.3950348 8.927734
2015-07-10-15 48 59.546	-2.6731262 0.39860535 8.70755
2015-07-10-15 48 59.552	-2.7885742 0.47477722 8.64209
2015-07-10-15 48 59.560	-2.7373962 0.6259308 8.444519
2015-07-10-15 48 59.563	-2.8433228 0.78541565 8.432617
2015-07-10-15 48 59.567	-2.8480835 0.8544464 8.420715
2015-07-10-15 48 59.572	-2.6029053 0.9782257 8.658752
2015-07-10-15 48 59.578	-1.8304749 1.1996002 9.303833
2015-07-10-15 48 59.582	-0.9699707 1.5042877 10.348816
2015-07-10-15 48 59.591	-0.21896362 1.5971222 10.916534
2015-07-10-15 48 59.593	0.22497559 1.5721283 11.023651
2015-07-10-15 48 59.597	0.77246094 1.6483002 11.300964
2015-07-10-15 48 59.602	1.1925964 1.7804108 11.706818
2015-07-10-15 48 59.607	1.3901672 1.8327789 11.775848
2015-07-10-15 48 59.612	1.3354187 1.9053802 11.796082
2015-07-10-15 48 59.617	1.228302 1.9220428 11.780609
2015-07-10-15 48 59.622	1.1188049 1.9470367 11.687775
2015-07-10-15 48 59.627	0.92123413 1.8387299 11.422363
2015-07-10-15 48 59.632	0.57369995 1.5685577 11.14267
2015-07-10-15 48 59.637	0.23568726 1.2543488 10.904633
2015-07-10-15 48 59.642	0.0047912598 1.0198822 10.547577
2015-07-10-15 48 59.647	-0.32369995 0.71162415 9.982239
2015-07-10-15 48 59.652	-1.536499 0.16889954 7.823242
2015-07-10-15 48 59.658	-1.6864624 -0.1905365 7.880371
2015-07-10-15 48 59.662	-1.3067932 -0.36192322 8.886078
2015-07-10-15 48 59.667	-1.485321 -0.85227966 8.358826
2015-07-10-15 48 59.676	-0.94973755 -0.85346985 8.762299
2015-07-10-15 48 59.679	-0.16540527 -0.4535675 9.4609375
2015-07-10-15 48 59.682	-0.001159668 -0.035812378 9.813232
2015-07-10-15 48 59.688	-0.042816162 0.22007751 10.447601
2015-07-10-15 48 59.693	0.0345459 0.36289978 10.707062
2015-07-10-15 48 59.698	0.49276733 0.6009369 10.7630005
2015-07-10-15 48 59.703	1.0343018 0.78541565 10.977234
2015-07-10-15 48 59.708	1.6401062 1.0734406 11.306915
2015-07-10-15 48 59.713	1.8293457 1.3543243 11.644928
2015-07-10-15 48 59.719	1.9328918 1.5328522 11.754425
2015-07-10-15 48 59.723	1.8436279 1.5935516 11.753235
2015-07-10-15 48 59.728	1.6412964 1.5471344 11.556854
2015-07-10-15 48 59.733	1.4568176 1.5019073 11.212891
2015-07-10-15 48 59.738	1.3056641 1.3221893 10.957001
2015-07-10-15 48 59.743	1.0700073 1.0484467 10.648743
2015-07-10-15 48 59.748	0.9069519 0.81159973 10.524963
2015-07-10-15 48 59.753	0.7081909 0.71043396 10.422607
2015-07-10-15 48 59.759	0.54751587 0.50453186 10.360718
2015-07-10-15 48 59.763	-0.70336914 0.09867859 10.036987
2015-07-10-15 48 59.768	-0.18444824 0.07130432 10.297638
2015-07-10-15 48 59.773	0.4546814 0.13319397 10.670166
2015-07-10-15 48 59.778	-1.1853943 -0.007247925 10.666595
2015-07-10-15 48 59.783	-0.2939453 0.2379303 11.2117
2015-07-10-15 48 59.788	0.09286499 0.52238464 11.355713
2015-07-10-15 48 59.793	-0.05709839 0.64616394 11.663971
2015-07-10-15 48 59.799	0.27020264 0.659256 11.854401
2015-07-10-15 48 59.803	-0.24157715 0.6675873 12.035309
2015-07-10-15 48 59.808	0.3154297 0.6306915 12.1936035
2015-07-10-15 48 59.814	0.355896 0.47358704 12.260254
2015-07-10-15 48 59.819	0.7438965 0.21174622 12.311432
2015-07-10-15 48 59.825	0.65701294 0.014175415 12.23288
2015-07-10-15 48 59.829	0.6272583 -0.27861023 12.113861
2015-07-10-15 48 59.834	0.8474426 -0.5868683 12.093628
2015-07-10-15 48 59.839	0.57369995 -1.0236664 11.865112
2015-07-10-15 48 59.844	-0.04876709 -1.233139 11.59375
2015-07-10-15 48 59.849	-0.0047302246 -1.3628693 11.541382
2015-07-10-15 48 59.854	-0.013061523 -1.4664154 11.492584
2015-07-10-15 48 59.859	-0.2796631 -1.502121 11.362854
2015-07-10-15 48 59.864	-0.4605713 -1.6282806 11.250977
2015-07-10-15 48 59.869	-0.74264526 -1.7342072 11.029602
2015-07-10-15 48 59.875	-0.6890869 -1.7806244 10.583282
2015-07-10-15 48 59.879	-0.82595825 -1.7532501 10.085785
2015-07-10-15 48 59.885	-0.7128906 -1.6604156 9.558533
2015-07-10-15 48 59.889	-0.5926819 -1.4628448 9.018188
2015-07-10-15 48 59.894	-0.42486572 -1.2617035 8.564728
2015-07-10-15 48 59.900	-0.2939453 -1.034378 8.354065
2015-07-10-15 48 59.904	-0.1463623 -0.7177887 8.120789
2015-07-10-15 48 59.909	-0.04876709 -0.48927307 7.7744446
2015-07-10-15 48 59.914	-0.060668945 -0.28456116 7.476898
2015-07-10-15 48 59.920	-0.026153564 -0.12983704 7.4673767
2015-07-10-15 48 59.924	0.02859497 -0.02748108 7.610199
2015-07-10-15 48 59.929	0.007171631 0.14271545 7.8815613
2015-07-10-15 48 59.934	0.16784668 0.18913269 7.962494
2015-07-10-15 48 59.940	0.40112305 0.14152527 8.107697
2015-07-10-15 48 59.944	0.59750366 0.07368469 8.326691
2015-07-10-15 48 59.949	0.8652954 -0.0917511 8.633759
2015-07-10-15 48 59.955	1.1676025 -0.07746887 9.059845
2015-07-10-15 48 59.960	1.2497253 -0.12864685 9.403809
2015-07-10-15 48 59.965	1.1902161 -0.17030334 9.718018
2015-07-10-15 48 59.970	1.3104248 -0.22624207 9.6596985
2015-07-10-15 48 59.977	1.2663879 -0.31550598 9.639465
2015-07-10-15 48 59.981	1.2663879 -0.31550598 9.639465
2015-07-10-15 48 59.985	1.164032 -0.36073303 9.635895
2015-07-10-15 48 59.990	1.1390381 -0.22981262 9.750153
2015-07-10-15 48 59.995	1.1152344 -0.20362854 9.831085
2015-07-10-15 49 00.000	1.1366577 -0.23695374 10.036987
2015-07-10-15 49 00.005	1.1307068 -0.30241394 10.084595
2015-07-10-15 49 00.010	0.92123413 -0.25480652 10.208374
2015-07-10-15 49 00.015	0.77127075 -0.2476654 10.320251
2015-07-10-15 49 00.021	0.54870605 -0.17030334 10.520203
2015-07-10-15 49 00.025	0.30114746 -0.20362854 10.479736
2015-07-10-15 49 00.031	0.15237427 -0.15245056 10.3012085
2015-07-10-15 49 00.036	0.009552002 -0.11198425 10.146484
2015-07-10-15 49 00.041	-0.12136841 -0.16435242 9.964386
2015-07-10-15 49 00.045	-0.16183472 -0.21791077 9.906067
2015-07-10-15 49 00.050	-0.20944214 -0.2976532 9.73468
2015-07-10-15 49 00.055	-0.3201294 -0.27742004 9.615662
2015-07-10-15 49 00.061	-0.53793335 -0.0917511 9.453796
2015-07-10-15 49 00.065	-0.6093445 -0.057235718 9.3776245
2015-07-10-15 49 00.070	-0.7319336 0.043930054 9.188385
2015-07-10-15 49 00.075	-0.8283386 0.03440857 9.055084
2015-07-10-15 49 00.081	-0.8319092 0.03916931 8.856323
2015-07-10-15 49 00.085	-0.766449 0.08201599 8.776581
2015-07-10-15 49 00.090	-0.8783264 0.16056824 8.746826
2015-07-10-15 49 00.096	-0.85809326 0.18675232 8.64328
2015-07-10-15 49 00.101	-0.7652588 0.24388123 8.542114
2015-07-10-15 49 00.106	-0.80215454 0.3521881 8.507599
2015-07-10-15 49 00.110	-0.77001953 0.42121887 8.379059
2015-07-10-15 49 00.116	-0.7866821 0.50453186 8.3255005
2015-07-10-15 49 00.121	-0.64624023 0.56166077 8.457611
2015-07-10-15 49 00.127	-0.49508667 0.7092438 8.532593
2015-07-10-15 49 00.131	-0.49508667 0.7092438 8.532593
2015-07-10-15 49 00.136	-0.47485352 0.7473297 8.552826
2015-07-10-15 49 00.141	-0.43081665 0.7056732 8.420715
2015-07-10-15 49 00.146	-0.33917236 0.75328064 8.38858
2015-07-10-15 49 00.151	-0.34155273 0.81993103 8.3064575
2015-07-10-15 49 00.156	-0.2939453 0.97465515 8.314789
2015-07-10-15 49 00.161	-0.21658325 1.018692 8.267181
2015-07-10-15 49 00.166	-0.084472656 1.19841 8.335022
2015-07-10-15 49 00.171	-0.055908203 1.3912201 8.38858
2015-07-10-15 49 00.177	0.014312744 1.4376373 8.406433
2015-07-10-15 49 00.182	0.054779053 1.4114532 8.401672
2015-07-10-15 49 00.186	-0.045196533 1.4221649 8.2933655
2015-07-10-15 49 00.191	-0.014251709 1.3709869 8.3255005
2015-07-10-15 49 00.196	-0.09637451 1.3257599 8.420715
2015-07-10-15 49 00.202	-0.15588379 1.3090973 8.470703
2015-07-10-15 49 00.206	-0.21539307 1.3233795 8.6409
2015-07-10-15 49 00.211	-0.43795776 1.3745575 8.936066
2015-07-10-15 49 00.216	-0.46652222 1.4019318 9.113403
2015-07-10-15 49 00.222	-0.5569763 1.3626556 9.407379
2015-07-10-15 49 00.226	-0.6426697 1.2983856 9.569244
2015-07-10-15 49 00.231	-0.5569763 1.3721771 9.54306
2015-07-10-15 49 00.237	-0.6759949 1.3269501 9.572815
2015-07-10-15 49 00.242	-0.6926575 1.3150482 9.500214
2015-07-10-15 49 00.247	-0.7497864 1.3888397 9.4776
2015-07-10-15 49 00.252	-0.7331238 1.4055023 9.537109
2015-07-10-15 49 00.257	-0.7295532 1.4626312 9.639465
2015-07-10-15 49 00.262	-0.7212219 1.4150238 9.656128
2015-07-10-15 49 00.267	-0.651001 1.4150238 9.743011
2015-07-10-15 49 00.272	-0.6426697 1.3578949 9.769196
2015-07-10-15 49 00.279	-0.6331482 1.4007416 9.963196
2015-07-10-15 49 00.283	-0.8235779 1.3805084 9.984619
2015-07-10-15 49 00.287	-0.8783264 1.397171 10.167908
2015-07-10-15 49 00.292	-0.9473572 1.313858 10.230988
2015-07-10-15 49 00.297	-0.9354553 1.3483734 10.251221
2015-07-10-15 49 00.302	-0.94854736 1.3079071 10.288116
2015-07-10-15 49 00.307	-0.99972534 1.3959808 10.353577
2015-07-10-15 49 00.312	-1.0116272 1.4114532 10.403564
2015-07-10-15 49 00.317	-0.93307495 1.480484 10.459503
2015-07-10-15 49 00.323	-0.9711609 1.5269012 10.402374
