2015-07-02-19 20 16.408	-0.63790894 1.2460175 7.764923
2015-07-02-19 20 16.414	-0.48913574 1.3174286 7.911316
2015-07-02-19 20 16.418	-0.31655884 1.3947906 8.022003
2015-07-02-19 20 16.423	-0.16183472 1.4685822 8.337402
2015-07-02-19 20 16.428	-0.053527832 1.4792938 8.590912
2015-07-02-19 20 16.434	0.033355713 1.4531097 8.737305
2015-07-02-19 20 16.441	0.16070557 1.4126434 8.928925
2015-07-02-19 20 16.445	0.12023926 1.3793182 9.125305
2015-07-02-19 20 16.449	0.15713501 1.3067169 9.319305
2015-07-02-19 20 16.454	0.1416626 1.3067169 9.353821
2015-07-02-19 20 16.459	0.20950317 1.2602997 9.47879
2015-07-02-19 20 16.465	0.14047241 1.230545 9.564484
2015-07-02-19 20 16.469	0.06906128 1.0901031 9.553772
2015-07-02-19 20 16.474	0.22854614 1.0996246 9.408569
2015-07-02-19 20 16.479	0.25949097 0.9889374 9.288361
2015-07-02-19 20 16.484	0.3725586 0.99964905 9.115784
2015-07-02-19 20 16.489	0.6034546 0.986557 8.970581
2015-07-02-19 20 16.494	0.8188782 1.0543976 8.780151
2015-07-02-19 20 16.502	1.2211609 1.1579437 8.89917
2015-07-02-19 20 16.504	1.2211609 1.1579437 8.89917
2015-07-02-19 20 16.509	1.3461304 1.2400665 8.895599
2015-07-02-19 20 16.514	1.394928 1.2852936 8.972961
2015-07-02-19 20 16.519	1.4353943 1.3031464 9.132446
2015-07-02-19 20 16.524	1.3723145 1.2710114 9.144348
2015-07-02-19 20 16.529	1.1116638 1.1186676 9.341919
2015-07-02-19 20 16.535	1.1116638 1.1186676 9.341919
2015-07-02-19 20 16.539	0.8391113 1.0841522 9.4288025
2015-07-02-19 20 16.545	0.22140503 0.9460907 9.612091
2015-07-02-19 20 16.550	-0.042816162 0.9210968 9.515686
2015-07-02-19 20 16.555	-0.285614 0.8401642 9.201477
2015-07-02-19 20 16.559	-0.103515625 0.7794647 9.378815
2015-07-02-19 20 16.564	0.29995728 0.7342377 9.60733
2015-07-02-19 20 16.570	0.9497986 0.78660583 9.909637
2015-07-02-19 20 16.575	1.4663391 0.8627777 10.459503
2015-07-02-19 20 16.579	1.8674316 0.9782257 10.934387
2015-07-02-19 20 16.586	2.0780945 1.1079559 11.441406
2015-07-02-19 20 16.590	2.1280823 1.0424957 12.036499
2015-07-02-19 20 16.595	2.0459595 1.0044098 12.505432
2015-07-02-19 20 16.602	2.0566711 0.71281433 12.986267
2015-07-02-19 20 16.605	2.0697632 0.4200287 13.549225
2015-07-02-19 20 16.610	2.1209412 0.008224487 14.644196
2015-07-02-19 20 16.615	2.042389 -0.44166565 15.630859
2015-07-02-19 20 16.620	1.8769531 -0.82728577 15.943878
2015-07-02-19 20 16.625	1.9935913 -1.1962433 15.784393
2015-07-02-19 20 16.630	2.0328674 -1.4366608 15.63324
2015-07-02-19 20 16.643	2.0150146 -1.6913605 15.551117
2015-07-02-19 20 16.644	1.8662415 -1.7722931 15.558258
2015-07-02-19 20 16.645	1.5698853 -1.9282074 15.434479
2015-07-02-19 20 16.653	1.47229 -1.9079742 14.942932
2015-07-02-19 20 16.656	1.324707 -1.9781952 14.082428
2015-07-02-19 20 16.660	1.2211609 -2.099594 13.3480835
2015-07-02-19 20 16.665	1.0926208 -2.194809 12.551849
2015-07-02-19 20 16.671	1.2116394 -2.169815 11.668732
2015-07-02-19 20 16.676	1.3925476 -2.105545 11.071259
2015-07-02-19 20 16.680	1.7055664 -1.8686981 10.601135
2015-07-02-19 20 16.685	2.0507202 -1.6854095 10.1857605
2015-07-02-19 20 16.690	2.4779968 -1.5259247 9.792999
2015-07-02-19 20 16.696	2.8862305 -1.3759613 9.446655
2015-07-02-19 20 16.700	3.2789917 -1.2938385 9.327637
2015-07-02-19 20 16.705	3.569397 -1.1914825 9.315735
2015-07-02-19 20 16.710	3.762207 -1.187912 9.47998
2015-07-02-19 20 16.716	3.9109802 -1.2319489 9.506165
2015-07-02-19 20 16.720	3.9490662 -1.2509918 9.631134
2015-07-02-19 20 16.725	3.9978638 -1.2426605 9.813232
2015-07-02-19 20 16.730	3.9454956 -1.3152618 9.98819
2015-07-02-19 20 16.736	3.7586365 -1.3878632 10.24884
2015-07-02-19 20 16.740	3.5717773 -1.5616302 10.446411
2015-07-02-19 20 16.746	3.2647095 -1.6544647 10.555908
2015-07-02-19 20 16.751	3.1052246 -1.727066 10.655884
2015-07-02-19 20 16.756	2.9707336 -1.778244 10.684448
2015-07-02-19 20 16.761	2.768402 -1.8044281 10.482117
2015-07-02-19 20 16.766	2.7648315 -1.7508698 10.427368
2015-07-02-19 20 16.771	2.6874695 -1.7056427 10.298828
2015-07-02-19 20 16.776	2.6624756 -1.6330414 10.092926
2015-07-02-19 20 16.781	2.69104 -1.5580597 9.898926
2015-07-02-19 20 16.786	2.6672363 -1.3985748 9.494263
2015-07-02-19 20 16.791	2.6351013 -1.2831268 9.111023
2015-07-02-19 20 16.796	2.6172485 -1.1057892 8.702789
2015-07-02-19 20 16.802	2.517273 -0.94392395 8.312408
2015-07-02-19 20 16.806	2.4065857 -0.72969055 7.9339294
2015-07-02-19 20 16.811	2.2328186 -0.5844879 7.609009
2015-07-02-19 20 16.816	2.0709534 -0.38215637 7.194824
2015-07-02-19 20 16.821	1.8352966 -0.24528503 6.860382
2015-07-02-19 20 16.826	1.6032104 -0.13578796 6.5675964
2015-07-02-19 20 16.832	1.4294434 -1.0681152E-4 6.295044
2015-07-02-19 20 16.837	1.324707 0.08558655 6.2295837
2015-07-02-19 20 16.841	1.1914063 0.15818787 5.910614
