2015-07-03-16 09 11.222	0.34399414 1.2650604 7.6708984
2015-07-03-16 09 11.227	-0.1880188 0.6354523 7.8506165
2015-07-03-16 09 11.233	-0.33084106 0.64616394 8.180298
2015-07-03-16 09 11.240	-0.45581055 0.6509247 8.484985
2015-07-03-16 09 11.243	-0.6593323 0.7901764 8.894409
2015-07-03-16 09 11.247	-0.53912354 0.8794403 9.008667
2015-07-03-16 09 11.253	-0.6390991 0.9139557 9.172913
2015-07-03-16 09 11.258	-0.48675537 1.0543976 9.526398
2015-07-03-16 09 11.263	-0.48199463 1.1162872 9.598999
2015-07-03-16 09 11.268	-0.4093933 1.1805573 9.771576
2015-07-03-16 09 11.273	-0.31655884 1.121048 9.891785
2015-07-03-16 09 11.278	-0.18563843 1.0984344 9.938202
2015-07-03-16 09 11.285	-0.18563843 1.0984344 9.938202
2015-07-03-16 09 11.288	0.03930664 1.2186432 10.147675
2015-07-03-16 09 11.293	-0.13565063 1.166275 10.3654785
2015-07-03-16 09 11.301	-0.0975647 1.2722015 10.579712
2015-07-03-16 09 11.304	-0.1296997 1.287674 10.745148
2015-07-03-16 09 11.308	-0.1880188 1.435257 11.08078
2015-07-03-16 09 11.313	-0.29870605 1.4685822 11.472351
2015-07-03-16 09 11.320	-0.31298828 1.5745087 11.85083
2015-07-03-16 09 11.324	-0.35583496 1.6435394 12.032928
2015-07-03-16 09 11.328	-0.35107422 1.6197357 12.270966
2015-07-03-16 09 11.334	-0.28442383 1.5602264 12.167419
2015-07-03-16 09 11.338	-0.3701172 1.4423981 11.892487
2015-07-03-16 09 11.344	-0.41296387 1.3376617 11.479492
2015-07-03-16 09 11.348	-0.5438843 1.2376862 10.9938965
2015-07-03-16 09 11.353	-0.55578613 1.1591339 10.571381
2015-07-03-16 09 11.359	-0.1713562 1.082962 9.99057
2015-07-03-16 09 11.364	-0.10827637 1.0936737 10.389282
2015-07-03-16 09 11.368	-0.071380615 0.9960785 10.704681
2015-07-03-16 09 11.373	0.01550293 0.89372253 11.068878
2015-07-03-16 09 11.379	0.07501221 0.9151459 11.223602
2015-07-03-16 09 11.385	0.05596924 0.9615631 11.354523
2015-07-03-16 09 11.389	-0.020202637 1.0282135 11.459259
2015-07-03-16 09 11.394	-0.13208008 1.185318 11.342621
2015-07-03-16 09 11.399	-0.18920898 1.3305206 11.185516
2015-07-03-16 09 11.404	-0.16897583 1.4245453 10.784424
2015-07-03-16 09 11.409	-0.039245605 1.550705 10.642792
2015-07-03-16 09 11.414	0.10357666 1.6542511 10.773712
2015-07-03-16 09 11.419	0.33447266 1.7209015 10.861786
2015-07-03-16 09 11.424	0.5201416 1.8292084 11.2724
2015-07-03-16 09 11.429	0.8760071 1.7875519 11.384277
2015-07-03-16 09 11.434	1.3842163 1.5971222 11.137909
2015-07-03-16 09 11.439	1.542511 1.1912689 11.417603
2015-07-03-16 09 11.444	1.3711243 0.7342377 11.683014
2015-07-03-16 09 11.450	0.9486084 0.1712799 12.1091
