2015-07-03-16 14 45.226	-0.2784729 -0.90940857 10.263123
2015-07-03-16 14 45.234	-0.3439331 -0.8475189 10.073883
2015-07-03-16 14 45.237	-0.30941772 -0.7832489 9.790619
2015-07-03-16 14 45.242	-0.25942993 -0.60710144 9.647797
2015-07-03-16 14 45.246	-0.22372437 -0.5214081 9.4609375
2015-07-03-16 14 45.251	-0.13922119 -0.44880676 9.327637
2015-07-03-16 14 45.258	-0.07376099 -0.3297882 9.016998
2015-07-03-16 14 45.262	-0.014251709 -0.18696594 8.905121
2015-07-03-16 14 45.266	0.040496826 -0.046524048 8.632568
2015-07-03-16 14 45.272	0.12261963 0.12724304 8.38858
2015-07-03-16 14 45.279	0.15594482 0.22007751 8.290985
2015-07-03-16 14 45.283	0.20236206 0.34980774 8.179108
2015-07-03-16 14 45.286	0.25234985 0.46644592 8.087463
2015-07-03-16 14 45.291	0.23092651 0.4676361 7.950592
2015-07-03-16 14 45.297	0.34399414 0.5604706 7.8327637
2015-07-03-16 14 45.302	0.29519653 0.6330719 7.7803955
2015-07-03-16 14 45.306	0.36779785 0.640213 7.7220764
2015-07-03-16 14 45.312	0.25830078 0.6902008 7.5673523
2015-07-03-16 14 45.317	0.34518433 0.7544708 7.6387634
2015-07-03-16 14 45.323	0.40112305 0.81874084 7.706604
2015-07-03-16 14 45.327	0.37731934 0.9151459 7.8125305
2015-07-03-16 14 45.332	0.34161377 0.85206604 7.7292175
2015-07-03-16 14 45.337	0.42730713 0.8235016 7.833954
2015-07-03-16 14 45.342	0.34042358 0.8330231 7.943451
2015-07-03-16 14 45.347	0.28686523 0.7306671 7.943451
2015-07-03-16 14 45.352	0.25234985 0.7247162 8.055328
2015-07-03-16 14 45.357	0.19760132 0.67710876 8.050568
2015-07-03-16 14 45.362	0.15951538 0.64616394 7.9993896
2015-07-03-16 14 45.367	0.023834229 0.6485443 8.098175
2015-07-03-16 14 45.372	-0.095184326 0.57832336 8.144592
2015-07-03-16 14 45.378	-0.16540527 0.49024963 8.137451
2015-07-03-16 14 45.383	-0.15707397 0.50691223 8.392151
2015-07-03-16 14 45.387	-0.1796875 0.4509735 8.554016
2015-07-03-16 14 45.392	-0.24157715 0.46644592 8.57663
2015-07-03-16 14 45.397	-0.22729492 0.47239685 8.696838
2015-07-03-16 14 45.403	-0.22491455 0.43788147 8.745636
2015-07-03-16 14 45.407	-0.20111084 0.4116974 8.815857
2015-07-03-16 14 45.412	-0.17730713 0.4116974 8.9670105
2015-07-03-16 14 45.418	-0.14279175 0.36766052 9.059845
2015-07-03-16 14 45.423	-0.054718018 0.39979553 9.183624
2015-07-03-16 14 45.429	0.009552002 0.3867035 9.355011
2015-07-03-16 14 45.433	0.12261963 0.47358704 9.618042
2015-07-03-16 14 45.438	0.15594482 0.41288757 9.810852
2015-07-03-16 14 45.443	0.1904602 0.4116974 10.039368
2015-07-03-16 14 45.448	0.14642334 0.4688263 10.150055
2015-07-03-16 14 45.453	0.16070557 0.36647034 10.234558
2015-07-03-16 14 45.458	-0.021392822 0.32600403 10.172668
2015-07-03-16 14 45.464	-0.11541748 0.24269104 10.209564
2015-07-03-16 14 45.468	-0.24871826 0.21769714 10.270264
2015-07-03-16 14 45.473	-0.25228882 0.13438416 10.334534
2015-07-03-16 14 45.478	-0.24038696 0.1558075 10.298828
2015-07-03-16 14 45.483	-0.1963501 0.070114136 10.44165
2015-07-03-16 14 45.488	-0.049957275 0.04750061 10.611847
2015-07-03-16 14 45.493	0.023834229 0.08439636 10.879639
2015-07-03-16 14 45.498	0.27615356 0.099868774 11.117676
2015-07-03-16 14 45.503	0.45230103 0.078445435 11.386658
2015-07-03-16 14 45.508	0.5344238 -0.012008667 11.611603
2015-07-03-16 14 45.513	0.60702515 -0.071517944 11.729431
2015-07-03-16 14 45.518	0.6177368 -0.10960388 11.829407
2015-07-03-16 14 45.524	0.5963135 -0.16673279 11.874634
2015-07-03-16 14 45.528	0.58084106 -0.15959167 11.890106
2015-07-03-16 14 45.533	0.63082886 -0.232193 11.9496155
2015-07-03-16 14 45.538	0.6296387 -0.16792297 11.990082
2015-07-03-16 14 45.544	0.6367798 -0.22267151 11.9305725
2015-07-03-16 14 45.548	0.58203125 -0.21910095 11.955566
2015-07-03-16 14 45.553	0.67367554 -0.20124817 11.982941
2015-07-03-16 14 45.558	0.78912354 -0.23695374 12.086487
2015-07-03-16 14 45.564	0.89385986 -0.1738739 12.145996
2015-07-03-16 14 45.569	1.0235901 -0.21672058 12.218597
2015-07-03-16 14 45.574	1.0854797 -0.24409485 12.186462
2015-07-03-16 14 45.581	1.3151855 -0.35359192 12.438782
2015-07-03-16 14 45.585	1.3151855 -0.35359192 12.438782
2015-07-03-16 14 45.588	1.3282776 -0.2893219 12.567322
2015-07-03-16 14 45.594	1.2485352 -0.30241394 12.61969
2015-07-03-16 14 45.604	1.3199463 -0.36549377 12.633972
2015-07-03-16 14 45.606	1.324707 -0.3714447 12.561371
2015-07-03-16 14 45.609	1.3211365 -0.49641418 12.566132
2015-07-03-16 14 45.614	1.3735046 -0.591629 12.4756775
2015-07-03-16 14 45.619	1.2913818 -0.6785126 12.438782
2015-07-03-16 14 45.625	1.2080688 -0.73088074 12.455444
2015-07-03-16 14 45.629	1.1854553 -0.8832245 12.528046
2015-07-03-16 14 45.634	1.2402039 -1.0034332 12.4435425
2015-07-03-16 14 45.639	1.2354431 -1.1057892 12.479248
2015-07-03-16 14 45.644	1.2390137 -1.1617279 12.660156
2015-07-03-16 14 45.649	1.3580322 -1.2259979 12.725616
2015-07-03-16 14 45.654	1.3020935 -1.3438263 12.889862
2015-07-03-16 14 45.659	1.3282776 -1.4092865 12.860107
2015-07-03-16 14 45.667	1.2699585 -1.5187836 12.888672
2015-07-03-16 14 45.669	1.2521057 -1.5354462 12.786316
2015-07-03-16 14 45.674	1.2033081 -1.3842926 12.455444
2015-07-03-16 14 45.679	1.0926208 -1.3723907 12.074585
2015-07-03-16 14 45.684	1.0747681 -1.2486115 11.590179
2015-07-03-16 14 45.689	1.0247803 -1.0772247 11.077209
2015-07-03-16 14 45.694	1.0045471 -0.8844147 10.3012085
2015-07-03-16 14 45.699	0.9962158 -0.44285583 9.006287
2015-07-03-16 14 45.705	0.9962158 -0.44285583 9.006287
2015-07-03-16 14 45.709	0.9581299 -0.1988678 8.395721
2015-07-03-16 14 45.714	0.9426575 -0.035812378 7.842285
2015-07-03-16 14 45.719	1.0628662 0.2534027 6.809204
2015-07-03-16 14 45.725	1.0628662 0.2534027 6.809204
2015-07-03-16 14 45.731	1.273529 0.49263 5.968933
2015-07-03-16 14 45.734	1.4163513 0.5664215 5.6499634
2015-07-03-16 14 45.740	1.5579834 0.5830841 5.5238037
2015-07-03-16 14 45.745	1.7079468 0.57951355 5.4714355
2015-07-03-16 14 45.750	1.8805237 0.5081024 5.5214233
2015-07-03-16 14 45.755	2.0078735 0.4509735 5.8094482
2015-07-03-16 14 45.760	2.1697388 0.3367157 6.1903076
2015-07-03-16 14 45.765	2.2590027 0.15818787 6.5473633
2015-07-03-16 14 45.770	2.3423157 0.03916931 6.9282227
2015-07-03-16 14 45.775	2.318512 -0.22267151 7.347168
2015-07-03-16 14 45.780	2.337555 -0.43571472 7.687561
2015-07-03-16 14 45.785	2.3601685 -0.61305237 8.217194
2015-07-03-16 14 45.790	2.439911 -0.86061096 8.676605
2015-07-03-16 14 45.795	2.5208435 -1.0296173 9.127686
2015-07-03-16 14 45.800	2.504181 -1.1843414 9.663269
2015-07-03-16 14 45.805	2.4649048 -1.335495 10.023895
2015-07-03-16 14 45.810	2.30542 -1.4330902 10.413086
2015-07-03-16 14 45.815	2.0590515 -1.6151886 10.735626
2015-07-03-16 14 45.820	1.8281555 -1.7556305 10.773712
2015-07-03-16 14 45.826	1.542511 -1.931778 10.789185
2015-07-03-16 14 45.830	1.1628418 -2.0246124 10.635651
2015-07-03-16 14 45.835	0.9164734 -2.0329437 10.386902
2015-07-03-16 14 45.840	0.61535645 -1.9781952 9.941772
2015-07-03-16 14 45.846	0.36541748 -1.861557 9.601379
2015-07-03-16 14 45.850	0.14047241 -1.6389923 9.2812195
2015-07-03-16 14 45.855	-0.0892334 -1.4283295 8.924164
2015-07-03-16 14 45.860	-0.21658325 -1.1867218 8.604004
2015-07-03-16 14 45.866	-0.22253418 -0.8653717 8.149353
2015-07-03-16 14 45.870	-0.12850952 -0.5856781 7.9089355
2015-07-03-16 14 45.876	-0.0809021 -0.29408264 7.6518555
2015-07-03-16 14 45.883	-0.021392822 -0.010818481 7.386444
2015-07-03-16 14 45.887	-0.024963379 0.22602844 7.1269836
2015-07-03-16 14 45.891	-0.14398193 0.40931702 6.943695
2015-07-03-16 14 45.896	-0.18325806 0.6473541 6.693756
2015-07-03-16 14 45.901	-0.18563843 0.7330475 6.686615
2015-07-03-16 14 45.906	-0.17254639 0.9151459 6.803253
2015-07-03-16 14 45.911	-0.0975647 1.0008392 6.8948975
2015-07-03-16 14 45.916	-0.12017822 1.031784 7.1448364
2015-07-03-16 14 45.921	-0.19396973 1.0972443 7.326935
2015-07-03-16 14 45.927	-0.17373657 1.0615387 7.525696
2015-07-03-16 14 45.931	-0.053527832 1.0996246 7.6637573
2015-07-03-16 14 45.936	0.12142944 1.153183 7.969635
2015-07-03-16 14 45.941	0.2904358 1.2543488 8.163635
2015-07-03-16 14 45.946	0.33685303 1.3102875 8.361206
2015-07-03-16 14 45.951	0.4296875 1.2781525 8.681366
2015-07-03-16 14 45.956	0.44277954 1.2424469 8.795624
2015-07-03-16 14 45.961	0.3975525 1.1222382 9.009857
2015-07-03-16 14 45.966	0.3892212 0.99964905 9.103882
2015-07-03-16 14 45.971	0.4534912 0.94132996 9.288361
2015-07-03-16 14 45.976	0.5701294 0.95085144 9.491882
2015-07-03-16 14 45.981	0.7105713 0.9698944 9.637085
2015-07-03-16 14 45.987	0.73794556 0.97346497 9.873932
2015-07-03-16 14 45.991	0.80459595 0.9853668 10.092926
2015-07-03-16 14 45.996	0.849823 1.0151215 10.240509
2015-07-03-16 14 46.001	0.8926697 0.9948883 10.417847
2015-07-03-16 14 46.007	0.96884155 0.9948883 10.714203
2015-07-03-16 14 46.011	1.0235901 0.99012756 10.909393
2015-07-03-16 14 46.016	1.0438232 0.98179626 10.927246
2015-07-03-16 14 46.022	1.016449 0.97584534 10.855835
2015-07-03-16 14 46.027	1.0140686 0.98417664 10.841553
2015-07-03-16 14 46.033	0.9819336 1.0484467 10.876068
2015-07-03-16 14 46.037	0.94503784 1.0615387 10.861786
2015-07-03-16 14 46.042	0.89505005 1.121048 10.865356
2015-07-03-16 14 46.047	0.8998108 1.1258087 10.76181
2015-07-03-16 14 46.052	0.77960205 1.1615143 10.671356
2015-07-03-16 14 46.057	0.6915283 1.2674408 10.592804
2015-07-03-16 14 46.062	0.6260681 1.2698212 10.496399
2015-07-03-16 14 46.067	0.5689392 1.3816986 10.322632
2015-07-03-16 14 46.072	0.48086548 1.493576 10.094116
2015-07-03-16 14 46.077	0.49038696 1.5649872 9.910828
2015-07-03-16 14 46.083	0.5629883 1.7161407 9.778717
2015-07-03-16 14 46.087	0.53323364 1.7268524 9.748962
2015-07-03-16 14 46.092	0.5927429 1.7768402 9.806091
2015-07-03-16 14 46.097	0.6355896 1.8196869 9.844177
2015-07-03-16 14 46.102	0.65701294 1.8470612 9.960815
2015-07-03-16 14 46.108	0.76412964 1.8553925 9.98819
2015-07-03-16 14 46.112	0.86172485 1.8887177 10.273834
2015-07-03-16 14 46.117	0.9343262 1.8196869 10.514252
2015-07-03-16 14 46.122	0.997406 1.7958832 10.805847
2015-07-03-16 14 46.128	0.94503784 1.6625824 10.983185
2015-07-03-16 14 46.132	0.9402771 1.5495148 11.153381
2015-07-03-16 14 46.137	0.88671875 1.4269257 11.40213
2015-07-03-16 14 46.143	0.7569885 1.2543488 11.494965
2015-07-03-16 14 46.148	0.6939087 1.1543732 11.599701
2015-07-03-16 14 46.152	0.49395752 1.0805817 11.630646
2015-07-03-16 14 46.157	0.3725586 1.056778 11.534241
2015-07-03-16 14 46.164	0.25234985 1.056778 11.414032
2015-07-03-16 14 46.168	0.22854614 1.0044098 11.197418
2015-07-03-16 14 46.173	0.12738037 1.0353546 11.066498
2015-07-03-16 14 46.178	0.13571167 1.0805817 10.82251
2015-07-03-16 14 46.185	0.027404785 1.236496 10.947479
2015-07-03-16 14 46.189	0.027404785 1.236496 10.947479
2015-07-03-16 14 46.193	-0.054718018 1.345993 10.790375
2015-07-03-16 14 46.198	-0.20706177 1.5019073 10.720154
2015-07-03-16 14 46.203	-0.23800659 1.5114288 10.545197
2015-07-03-16 14 46.208	-0.32250977 1.5685577 10.470215
2015-07-03-16 14 46.213	-0.30584717 1.4983368 10.497589
2015-07-03-16 14 46.218	-0.27490234 1.3947906 10.452362
2015-07-03-16 14 46.223	-0.21182251 1.1960297 10.735626
2015-07-03-16 14 46.229	-0.07733154 0.9389496 11.127197
2015-07-03-16 14 46.233	0.025024414 0.59617615 11.690155
2015-07-03-16 14 46.238	0.16308594 0.2629242 12.122192
2015-07-03-16 14 46.243	0.13928223 -0.07984924 12.487579
2015-07-03-16 14 46.248	0.05239868 -0.47499084 12.893433
2015-07-03-16 14 46.253	-0.03805542 -0.73683167 13.142181
2015-07-03-16 14 46.258	-0.1308899 -1.0331879 13.230255
2015-07-03-16 14 46.263	-0.3356018 -1.206955 13.177887
2015-07-03-16 14 46.269	-0.59625244 -1.297409 12.963654
2015-07-03-16 14 46.273	-0.894989 -1.3259735 12.650635
2015-07-03-16 14 46.278	-1.1235046 -1.2962189 12.167419
2015-07-03-16 14 46.284	-1.2377625 -1.1843414 11.575897
2015-07-03-16 14 46.289	-1.2353821 -0.9653473 10.911774
2015-07-03-16 14 46.293	-1.1746826 -0.64756775 10.24765
2015-07-03-16 14 46.298	-1.1651611 -0.29170227 9.628754
2015-07-03-16 14 46.304	-1.3258362 -0.057235718 9.141968
2015-07-03-16 14 46.309	-1.5698242 -0.009628296 8.664703
2015-07-03-16 14 46.314	-1.3163147 0.19151306 8.3064575
2015-07-03-16 14 46.319	-1.0628052 0.37242126 8.365967
2015-07-03-16 14 46.324	-0.78549194 0.57951355 8.602814
2015-07-03-16 14 46.329	-0.7057495 0.6759186 8.743256
2015-07-03-16 14 46.335	-0.6593323 0.5414276 8.636139
2015-07-03-16 14 46.339	-0.6593323 0.5414276 8.636139
2015-07-03-16 14 46.344	-0.631958 0.4438324 8.51474
2015-07-03-16 14 46.349	-0.46533203 0.24388123 8.794434
2015-07-03-16 14 46.354	-0.36416626 -0.025100708 8.925354
2015-07-03-16 14 46.359	-0.28442383 -0.25123596 9.212189
2015-07-03-16 14 46.364	-0.21658325 -0.49165344 9.426422
2015-07-03-16 14 46.369	-0.19873047 -0.6499481 9.945343
2015-07-03-16 14 46.374	-0.15231323 -0.76182556 10.232178
2015-07-03-16 14 46.380	-0.058288574 -0.8915558 10.392853
2015-07-03-16 14 46.385	0.1583252 -1.0665131 10.621368
2015-07-03-16 14 46.390	0.1583252 -1.0665131 10.621368
2015-07-03-16 14 46.394	0.23092651 -1.1141205 10.5642395
2015-07-03-16 14 46.399	0.272583 -1.1593475 10.421417
2015-07-03-16 14 46.404	0.42611694 -1.1843414 10.267883
2015-07-03-16 14 46.410	0.56655884 -1.1272125 10.095306
2015-07-03-16 14 46.414	0.64749146 -1.1581573 10.029846
2015-07-03-16 14 46.419	0.7010498 -1.1664886 9.963196
2015-07-03-16 14 46.424	0.8426819 -1.1712494 9.79776
2015-07-03-16 14 46.430	0.8426819 -1.1712494 9.79776
2015-07-03-16 14 46.434	0.85220337 -1.1569672 9.848938
2015-07-03-16 14 46.439	0.8760071 -1.1379242 9.813232
2015-07-03-16 14 46.445	0.9343262 -1.1200714 9.73349
2015-07-03-16 14 46.450	0.93670654 -1.1034088 9.643036
2015-07-03-16 14 46.455	0.86886597 -1.0331879 9.453796
2015-07-03-16 14 46.460	0.84625244 -0.99272156 9.3133545
2015-07-03-16 14 46.465	0.785553 -1.0165253 9.326447
2015-07-03-16 14 46.472	0.7819824 -0.9653473 9.141968
2015-07-03-16 14 46.475	0.7581787 -0.8653717 9.084839
2015-07-03-16 14 46.480	0.7772217 -0.85466003 8.993195
2015-07-03-16 14 46.487	0.71414185 -0.8498993 8.945587
2015-07-03-16 14 46.491	0.7189026 -0.76301575 8.880127
2015-07-03-16 14 46.495	0.7331848 -0.7023163 8.862274
2015-07-03-16 14 46.500	0.76293945 -0.67375183 8.7361145
2015-07-03-16 14 46.505	0.7415161 -0.6249542 8.534973
2015-07-03-16 14 46.510	0.77008057 -0.6178131 8.51355
2015-07-03-16 14 46.515	0.7581787 -0.5380707 8.337402
2015-07-03-16 14 46.520	0.7772217 -0.44285583 8.248138
2015-07-03-16 14 46.525	0.74508667 -0.3464508 8.294556
2015-07-03-16 14 46.531	0.7605591 -0.32621765 8.175537
2015-07-03-16 14 46.535	0.80340576 -0.31907654 8.173157
2015-07-03-16 14 46.540	0.7355652 -0.21315002 7.757782
2015-07-03-16 14 46.545	0.59988403 -0.073898315 7.93869
2015-07-03-16 14 46.551	0.5963135 0.07368469 7.822052
2015-07-03-16 14 46.555	0.65701294 0.08201599 7.791107
2015-07-03-16 14 46.560	0.69628906 0.102249146 7.635193
2015-07-03-16 14 46.565	0.67129517 0.15223694 7.6792297
2015-07-03-16 14 46.571	0.62368774 0.11653137 7.74588
2015-07-03-16 14 46.575	0.6022644 0.1474762 7.87442
2015-07-03-16 14 46.581	0.5796509 0.20103455 7.8577576
2015-07-03-16 14 46.587	0.55584717 0.15818787 7.899414
2015-07-03-16 14 46.591	0.4784851 0.09391785 7.8494263
2015-07-03-16 14 46.596	0.3808899 0.08201599 7.957733
2015-07-03-16 14 46.601	0.35351563 0.06892395 8.143402
2015-07-03-16 14 46.606	0.34994507 0.07130432 8.315979
2015-07-03-16 14 46.611	0.4868164 0.11772156 8.45285
2015-07-03-16 14 46.616	0.57250977 0.13795471 8.533783
2015-07-03-16 14 46.621	0.70224 0.15223694 8.746826
2015-07-03-16 14 46.626	0.78912354 0.25578308 9.000336
2015-07-03-16 14 46.631	0.77127075 0.24031067 8.96582
2015-07-03-16 14 46.637	0.7926941 0.2379303 9.045563
2015-07-03-16 14 46.641	0.76412964 0.2545929 9.064606
2015-07-03-16 14 46.646	0.7593689 0.2545929 9.1467285
2015-07-03-16 14 46.651	0.6998596 0.25935364 9.201477
2015-07-03-16 14 46.656	0.69866943 0.28077698 9.34668
2015-07-03-16 14 46.661	0.7272339 0.22245789 9.355011
2015-07-03-16 14 46.666	0.75341797 0.21412659 9.440704
2015-07-03-16 14 46.672	0.82006836 0.20579529 9.502594
2015-07-03-16 14 46.676	0.7760315 0.13795471 9.792999
2015-07-03-16 14 46.682	0.9819336 0.15223694 10.010803
2015-07-03-16 14 46.687	1.0188293 0.12843323 10.171478
2015-07-03-16 14 46.692	1.158081 0.020126343 10.410706
2015-07-03-16 14 46.696	1.1747437 -0.047714233 10.601135
2015-07-03-16 14 46.701	1.2223511 -0.04890442 10.829651
2015-07-03-16 14 46.707	1.1759338 -0.046524048 11.023651
2015-07-03-16 14 46.712	1.2402039 0.008224487 11.161713
2015-07-03-16 14 46.716	1.1366577 0.048690796 11.199799
2015-07-03-16 14 46.721	1.1533203 0.0974884 11.092682
2015-07-03-16 14 46.727	1.0950012 0.18318176 10.981995
2015-07-03-16 14 46.732	1.164032 0.22721863 10.837982
2015-07-03-16 14 46.737	1.2247314 0.1474762 10.748718
2015-07-03-16 14 46.742	1.2901917 0.091537476 10.8784485
2015-07-03-16 14 46.747	1.3723145 0.027267456 10.857025
2015-07-03-16 14 46.752	1.3961182 0.041549683 11.136719
2015-07-03-16 14 46.757	1.4056396 0.010604858 11.375946
2015-07-03-16 14 46.762	1.413971 0.024887085 11.499725
2015-07-03-16 14 46.767	1.3294678 -0.06794739 11.613983
2015-07-03-16 14 46.772	1.2759094 -0.10246277 11.743713
2015-07-03-16 14 46.777	1.4318237 -0.21791077 11.990082
2015-07-03-16 14 46.782	1.4770508 -0.39167786 11.97937
2015-07-03-16 14 46.789	1.6044006 -0.5702057 12.16861
2015-07-03-16 14 46.793	1.7853088 -0.8070526 12.461395
2015-07-03-16 14 46.797	1.8424377 -1.0629425 12.81012
2015-07-03-16 14 46.802	1.9566956 -1.3700104 13.279053
2015-07-03-16 14 46.807	1.98526 -1.7080231 13.8098755
2015-07-03-16 14 46.813	2.004303 -1.8734589 14.495422
2015-07-03-16 14 46.817	1.8948059 -2.092453 15.019104
2015-07-03-16 14 46.822	1.7186584 -2.3447723 15.260712
2015-07-03-16 14 46.827	1.5258484 -2.5637665 15.339264
2015-07-03-16 14 46.833	1.2211609 -2.7434845 15.189301
2015-07-03-16 14 46.837	0.9545593 -2.8018036 14.986969
2015-07-03-16 14 46.842	0.8022156 -2.7708588 14.47876
2015-07-03-16 14 46.848	0.6867676 -2.5435333 13.802734
2015-07-03-16 14 46.853	0.5927429 -2.3412018 12.977936
2015-07-03-16 14 46.857	0.64749146 -2.0103302 12.053162
2015-07-03-16 14 46.863	0.75460815 -1.6270905 11.155762
2015-07-03-16 14 46.868	0.8391113 -1.2164764 10.275024
2015-07-03-16 14 46.873	0.798645 -0.8903656 9.501404
2015-07-03-16 14 46.878	0.8664856 -0.6190033 8.584961
2015-07-03-16 14 46.883	1.158081 -0.23814392 7.6328125
2015-07-03-16 14 46.888	1.3175659 0.09034729 7.129364
2015-07-03-16 14 46.893	1.644867 0.4343109 6.7734985
2015-07-03-16 14 46.898	1.8388672 0.74375916 6.5497437
2015-07-03-16 14 46.903	1.9959717 0.9127655 6.211731
2015-07-03-16 14 46.908	2.2375793 0.95918274 5.9974976
2015-07-03-16 14 46.913	2.422058 0.903244 5.833252
2015-07-03-16 14 46.918	2.6553345 0.79374695 5.962982
2015-07-03-16 14 46.923	2.8683777 0.7342377 6.3176575
2015-07-03-16 14 46.928	3.1183167 0.56999207 6.674713
2015-07-03-16 14 46.934	3.313507 0.40812683 7.1888733
2015-07-03-16 14 46.939	3.4551392 0.30577087 7.720886
2015-07-03-16 14 46.943	3.5908203 0.08320618 8.173157
2015-07-03-16 14 46.948	3.7276917 -0.08818054 8.511169
2015-07-03-16 14 46.954	3.7514954 -0.3297882 8.89798
2015-07-03-16 14 46.958	3.8288574 -0.5690155 9.370483
2015-07-03-16 14 46.963	3.7717285 -0.777298 9.696594
2015-07-03-16 14 46.968	3.722931 -0.9796295 10.145294
2015-07-03-16 14 46.974	3.608673 -1.1022186 10.540436
2015-07-03-16 14 46.978	3.5086975 -1.3331146 10.7951355
2015-07-03-16 14 46.984	3.3373108 -1.5068817 11.106964
2015-07-03-16 14 46.989	3.101654 -1.598526 11.151001
2015-07-03-16 14 46.994	2.844574 -1.7104034 10.979614
