2015-07-02-19 56 25.548	-2.6445618 -0.026290894 9.866791
2015-07-02-19 56 25.555	-2.3529663 0.05821228 9.47641
2015-07-02-19 56 25.560	-2.139923 0.21531677 9.239563
2015-07-02-19 56 25.565	-1.895935 0.35456848 8.907501
2015-07-02-19 56 25.570	-1.8280945 0.53785706 8.561157
2015-07-02-19 56 25.575	-1.600769 0.6747284 8.270752
2015-07-02-19 56 25.580	-1.485321 0.7473297 8.076752
2015-07-02-19 56 25.585	-1.491272 0.9318085 7.9993896
2015-07-02-19 56 25.591	-1.4960327 1.0424957 7.867279
2015-07-02-19 56 25.598	-1.5484009 1.0841522 8.007721
2015-07-02-19 56 25.600	-1.5079346 1.1281891 8.243378
2015-07-02-19 56 25.605	-1.6233826 1.2198334 8.45285
2015-07-02-19 56 25.610	-1.7900085 1.3126678 8.663513
2015-07-02-19 56 25.616	-1.8233337 1.2924347 9.144348
2015-07-02-19 56 25.620	-1.7209778 1.217453 9.328827
2015-07-02-19 56 25.625	-1.5662537 1.0591583 9.563293
2015-07-02-19 56 25.631	-1.3901062 0.8972931 9.715637
2015-07-02-19 56 25.635	-1.1306458 0.7151947 9.971527
2015-07-02-19 56 25.640	-0.8533325 0.43669128 10.05484
2015-07-02-19 56 25.646	-0.62005615 0.3045807 10.159576
2015-07-02-19 56 25.652	-0.51293945 0.14509583 10.325012
2015-07-02-19 56 25.655	-0.3784485 0.04512024 10.323822
2015-07-02-19 56 25.660	-0.044006348 -0.12626648 10.271454
2015-07-02-19 56 25.665	0.1737976 -0.30717468 10.322632
2015-07-02-19 56 25.671	0.19998169 -0.46546936 10.252411
2015-07-02-19 56 25.675	0.18807983 -0.6273346 10.228607
2015-07-02-19 56 25.681	0.21902466 -0.68922424 10.095306
2015-07-02-19 56 25.686	0.19284058 -0.7737274 10.11554
2015-07-02-19 56 25.691	0.1737976 -0.76182556 9.907257
2015-07-02-19 56 25.698	0.16546631 -0.76182556 9.526398
2015-07-02-19 56 25.701	0.16546631 -0.76182556 9.526398
2015-07-02-19 56 25.706	0.16784668 -0.73088074 9.269318
2015-07-02-19 56 25.713	0.28805542 -0.6987457 9.052704
2015-07-02-19 56 25.716	0.30947876 -0.7094574 8.824188
2015-07-02-19 56 25.721	0.24282837 -0.66542053 8.570679
2015-07-02-19 56 25.726	0.1821289 -0.5606842 8.337402
2015-07-02-19 56 25.732	0.16308594 -0.44047546 8.1588745
2015-07-02-19 56 25.736	0.07620239 -0.35359192 8.00296
2015-07-02-19 56 25.741	-0.009490967 -0.12626648 7.9541626
2015-07-02-19 56 25.748	-0.15945435 0.13438416 7.775635
2015-07-02-19 56 25.751	-0.15945435 0.13438416 7.775635
2015-07-02-19 56 25.756	-0.1463623 0.30696106 7.7113647
2015-07-02-19 56 25.761	-0.0809021 0.4426422 7.61734
2015-07-02-19 56 25.766	-0.079711914 0.6009369 7.630432
2015-07-02-19 56 25.772	-0.060668945 0.8235016 7.4661865
2015-07-02-19 56 25.776	0.07977295 0.8782501 7.386444
2015-07-02-19 56 25.782	0.023834229 0.9853668 7.340027
2015-07-02-19 56 25.786	0.10595703 1.0651093 7.213867
2015-07-02-19 56 25.792	0.094055176 1.0936737 7.1531677
