2015-07-09-12 08 41.654	0.113098145 -0.1572113 7.693512
2015-07-09-12 08 41.662	0.20831299 0.29267883 7.8006287
2015-07-09-12 08 41.666	0.3309021 0.52119446 7.7851563
2015-07-09-12 08 41.671	0.68200684 0.62831116 7.9589233
2015-07-09-12 08 41.676	1.1949768 0.659256 8.060089
2015-07-09-12 08 41.681	1.6627197 0.74256897 8.212433
2015-07-09-12 08 41.686	2.1173706 0.7806549 8.427856
2015-07-09-12 08 41.693	2.428009 0.7961273 8.674225
2015-07-09-12 08 41.697	2.6089172 0.8306427 8.914642
2015-07-09-12 08 41.702	2.645813 0.8984833 9.063416
2015-07-09-12 08 41.707	2.543457 0.81755066 9.051514
2015-07-09-12 08 41.714	2.338745 0.80921936 9.081268
2015-07-09-12 08 41.719	2.0066833 0.787796 8.968201
2015-07-09-12 08 41.722	1.638916 0.7163849 8.8194275
2015-07-09-12 08 41.726	1.2961426 0.61402893 8.77182
2015-07-09-12 08 41.732	1.035492 0.57237244 8.613525
2015-07-09-12 08 41.737	0.78793335 0.48786926 8.496887
2015-07-09-12 08 41.743	0.50704956 0.42240906 8.332642
2015-07-09-12 08 41.746	0.26306152 0.4259796 8.216003
2015-07-09-12 08 41.751	0.14047241 0.38194275 8.151733
2015-07-09-12 08 41.757	-0.10232544 0.377182 8.125549
2015-07-09-12 08 41.762	-0.18087769 0.3950348 8.00415
2015-07-09-12 08 41.768	-0.3522644 0.44740295 7.8518066
2015-07-09-12 08 41.772	-0.3522644 0.44740295 7.8518066
2015-07-09-12 08 41.776	-0.37606812 0.47239685 7.7530212
2015-07-09-12 08 41.782	-0.34750366 0.5569 7.6149597
2015-07-09-12 08 41.786	-0.21777344 0.61164856 7.5292664
2015-07-09-12 08 41.792	-0.16897583 0.67948914 7.404297
2015-07-09-12 08 41.799	-0.101135254 0.7223358 7.367401
2015-07-09-12 08 41.802	-0.041625977 0.7735138 7.3186035
2015-07-09-12 08 41.807	-0.022583008 0.83540344 7.206726
2015-07-09-12 08 41.812	0.0047912598 0.9068146 7.251953
2015-07-09-12 08 41.818	-0.0023498535 1.0020294 7.4209595
2015-07-09-12 08 41.822	-0.003540039 1.0615387 7.42572
2015-07-09-12 08 41.827	-0.028533936 1.2222137 7.5245056
2015-07-09-12 08 41.832	-0.138031 1.384079 7.7220764
2015-07-09-12 08 41.837	-0.24633789 1.3912201 7.7482605
2015-07-09-12 08 41.843	-0.31536865 1.4721527 7.9029846
2015-07-09-12 08 41.847	-0.32131958 1.4531097 7.9993896
2015-07-09-12 08 41.852	-0.2796631 1.4221649 8.06723
2015-07-09-12 08 41.857	-0.23324585 1.4055023 8.083893
2015-07-09-12 08 41.863	-0.22610474 1.3352814 8.1922
2015-07-09-12 08 41.867	-0.103515625 1.3257599 8.2933655
