2015-06-29-22 56 22.673	-2.5969543 0.94847107 13.45282
2015-06-29-22 56 22.679	-2.5338745 0.8984833 13.231445
2015-06-29-22 56 22.684	-2.5338745 0.7461395 13.249298
2015-06-29-22 56 22.690	-2.5017395 0.68663025 13.32309
2015-06-29-22 56 22.694	-2.4993591 0.5985565 13.221924
2015-06-29-22 56 22.699	-2.4767456 0.5092926 13.230255
2015-06-29-22 56 22.704	-2.4957886 0.40455627 13.013641
2015-06-29-22 56 22.711	-2.664795 0.37480164 12.733948
2015-06-29-22 56 22.715	-2.8790283 0.2795868 12.637543
2015-06-29-22 56 22.719	-3.0789795 0.20817566 12.439972
2015-06-29-22 56 22.724	-3.5360107 0.25697327 12.179321
2015-06-29-22 56 22.730	-3.966858 0.3212433 11.987701
2015-06-29-22 56 22.738	-4.4262695 0.48072815 11.931763
2015-06-29-22 56 22.740	-4.729767 0.62831116 11.609222
2015-06-29-22 56 22.745	-5.020172 0.7330475 11.317627
2015-06-29-22 56 22.750	-5.0737305 0.8306427 10.882019
2015-06-29-22 56 22.756	-5.0225525 0.8794403 10.375
2015-06-29-22 56 22.760	-4.717865 1.0401154 9.883453
2015-06-29-22 56 22.767	-4.314392 1.1067657 9.454987
2015-06-29-22 56 22.770	-3.9501953 1.1317596 9.136017
2015-06-29-22 56 22.775	-3.3824768 1.1484222 8.89917
2015-06-29-22 56 22.780	-2.8302307 1.1746063 8.759918
2015-06-29-22 56 22.785	-2.3851013 1.2126923 8.530212
2015-06-29-22 56 22.790	-2.023285 1.2448273 8.521881
2015-06-29-22 56 22.795	-1.7019348 1.2722015 8.201721
2015-06-29-22 56 22.800	-1.3496399 1.3209991 7.969635
2015-06-29-22 56 22.805	-1.0889893 1.3376617 7.833954
2015-06-29-22 56 22.811	-0.9949646 1.3340912 7.6185303
2015-06-29-22 56 22.815	-0.9199829 1.4007416 7.3245544
2015-06-29-22 56 22.820	-0.9187927 1.4090729 6.97464
2015-06-29-22 56 22.825	-0.9354553 1.4876251 6.71875
2015-06-29-22 56 22.831	-0.8890381 1.5864105 6.3319397
2015-06-29-22 56 22.835	-0.85095215 1.5947418 6.033203
2015-06-29-22 56 22.840	-0.76763916 1.7101898 5.6630554
2015-06-29-22 56 22.845	-0.6974182 1.6887665 5.37146
2015-06-29-22 56 22.851	-0.5260315 1.7411346 4.975128
2015-06-29-22 56 22.855	-0.34869385 1.7720795 4.7525635
2015-06-29-22 56 22.861	-0.18087769 1.8411102 4.5228577
2015-06-29-22 56 22.866	-0.014251709 1.9018097 4.2205505
2015-06-29-22 56 22.871	0.048828125 1.9006195 3.9718018
2015-06-29-22 56 22.876	0.113098145 1.8518219 3.7980347
2015-06-29-22 56 22.882	0.272583 1.9113312 3.9051514
2015-06-29-22 56 22.888	0.535614 1.8946686 4.1824646
2015-06-29-22 56 22.892	0.7498474 1.9065704 4.487152
2015-06-29-22 56 22.896	0.91290283 1.8613434 4.7275696
2015-06-29-22 56 22.901	1.0378723 1.8434906 4.9001465
2015-06-29-22 56 22.906	1.2044983 1.8232574 5.191742
2015-06-29-22 56 22.911	1.3366089 1.8065948 5.505951
2015-06-29-22 56 22.918	1.4949036 1.8839569 5.832062
2015-06-29-22 56 22.921	1.5948792 1.8708649 6.2343445
2015-06-29-22 56 22.926	1.5913086 1.9006195 6.5247498
2015-06-29-22 56 22.932	1.6377258 1.8625336 6.987732
2015-06-29-22 56 22.936	1.5865479 1.8518219 7.4411926
2015-06-29-22 56 22.941	1.5579834 1.845871 7.8458557
2015-06-29-22 56 22.946	1.5079956 1.9446564 8.235046
2015-06-29-22 56 22.952	1.2890015 1.9351349 8.476654
