2015-07-01-19 40 59.857	-1.2389526 -0.51426697 15.2916565
2015-07-01-19 40 59.862	-0.9794922 -0.74754333 15.332123
2015-07-01-19 40 59.868	-0.8319092 -0.8975067 15.225006
2015-07-01-19 40 59.874	-0.77597046 -0.9832001 14.888184
2015-07-01-19 40 59.878	-0.8211975 -1.0486603 14.503754
2015-07-01-19 40 59.884	-1.0211487 -0.8891754 14.084808
2015-07-01-19 40 59.889	-1.2460938 -0.8249054 13.465912
2015-07-01-19 40 59.894	-1.5055542 -0.7082672 12.847015
2015-07-01-19 40 59.898	-1.7447815 -0.59757996 12.151947
2015-07-01-19 40 59.903	-1.9137878 -0.4547577 11.562805
2015-07-01-19 40 59.908	-1.9744873 -0.3214569 11.035553
2015-07-01-19 40 59.915	-2.1803894 -0.18696594 10.485687
2015-07-01-19 40 59.918	-2.216095 -0.022720337 9.978668
2015-07-01-19 40 59.923	-2.2363281 0.123672485 9.696594
2015-07-01-19 40 59.929	-2.3648682 0.25578308 9.309784
2015-07-01-19 40 59.935	-2.3363037 0.24269104 9.125305
2015-07-01-19 40 59.939	-2.1601563 0.34147644 8.718262
2015-07-01-19 40 59.943	-2.1601563 0.34147644 8.718262
2015-07-01-19 40 59.949	-2.0935059 0.28315735 8.740875
2015-07-01-19 40 59.954	-1.7709656 0.30577087 8.455231
2015-07-01-19 40 59.959	-1.6031494 0.36647034 8.294556
2015-07-01-19 40 59.964	-1.407959 0.35575867 8.154114
2015-07-01-19 40 59.969	-1.3341675 0.37123108 8.145782
2015-07-01-19 40 59.974	-1.1734924 0.41645813 8.183868
2015-07-01-19 40 59.980	-1.1592102 0.4200287 8.108887
2015-07-01-19 40 59.985	-1.0592346 0.56166077 8.102936
2015-07-01-19 40 59.990	-0.9699707 0.72828674 8.016052
2015-07-01-19 40 59.995	-0.9699707 0.72828674 8.016052
2015-07-01-19 40 59.999	-0.83428955 0.86634827 7.930359
2015-07-01-19 41 00.005	-0.82714844 1.0484467 7.9422607
2015-07-01-19 41 00.009	-0.7712097 1.1329498 7.7470703
2015-07-01-19 41 00.015	-0.62838745 1.2222137 7.5625916
2015-07-01-19 41 00.019	-0.5331726 1.2733917 7.411438
2015-07-01-19 41 00.024	-0.5010376 1.3567047 7.270996
2015-07-01-19 41 00.031	-0.43795776 1.3471832 6.9734497
2015-07-01-19 41 00.035	-0.4189148 1.3924103 6.809204
2015-07-01-19 41 00.039	-0.4189148 1.4971466 6.672333
2015-07-01-19 41 00.044	-0.2618103 1.4947662 6.756836
2015-07-01-19 41 00.050	-0.0154418945 1.5673676 6.685425
2015-07-01-19 41 00.055	0.1987915 1.525711 6.7615967
2015-07-01-19 41 00.059	0.39993286 1.4566803 6.809204
2015-07-01-19 41 00.064	0.5379944 1.5161896 6.800873
2015-07-01-19 41 00.070	0.6355896 1.480484 6.8175354
2015-07-01-19 41 00.075	0.7760315 1.5626068 6.790161
2015-07-01-19 41 00.081	0.95932007 1.5756989 6.609253
2015-07-01-19 41 00.085	1.1271362 1.614975 6.553314
2015-07-01-19 41 00.092	1.3187561 1.5911713 6.3974
2015-07-01-19 41 00.098	1.4115906 1.6685333 6.3105164
2015-07-01-19 41 00.100	1.5627441 1.634018 6.2867126
2015-07-01-19 41 00.105	1.6234436 1.7316132 6.416443
2015-07-01-19 41 00.110	1.6615295 1.7173309 6.602112
2015-07-01-19 41 00.116	1.6924744 1.7078094 6.7556458
2015-07-01-19 41 00.120	1.7150879 1.6994781 6.937744
2015-07-01-19 41 00.125	1.5782166 1.698288 7.0496216
2015-07-01-19 41 00.130	1.4056396 1.6721039 7.2400513
2015-07-01-19 41 00.136	1.1687927 1.7542267 7.4328613
2015-07-01-19 41 00.140	1.0045471 1.8494415 7.6328125
2015-07-01-19 41 00.147	0.7998352 1.955368 7.9279785
2015-07-01-19 41 00.150	0.46420288 2.0101166 8.083893
2015-07-01-19 41 00.155	0.14285278 2.0422516 8.136261
2015-07-01-19 41 00.160	-0.0892334 2.044632 8.152924
2015-07-01-19 41 00.165	-0.17016602 1.9886932 8.338593
2015-07-01-19 41 00.170	-0.07733154 1.9827423 8.38382
2015-07-01-19 41 00.176	0.06072998 1.9244232 8.627808
2015-07-01-19 41 00.180	0.3547058 1.8577728 8.997955
2015-07-01-19 41 00.185	0.5510864 1.756607 9.051514
2015-07-01-19 41 00.190	0.8248291 1.6399689 9.181244
2015-07-01-19 41 00.196	1.0128784 1.595932 9.4609375
2015-07-01-19 41 00.200	1.2033081 1.5173798 9.5252075
2015-07-01-19 41 00.205	1.3651733 1.5280914 9.6716
2015-07-01-19 41 00.210	1.5008545 1.5221405 9.765625
2015-07-01-19 41 00.216	1.5377502 1.4364471 9.99295
2015-07-01-19 41 00.220	1.5056152 1.4245453 10.257172
2015-07-01-19 41 00.225	1.4389648 1.3531342 10.43927
2015-07-01-19 41 00.231	1.4151611 1.2912445 10.722534
2015-07-01-19 41 00.236	1.2687683 1.2912445 10.899872
2015-07-01-19 41 00.242	1.1164246 1.3055267 11.20694
2015-07-01-19 41 00.246	0.9712219 1.3388519 11.744904
2015-07-01-19 41 00.251	0.8236389 1.365036 12.142426
2015-07-01-19 41 00.256	0.7427063 1.2983856 12.648254
2015-07-01-19 41 00.261	0.6010742 1.2091217 13.093384
2015-07-01-19 41 00.266	0.471344 1.1234283 13.618256
2015-07-01-19 41 00.271	0.32138062 1.1174774 13.820587
2015-07-01-19 41 00.276	0.19998169 1.140091 13.890808
2015-07-01-19 41 00.281	0.20831299 1.1079559 13.767029
2015-07-01-19 41 00.286	0.31304932 1.1139069 13.45163
2015-07-01-19 41 00.292	0.35232544 1.0460663 13.062439
2015-07-01-19 41 00.296	0.3142395 1.0532074 12.600647
2015-07-01-19 41 00.301	0.29995728 0.9722748 12.268585
2015-07-01-19 41 00.306	0.23092651 0.83421326 12.012695
2015-07-01-19 41 00.311	0.30828857 0.68663025 12.126953
2015-07-01-19 41 00.317	0.31781006 0.5188141 12.398315
2015-07-01-19 41 00.323	0.36779785 0.3617096 13.167175
2015-07-01-19 41 00.326	0.586792 0.31648254 14.03244
2015-07-01-19 41 00.331	0.6855774 0.18437195 15.008392
2015-07-01-19 41 00.337	0.73794556 0.09272766 15.69632
2015-07-01-19 41 00.341	0.69747925 -0.039382935 15.936737
2015-07-01-19 41 00.346	0.5796509 -0.14411926 16.114075
2015-07-01-19 41 00.352	0.46658325 -0.22029114 15.820099
2015-07-01-19 41 00.357	0.36065674 -0.19529724 15.327362
2015-07-01-19 41 00.361	0.3808899 -0.12150574 14.590637
2015-07-01-19 41 00.366	0.33328247 -0.014389038 13.896759
2015-07-01-19 41 00.372	0.22259521 0.12843323 13.250488
2015-07-01-19 41 00.377	0.038116455 0.23078918 12.723236
2015-07-01-19 41 00.382	-0.003540039 0.24745178 12.320953
2015-07-01-19 41 00.387	0.0036010742 0.2795868 11.967468
2015-07-01-19 41 00.394	-0.05709839 0.2783966 11.794891
2015-07-01-19 41 00.398	0.07977295 0.29981995 11.573517
2015-07-01-19 41 00.402	0.029785156 0.2545929 11.460449
2015-07-01-19 41 00.407	0.067871094 0.17366028 11.361664
2015-07-01-19 41 00.412	0.07858276 0.13319397 11.308105
