2015-07-01-19 44 48.757	1.1759338 -0.23100281 17.827942
2015-07-01-19 44 48.764	1.3723145 -0.041763306 16.935303
2015-07-01-19 44 48.769	1.4234924 0.26887512 15.470184
2015-07-01-19 44 48.773	1.4437256 0.55570984 13.893188
2015-07-01-19 44 48.779	1.459198 0.69496155 11.91153
2015-07-01-19 44 48.784	1.2509155 0.5580902 9.978668
2015-07-01-19 44 48.789	1.529419 0.40693665 8.307648
2015-07-01-19 44 48.797	2.125702 0.47477722 7.0948486
2015-07-01-19 44 48.799	2.8790894 0.91633606 6.8877563
2015-07-01-19 44 48.805	3.2849426 1.5197601 7.4221497
2015-07-01-19 44 48.808	3.050476 1.9970245 8.752777
2015-07-01-19 44 48.815	2.420868 2.1112823 10.326202
2015-07-01-19 44 48.819	1.5056152 1.8982391 11.875824
2015-07-01-19 44 48.825	0.471344 1.4542999 12.824402
2015-07-01-19 44 48.829	-0.42486572 1.185318 13.476624
2015-07-01-19 44 48.834	-1.2341919 1.0413055 14.145508
2015-07-01-19 44 48.839	-1.7209778 1.1627045 14.781067
2015-07-01-19 44 48.844	-2.0268555 1.4281158 15.428528
2015-07-01-19 44 48.849	-2.2184753 1.6292572 15.967682
2015-07-01-19 44 48.854	-2.0292358 1.7482758 16.632996
2015-07-01-19 44 48.858	-1.7400208 1.7232819 17.124542
2015-07-01-19 44 48.864	-1.2877502 1.6030731 17.611328
2015-07-01-19 44 48.869	-0.8319092 1.4590607 18.112396
2015-07-01-19 44 48.873	-0.57839966 1.2638702 18.423035
2015-07-01-19 44 48.879	-0.4355774 1.0782013 18.533722
2015-07-01-19 44 48.884	-0.37606812 0.9115753 18.315918
2015-07-01-19 44 48.889	-0.29751587 0.838974 17.787476
2015-07-01-19 44 48.894	-0.15826416 0.8484955 16.975769
2015-07-01-19 44 48.900	0.11071777 0.98298645 15.862946
2015-07-01-19 44 48.905	0.39160156 1.1746063 14.625153
2015-07-01-19 44 48.909	0.6415405 1.3376617 13.277863
2015-07-01-19 44 48.915	0.84625244 1.5161896 12.082916
2015-07-01-19 44 48.921	0.9712219 1.5792694 10.7951355
2015-07-01-19 44 48.925	1.241394 1.7339935 9.695404
2015-07-01-19 44 48.929	1.2973328 1.7482758 8.750397
2015-07-01-19 44 48.934	1.3913574 1.7768402 7.8970337
2015-07-01-19 44 48.939	1.4615784 1.7161407 7.0603333
2015-07-01-19 44 48.945	1.5246582 1.7149506 6.4188232
2015-07-01-19 44 48.949	1.4937134 1.6816254 5.7535095
2015-07-01-19 44 48.954	1.504425 1.6363983 5.17984
2015-07-01-19 44 48.959	1.5079956 1.5983124 4.626404
2015-07-01-19 44 48.966	1.529419 1.5864105 4.158661
