2015-07-02-19 28 54.523	0.06430054 2.1707916 6.1117554
2015-07-02-19 28 54.528	0.12142944 2.2148285 6.3819275
2015-07-02-19 28 54.535	0.15356445 2.1898346 6.6378174
2015-07-02-19 28 54.539	0.18807983 2.1826935 6.833008
2015-07-02-19 28 54.544	0.2571106 2.141037 7.1757813
2015-07-02-19 28 54.548	0.25234985 2.154129 7.3888245
2015-07-02-19 28 54.556	0.1821289 2.1208038 7.686371
2015-07-02-19 28 54.561	0.21664429 2.0791473 7.9279785
2015-07-02-19 28 54.565	0.20355225 2.1231842 8.083893
2015-07-02-19 28 54.569	0.2321167 2.0981903 8.251709
2015-07-02-19 28 54.573	0.24401855 2.0970001 8.250519
2015-07-02-19 28 54.579	0.24758911 2.1386566 8.402863
2015-07-02-19 28 54.585	0.27139282 2.121994 8.414764
2015-07-02-19 28 54.590	0.2154541 2.148178 8.402863
2015-07-02-19 28 54.594	0.23806763 2.2207794 8.292175
2015-07-02-19 28 54.599	0.16903687 2.2279205 8.225525
2015-07-02-19 28 54.604	0.035736084 2.269577 8.299316
2015-07-02-19 28 54.609	-0.08328247 2.3314667 8.3576355
2015-07-02-19 28 54.614	-0.29870605 2.3897858 8.230286
2015-07-02-19 28 54.620	-0.4689026 2.4528656 8.229095
2015-07-02-19 28 54.625	-0.57244873 2.5183258 8.152924
2015-07-02-19 28 54.629	-0.7402649 2.494522 7.879181
2015-07-02-19 28 54.636	-0.7950134 2.519516 7.7946777
2015-07-02-19 28 54.639	-0.8533325 2.5076141 7.649475
2015-07-02-19 28 54.644	-0.9104614 2.5790253 7.7149353
2015-07-02-19 28 54.649	-0.90808105 2.642105 7.8434753
2015-07-02-19 28 54.654	-0.7819214 2.67305 7.8256226
2015-07-02-19 28 54.659	-0.63552856 2.6944733 8.036285
2015-07-02-19 28 54.664	-0.4772339 2.7468414 8.033905
2015-07-02-19 28 54.669	-0.35940552 2.7277985 8.096985
2015-07-02-19 28 54.674	-0.23443604 2.7587433 8.092224
2015-07-02-19 28 54.679	-0.18563843 2.7551727 8.346924
2015-07-02-19 28 54.686	-0.17373657 2.7325592 8.659943
2015-07-02-19 28 54.689	-0.1713562 2.7016144 8.971771
2015-07-02-19 28 54.694	-0.15707397 2.642105 9.202667
2015-07-02-19 28 54.699	-0.15588379 2.577835 9.431183
2015-07-02-19 28 54.705	-0.20706177 2.577835 9.6596985
2015-07-02-19 28 54.709	-0.24395752 2.5825958 9.920349
2015-07-02-19 28 54.714	-0.1963501 2.5457 10.277405
2015-07-02-19 28 54.719	-0.19873047 2.5088043 10.833221
2015-07-02-19 28 54.725	-0.047576904 2.345749 11.390228
2015-07-02-19 28 54.729	0.05596924 2.2338715 11.84845
2015-07-02-19 28 54.735	0.2321167 2.1100922 12.259064
2015-07-02-19 28 54.741	0.38327026 2.0136871 12.611359
2015-07-02-19 28 54.745	0.5451355 1.9363251 12.914856
2015-07-02-19 28 54.749	0.7498474 1.8946686 13.055298
2015-07-02-19 28 54.755	0.9176636 2.0089264 13.055298
2015-07-02-19 28 54.760	1.0771484 2.025589 13.024353
2015-07-02-19 28 54.765	1.1735535 1.9601288 12.772034
