2015-06-14-16 33 21.909	-0.7831116 2.6171112 9.552582
2015-06-14-16 33 21.915	-0.79263306 2.60878 9.770386
2015-06-14-16 33 21.920	-0.8616638 2.5730743 10.061981
2015-06-14-16 33 21.926	-0.97354126 2.48143 10.478546
2015-06-14-16 33 21.930	-0.99972534 2.3885956 10.792755
2015-06-14-16 33 21.935	-1.0366211 2.2862396 11.021271
2015-06-14-16 33 21.940	-1.1556396 2.148178 11.279541
2015-06-14-16 33 21.946	-1.1294556 2.0470123 11.461639
2015-06-14-16 33 21.950	-1.1830139 1.8351593 11.819885
2015-06-14-16 33 21.958	-1.0544739 1.8292084 12.253113
2015-06-14-16 33 21.961	-0.9473572 1.730423 12.447113
2015-06-14-16 33 21.966	-0.7462158 1.692337 12.654205
2015-06-14-16 33 21.970	-0.51174927 1.7911224 12.863678
2015-06-14-16 33 21.976	-0.37606812 1.9339447 13.111237
2015-06-14-16 33 21.981	-0.3284607 2.0458221 13.331421
2015-06-14-16 33 21.986	-0.42486572 1.9410858 13.190979
2015-06-14-16 33 21.993	-0.49389648 1.7256622 13.19693
2015-06-14-16 33 21.996	-0.60220337 1.499527 13.220734
2015-06-14-16 33 22.001	-0.7319336 1.4876251 13.158844
2015-06-14-16 33 22.007	-0.8973694 1.5983124 13.185028
2015-06-14-16 33 22.011	-1.080658 1.6816254 13.064819
2015-06-14-16 33 22.016	-1.2258606 1.660202 12.900574
2015-06-14-16 33 22.021	-1.2913208 1.5697479 12.573273
2015-06-14-16 33 22.027	-1.2675171 1.4983368 12.2447815
2015-06-14-16 33 22.032	-1.0068665 1.4554901 11.831787
2015-06-14-16 33 22.036	-1.0068665 1.4554901 11.831787
2015-06-14-16 33 22.041	-0.87713623 1.4078827 11.806793
2015-06-14-16 33 22.047	-0.77716064 1.3245697 11.780609
2015-06-14-16 33 22.051	-0.58792114 1.2353058 11.855591
2015-06-14-16 33 22.058	-0.49508667 1.217453 11.996033
2015-06-14-16 33 22.061	-0.43914795 1.2448273 12.126953
2015-06-14-16 33 22.067	-0.285614 1.281723 12.061493
2015-06-14-16 33 22.073	-0.3522644 1.1484222 11.959137
2015-06-14-16 33 22.077	-0.56173706 1.0817719 11.811554
2015-06-14-16 33 22.082	-0.99972534 1.1686554 12.047211
2015-06-14-16 33 22.087	-0.99972534 1.1686554 12.047211
2015-06-14-16 33 22.091	-1.2913208 1.2234039 12.017456
2015-06-14-16 33 22.096	-1.5650635 1.2115021 11.956757
2015-06-14-16 33 22.102	-1.9542542 1.2388763 11.471161
2015-06-14-16 33 22.107	-2.172058 1.1781769 11.20694
2015-06-14-16 33 22.112	-2.1768188 1.2567291 10.861786
2015-06-14-16 33 22.116	-2.1244507 1.2436371 10.477356
2015-06-14-16 33 22.125	-1.985199 1.2507782 10.133392
2015-06-14-16 33 22.127	-1.6721802 1.2948151 9.857269
2015-06-14-16 33 22.132	-1.3674927 1.4150238 9.551392
2015-06-14-16 33 22.137	-1.0354309 1.4078827 9.205048
2015-06-14-16 33 22.142	-0.7140808 1.4554901 8.924164
2015-06-14-16 33 22.147	-0.40582275 1.499527 8.511169
2015-06-14-16 33 22.152	-0.18920898 1.5019073 8.125549
2015-06-14-16 33 22.157	0.019073486 1.5376129 7.8387146
2015-06-14-16 33 22.162	0.16427612 1.6197357 7.4733276
2015-06-14-16 33 22.167	0.2487793 1.7387543 7.0055847
2015-06-14-16 33 22.175	0.27139282 1.7649384 6.641388
2015-06-14-16 33 22.179	0.21426392 1.8292084 6.1962585
2015-06-14-16 33 22.184	0.061920166 1.9410858 5.8106384
2015-06-14-16 33 22.190	0.0059814453 1.961319 5.417877
2015-06-14-16 33 22.194	-0.0975647 2.0232086 5.057251
2015-06-14-16 33 22.206	-0.058288574 2.1041412 4.491913
2015-06-14-16 33 22.207	-0.14398193 2.1779327 4.1229553
2015-06-14-16 33 22.211	-0.09994507 2.166031 3.9563293
2015-06-14-16 33 22.214	0.048828125 2.1969757 3.9063416
2015-06-14-16 33 22.218	0.21783447 2.3064728 4.0027466
2015-06-14-16 33 22.223	0.3380432 2.3957367 4.191986
2015-06-14-16 33 22.228	0.40826416 2.3862152 4.2336426
2015-06-14-16 33 22.233	0.37612915 2.4338226 4.41098
2015-06-14-16 33 22.238	0.40707397 2.4469147 4.690674
2015-06-14-16 33 22.243	0.40707397 2.4909515 5.088196
2015-06-14-16 33 22.248	0.41778564 2.4838104 5.3690796
2015-06-14-16 33 22.253	0.5022888 2.41716 5.789215
2015-06-14-16 33 22.258	0.51538086 2.3374176 6.1879272
2015-06-14-16 33 22.263	0.6046448 2.2529144 6.610443
2015-06-14-16 33 22.268	0.54037476 2.1850739 7.084137
2015-06-14-16 33 22.273	0.40945435 2.0398712 7.7101746
2015-06-14-16 33 22.278	0.28329468 1.9625092 8.406433
2015-06-14-16 33 22.283	0.25949097 2.025589 8.950348
2015-06-14-16 33 22.288	0.22497559 2.076767 9.397858
2015-06-14-16 33 22.293	0.09286499 2.0363007 9.770386
2015-06-14-16 33 22.298	-0.18087769 1.9256134 10.032227
2015-06-14-16 33 22.303	-0.3927307 1.8339691 10.415466
2015-06-14-16 33 22.308	-0.5903015 1.813736 10.873688
2015-06-14-16 33 22.313	-0.6498108 1.7958832 11.358093
2015-06-14-16 33 22.318	-0.60220337 1.8280182 11.846069
2015-06-14-16 33 22.323	-0.43676758 1.8613434 12.163849
2015-06-14-16 33 22.329	-0.27252197 1.8244476 12.204315
2015-06-14-16 33 22.334	-0.05114746 1.8184967 12.0971985
2015-06-14-16 33 22.338	0.113098145 1.8446808 11.779419
2015-06-14-16 33 22.343	0.17736816 1.8946686 11.454498
2015-06-14-16 33 22.349	0.1583252 1.9994049 11.055786
2015-06-14-16 33 22.353	0.24758911 2.0267792 10.876068
2015-06-14-16 33 22.358	0.019073486 2.0101166 10.770142
2015-06-14-16 33 22.363	-0.17016602 2.019638 10.50116
2015-06-14-16 33 22.369	-0.41177368 1.9958344 10.263123
2015-06-14-16 33 22.373	-0.6390991 2.0493927 10.196472
2015-06-14-16 33 22.379	-0.84143066 2.0410614 10.227417
2015-06-14-16 33 22.384	-0.9687805 2.0493927 10.329773
2015-06-14-16 33 22.389	-1.0163879 2.1565094 10.540436
