2015-06-14-11:32:13.787	-0.52960205 2.173172 9.4609375
2015-06-14-11:32:13.795	-0.5426941 2.09581 9.524017
2015-06-14-11:32:13.800	-0.49032593 2.0946198 9.615662
2015-06-14-11:32:13.805	-0.5438843 2.1303253 9.679932
2015-06-14-11:32:13.809	-0.55340576 2.0946198 9.73587
2015-06-14-11:32:13.814	-0.5105591 2.1255646 9.706116
2015-06-14-11:32:13.820	-0.48080444 2.1255646 9.702545
2015-06-14-11:32:13.825	-0.45224 2.082718 9.773956
2015-06-14-11:32:13.830	-0.42962646 2.0601044 9.822754
2015-06-14-11:32:13.835	-0.42010498 2.0612946 9.808472
2015-06-14-11:32:13.840	-0.4105835 2.0398712 9.827515
2015-06-14-11:32:13.848	-0.43200684 2.0291595 9.853699
2015-06-14-11:32:13.850	-0.4105835 2.0601044 9.7561035
2015-06-14-11:32:13.855	-0.43676758 2.0565338 9.7751465
2015-06-14-11:32:13.860	-0.37963867 2.0113068 9.79895
2015-06-14-11:32:13.865	-0.4105835 2.1136627 9.754913
2015-06-14-11:32:13.870	-0.37368774 2.0589142 9.66684
2015-06-14-11:32:13.875	-0.37963867 2.0755768 9.701355
2015-06-14-11:32:13.880	-0.4093933 2.0910492 9.658508
2015-06-14-11:32:13.886	-0.37368774 2.108902 9.73468
2015-06-14-11:32:13.891	-0.38320923 2.148178 9.647797
2015-06-14-11:32:13.895	-0.38320923 2.148178 9.647797
2015-06-14-11:32:13.900	-0.37249756 2.1327057 9.570435
2015-06-14-11:32:13.906	-0.37249756 2.1505585 9.47522
2015-06-14-11:32:13.910	-0.42486572 2.1315155 9.508545
2015-06-14-11:32:13.915	-0.44628906 2.1767426 9.497833
2015-06-14-11:32:13.920	-0.4510498 2.1327057 9.514496
2015-06-14-11:32:13.926	-0.484375 2.1505585 9.566864
2015-06-14-11:32:13.930	-0.45819092 2.1636505 9.566864
2015-06-14-11:32:13.936	-0.45343018 2.198166 9.583527
2015-06-14-11:32:13.942	-0.46295166 2.1945953 9.612091
2015-06-14-11:32:13.946	-0.49032593 2.1874542 9.651367
2015-06-14-11:32:13.951	-0.61053467 2.1636505 9.718018
2015-06-14-11:32:13.955	-0.567688 2.1969757 9.806091
2015-06-14-11:32:13.960	-0.61291504 2.2017365 9.895355
2015-06-14-11:32:13.968	-0.6974182 2.237442 9.901306
2015-06-14-11:32:13.972	-0.7723999 2.2921906 10.089355
2015-06-14-11:32:13.975	-0.78549194 2.2517242 10.18219
2015-06-14-11:32:13.981	-0.77835083 2.2731476 10.24408
2015-06-14-11:32:13.986	-0.7128906 2.2850494 10.322632
2015-06-14-11:32:13.991	-0.715271 2.3516998 10.332153
2015-06-14-11:32:13.996	-0.76168823 2.3516998 10.282166
2015-06-14-11:32:14.001	-0.830719 2.358841 10.211945
2015-06-14-11:32:14.006	-0.8961792 2.442154 10.095306
2015-06-14-11:32:14.011	-0.97592163 2.4373932 9.994141
2015-06-14-11:32:14.018	-0.92355347 2.461197 9.956055
2015-06-14-11:32:14.022	-0.92474365 2.5088043 9.964386
2015-06-14-11:32:14.026	-0.8961792 2.455246 9.921539
2015-06-14-11:32:14.031	-0.9854431 2.5099945 9.850128
2015-06-14-11:32:14.036	-0.9390259 2.5302277 9.889404
2015-06-14-11:32:14.043	-0.9890137 2.4754791 9.884644
2015-06-14-11:32:14.047	-0.99853516 2.4885712 9.895355
2015-06-14-11:32:14.052	-1.0009155 2.443344 9.785858
2015-06-14-11:32:14.056	-0.96640015 2.4147797 9.803711
2015-06-14-11:32:14.061	-0.9116516 2.3540802 9.789429
2015-06-14-11:32:14.068	-0.862854 2.3350372 9.92392
2015-06-14-11:32:14.071	-0.81048584 2.282669 9.873932
2015-06-14-11:32:14.076	-0.8140564 2.205307 9.887024
2015-06-14-11:32:14.081	-0.88427734 2.1529388 10.004852
2015-06-14-11:32:14.087	-0.8450012 2.09581 10.096497
2015-06-14-11:32:14.091	-0.92593384 2.0755768 10.092926
2015-06-14-11:32:14.096	-0.8783264 2.1077118 10.140533
