2015-06-23-18 44 56.986	1.099762 1.3019562 10.43808
2015-06-23-18 44 56.993	0.90338135 1.2900543 10.417847
2015-06-23-18 44 56.998	0.77246094 1.2924347 10.303589
2015-06-23-18 44 57.003	0.41897583 1.2781525 10.176239
2015-06-23-18 44 57.008	0.115478516 1.2115021 9.869171
2015-06-23-18 44 57.013	-0.30465698 1.3281403 9.706116
2015-06-23-18 44 57.018	-0.6652832 1.3043365 9.501404
2015-06-23-18 44 57.025	-1.0140076 1.3162384 9.499023
2015-06-23-18 44 57.028	-1.273468 1.3352814 9.356201
2015-06-23-18 44 57.033	-1.5376892 1.384079 9.170532
2015-06-23-18 44 57.038	-1.6971741 1.3745575 9.0289
2015-06-23-18 44 57.043	-1.6424255 1.4590607 8.83609
2015-06-23-18 44 57.048	-1.4448547 1.4769135 8.757538
2015-06-23-18 44 57.053	-1.2020569 1.5614166 8.682556
2015-06-23-18 44 57.059	-1.0973206 1.5804596 8.226715
2015-06-23-18 44 57.063	-0.98187256 1.6185455 7.642334
2015-06-23-18 44 57.068	-0.91522217 1.6328278 7.0698547
2015-06-23-18 44 57.074	-0.7723999 1.6244965 6.33313
2015-06-23-18 44 57.078	-0.67837524 1.7209015 5.840393
2015-06-23-18 44 57.083	-0.5855408 1.749466 5.524994
2015-06-23-18 44 57.088	-0.47009277 1.7887421 5.533325
2015-06-23-18 44 57.094	-0.23205566 1.7875519 5.7666016
2015-06-23-18 44 57.098	-0.00592041 1.8577728 6.102234
2015-06-23-18 44 57.104	0.27496338 1.8054047 6.360504
2015-06-23-18 44 57.109	0.35232544 2.0720062 7.0174866
2015-06-23-18 44 57.114	0.5713196 1.872055 6.9794006
2015-06-23-18 44 57.118	0.65582275 1.7268524 7.161499
2015-06-23-18 44 57.125	0.7688904 1.8423004 7.475708
2015-06-23-18 44 57.129	0.82006836 1.993454 7.841095
2015-06-23-18 44 57.134	0.73080444 2.0053558 8.089844
2015-06-23-18 44 57.138	0.6260681 1.9922638 8.339783
2015-06-23-18 44 57.143	0.5796509 2.03154 8.340973
2015-06-23-18 44 57.149	0.5772705 2.0815277 8.270752
2015-06-23-18 44 57.154	0.5463257 2.2124481 8.214813
2015-06-23-18 44 57.159	0.40231323 2.1624603 8.221954
2015-06-23-18 44 57.164	0.3975525 2.179123 8.461182
2015-06-23-18 44 57.169	0.5130005 2.1362762 8.889648
2015-06-23-18 44 57.174	0.6593933 2.1362762 9.250275
2015-06-23-18 44 57.179	0.7438965 2.064865 9.535919
2015-06-23-18 44 57.184	0.6129761 2.0053558 9.828705
2015-06-23-18 44 57.189	0.6034546 1.929184 10.230988
2015-06-23-18 44 57.194	0.6689148 1.8708649 10.76181
2015-06-23-18 44 57.199	0.56536865 1.781601 11.279541
2015-06-23-18 44 57.204	0.63797 1.7256622 11.688965
2015-06-23-18 44 57.211	0.69747925 1.6637726 12.10553
2015-06-23-18 44 57.215	0.6582031 1.6459198 12.053162
2015-06-23-18 44 57.219	0.6582031 1.6459198 12.053162
2015-06-23-18 44 57.225	0.6010742 1.6268768 12.113861
2015-06-23-18 44 57.230	0.48324585 1.5887909 12.009125
2015-06-23-18 44 57.234	0.323761 1.58284 11.946045
2015-06-23-18 44 57.239	0.15118408 1.6268768 11.855591
2015-06-23-18 44 57.245	-0.084472656 1.6268768 11.662781
2015-06-23-18 44 57.249	-0.36416626 1.6506805 11.227173
2015-06-23-18 44 57.255	-0.6486206 1.6054535 10.789185
2015-06-23-18 44 57.259	-1.1032715 1.4055023 10.578522
2015-06-23-18 44 57.264	-1.4031982 1.3400421 10.616608
2015-06-23-18 44 57.269	-1.6317139 1.1436615 10.853455
2015-06-23-18 44 57.275	-1.6531372 1.0091705 11.104584
2015-06-23-18 44 57.279	-1.4293823 0.95799255 11.478302
2015-06-23-18 44 57.284	-1.2115784 0.95799255 12.004364
2015-06-23-18 44 57.289	-0.8378601 1.3852692 12.350708
2015-06-23-18 44 57.295	-0.8378601 1.3852692 12.350708
2015-06-23-18 44 57.299	-0.56411743 1.0734406 11.740143
2015-06-23-18 44 57.304	-0.18206787 0.9437103 11.361664
2015-06-23-18 44 57.310	-0.024963379 0.99131775 10.873688
2015-06-23-18 44 57.315	-0.1296997 1.172226 10.408325
2015-06-23-18 44 57.320	-0.42248535 1.2960052 9.66922
2015-06-23-18 44 57.325	-0.7307434 1.3757477 8.878937
2015-06-23-18 44 57.330	-0.9925842 1.4412079 8.198151
2015-06-23-18 44 57.335	-1.1235046 1.4983368 7.847046
2015-06-23-18 44 57.340	-1.1568298 1.6006927 7.7220764
2015-06-23-18 44 57.345	-1.1473083 1.5138092 7.9648743
2015-06-23-18 44 57.350	-1.048523 1.4911957 8.520691
2015-06-23-18 44 57.355	-1.0782776 1.5745087 9.420471
2015-06-23-18 44 57.361	-1.1461182 1.7601776 9.99176
2015-06-23-18 44 57.365	-1.3175049 1.8339691 10.369049
2015-06-23-18 44 57.370	-1.4151001 1.6887665 10.6297
2015-06-23-18 44 57.375	-1.4638977 1.5649872 11.153381
2015-06-23-18 44 57.380	-1.722168 1.5364227 12.069824
2015-06-23-18 44 57.385	-1.9947205 1.5459442 12.914856
2015-06-23-18 44 57.390	-2.319641 1.5102386 13.58255
2015-06-23-18 44 57.396	-2.690979 1.4459686 13.861053
2015-06-23-18 44 57.400	-2.9635315 1.4566803 13.7908325
2015-06-23-18 44 57.408	-3.2218018 1.3900299 13.502808
2015-06-23-18 44 57.411	-3.2539368 1.2829132 13.236206
2015-06-23-18 44 57.416	-3.088501 1.3864594 12.824402
2015-06-23-18 44 57.420	-2.8718872 1.2662506 12.474487
2015-06-23-18 44 57.425	-2.4934082 1.3376617 11.944855
2015-06-23-18 44 57.430	-2.0720825 1.3876495 11.406891
2015-06-23-18 44 57.436	-1.5900574 1.4043121 10.916534
2015-06-23-18 44 57.440	-1.1473083 1.3638458 10.433319
2015-06-23-18 44 57.445	-0.6974182 1.3995514 10.010803
2015-06-23-18 44 57.451	-0.3843994 1.5030975 9.422852
2015-06-23-18 44 57.456	-0.13565063 1.6054535 8.695648
2015-06-23-18 44 57.461	0.16546631 1.6625824 7.93869
2015-06-23-18 44 57.466	0.3320923 1.7375641 7.3007507
2015-06-23-18 44 57.471	0.6427307 1.7744598 6.71756
2015-06-23-18 44 57.476	0.8164978 1.6947174 6.108185
2015-06-23-18 44 57.481	0.9581299 1.64711 5.718994
2015-06-23-18 44 57.486	1.048584 1.7149506 5.514282
2015-06-23-18 44 57.491	1.0711975 1.7637482 5.332184
2015-06-23-18 44 57.496	1.1235657 1.8208771 5.2476807
2015-06-23-18 44 57.501	1.0069275 1.8625336 5.1893616
2015-06-23-18 44 57.506	1.0223999 1.8815765 5.2203064
2015-06-23-18 44 57.513	0.8974304 1.9672699 5.1893616
2015-06-23-18 44 57.517	0.83673096 2.0553436 5.2405396
2015-06-23-18 44 57.521	0.7998352 2.230301 5.269104
2015-06-23-18 44 57.526	0.7653198 2.2469635 5.403595
2015-06-23-18 44 57.531	0.68200684 2.2160187 5.5095215
2015-06-23-18 44 57.536	0.7331848 2.22435 5.745178
2015-06-23-18 44 57.541	0.76293945 2.1243744 6.231964
2015-06-23-18 44 57.546	0.80459595 2.205307 6.8246765
2015-06-23-18 44 57.551	0.6605835 2.2017365 7.340027
2015-06-23-18 44 57.557	0.42730713 2.1945953 7.866089
2015-06-23-18 44 57.561	0.23806763 2.1315155 8.25647
2015-06-23-18 44 57.566	0.11428833 2.0731964 8.799194
2015-06-23-18 44 57.572	-0.028533936 1.9256134 9.322876
2015-06-23-18 44 57.577	-0.18325806 1.9113312 10.078644
2015-06-23-18 44 57.581	-0.20230103 1.923233 10.802277
2015-06-23-18 44 57.586	-0.13446045 1.9279938 11.223602
2015-06-23-18 44 57.592	-0.0154418945 1.8827667 11.580658
2015-06-23-18 44 57.597	0.12857056 1.910141 11.652069
2015-06-23-18 44 57.602	0.27020264 2.0053558 11.583038
2015-06-23-18 44 57.607	0.30947876 2.1017609 11.3211975
2015-06-23-18 44 57.612	0.34161377 2.114853 10.814178
2015-06-23-18 44 57.617	0.26663208 2.2088776 10.170288
2015-06-23-18 44 57.622	-0.041625977 2.313614 9.664459
2015-06-23-18 44 57.627	-0.2796631 2.3647919 9.385956
2015-06-23-18 44 57.632	-0.54626465 2.4409637 9.293121
2015-06-23-18 44 57.637	-0.8223877 2.398117 9.472839
2015-06-23-18 44 57.642	-1.0223389 2.4135895 9.788239
2015-06-23-18 44 57.647	-1.1842041 2.3647919 10.17981
2015-06-23-18 44 57.652	-1.241333 2.2850494 10.668976
2015-06-23-18 44 57.658	-1.0973206 2.2779083 11.375946
2015-06-23-18 44 57.663	-1.0830383 2.0624847 12.030548
2015-06-23-18 44 57.667	-0.9366455 1.8791962 12.725616
2015-06-23-18 44 57.672	-0.6390991 1.724472 13.595642
2015-06-23-18 44 57.678	-0.31417847 1.781601 14.240723
2015-06-23-18 44 57.682	0.1166687 1.8982391 14.657288
2015-06-23-18 44 57.687	0.29638672 1.8542023 14.54541
2015-06-23-18 44 57.692	0.37731934 1.8815765 14.077667
2015-06-23-18 44 57.698	0.5939331 1.9994049 13.161224
2015-06-23-18 44 57.702	0.6605835 2.3647919 12.219788
2015-06-23-18 44 57.708	0.9985962 2.693283 11.648499
2015-06-23-18 44 57.713	0.8557739 2.8801422 10.805847
2015-06-23-18 44 57.718	0.5629883 3.2133942 10.028656
2015-06-23-18 44 57.722	0.43325806 3.6109161 9.4288025
2015-06-23-18 44 57.727	0.28686523 3.8834686 9.002716
