2015-06-29-22 51 44.518	0.53323364 0.36766052 12.820831
2015-06-29-22 51 44.525	0.56417847 0.40693665 12.353088
2015-06-29-22 51 44.529	0.7105713 0.43074036 11.725861
2015-06-29-22 51 44.534	0.80459595 0.3355255 11.202179
2015-06-29-22 51 44.538	0.7748413 0.37956238 10.684448
2015-06-29-22 51 44.546	0.8319702 0.5342865 10.323822
2015-06-29-22 51 44.550	0.68795776 0.80088806 10.026276
2015-06-29-22 51 44.555	0.44873047 0.91633606 9.809662
2015-06-29-22 51 44.560	0.14523315 1.1674652 9.5383
2015-06-29-22 51 44.564	-0.07495117 1.3555145 9.4097595
2015-06-29-22 51 44.569	-0.3867798 1.5245209 9.233612
2015-06-29-22 51 44.574	-0.7307434 1.64711 8.959869
2015-06-29-22 51 44.579	-0.946167 1.7554169 8.626617
2015-06-29-22 51 44.584	-1.1092224 1.872055 8.410004
2015-06-29-22 51 44.592	-1.2841797 1.923233 8.169586
2015-06-29-22 51 44.595	-1.3793945 1.9029999 7.9672546
2015-06-29-22 51 44.600	-1.3805847 1.826828 7.9482117
2015-06-29-22 51 44.604	-1.3734436 1.7982635 7.919647
2015-06-29-22 51 44.610	-1.3520203 1.8875275 7.9148865
2015-06-29-22 51 44.615	-1.1949158 1.9767914 8.051758
2015-06-29-22 51 44.619	-1.1294556 1.9196625 8.100555
2015-06-29-22 51 44.624	-1.0818481 1.9732208 8.060089
2015-06-29-22 51 44.630	-0.9045105 2.03273 8.173157
2015-06-29-22 51 44.634	-0.78549194 1.9910736 8.039856
2015-06-29-22 51 44.643	-0.6414795 2.0279694 7.9851074
2015-06-29-22 51 44.646	-0.50579834 1.9922638 7.9743958
2015-06-29-22 51 44.650	-0.28204346 1.9660797 7.8827515
2015-06-29-22 51 44.654	-0.06304932 1.9625092 7.87323
2015-06-29-22 51 44.660	0.051208496 1.942276 7.726837
2015-06-29-22 51 44.665	0.15356445 1.9041901 7.5887756
2015-06-29-22 51 44.670	0.26306152 1.8744354 7.42334
2015-06-29-22 51 44.675	0.36779785 1.8863373 7.4078674
2015-06-29-22 51 44.679	0.37612915 1.8684845 7.3959656
2015-06-29-22 51 44.685	0.35113525 1.9006195 7.3888245
2015-06-29-22 51 44.691	0.35113525 1.9256134 7.309082
2015-06-29-22 51 44.695	0.3392334 1.864914 7.1960144
2015-06-29-22 51 44.700	0.3154297 1.7994537 7.1341248
2015-06-29-22 51 44.707	0.19284058 1.807785 7.1079407
2015-06-29-22 51 44.711	0.17022705 1.7839813 7.1507874
2015-06-29-22 51 44.715	0.16784668 1.8351593 7.181732
2015-06-29-22 51 44.720	0.1083374 1.8327789 7.2162476
2015-06-29-22 51 44.725	0.13928223 1.8434906 7.155548
2015-06-29-22 51 44.730	0.1737976 1.8542023 7.315033
2015-06-29-22 51 44.735	0.18927002 1.8470612 7.3316956
2015-06-29-22 51 44.741	0.14047241 1.8327789 7.397156
2015-06-29-22 51 44.745	0.17260742 1.8434906 7.461426
2015-06-29-22 51 44.751	0.15237427 1.845871 7.462616
2015-06-29-22 51 44.755	0.09524536 1.7958832 7.379303
2015-06-29-22 51 44.762	0.07739258 1.8280182 7.3816833
2015-06-29-22 51 44.765	0.083343506 1.8280182 7.42572
2015-06-29-22 51 44.771	0.06430054 1.9494171 7.391205
2015-06-29-22 51 44.775	0.10595703 2.0410614 7.2281494
2015-06-29-22 51 44.780	0.13571167 1.9494171 7.085327
2015-06-29-22 51 44.785	0.03930664 2.0017853 6.9258423
2015-06-29-22 51 44.791	0.04525757 2.0267792 6.9734497
2015-06-29-22 51 44.796	-0.069000244 2.1196136 6.891327
2015-06-29-22 51 44.801	-0.082092285 2.135086 6.6306763
2015-06-29-22 51 44.806	-0.032104492 2.1707916 6.442627
2015-06-29-22 51 44.811	-0.11779785 2.1565094 6.6080627
2015-06-29-22 51 44.816	-0.3701172 2.0279694 6.955597
2015-06-29-22 51 44.821	-0.44866943 2.1303253 7.4078674
2015-06-29-22 51 44.826	-0.57839966 2.1612701 7.822052
2015-06-29-22 51 44.831	-0.6414795 2.192215 8.112457
2015-06-29-22 51 44.836	-0.7497864 2.1612701 8.414764
2015-06-29-22 51 44.841	-0.7950134 2.116043 8.598053
2015-06-29-22 51 44.846	-0.8473816 2.0970001 8.951538
2015-06-29-22 51 44.851	-0.8890381 2.0267792 9.100311
2015-06-29-22 51 44.857	-1.0187683 2.0089264 9.359772
2015-06-29-22 51 44.861	-1.0961304 2.0291595 9.419281
2015-06-29-22 51 44.866	-1.2353821 2.0612946 9.587097
2015-06-29-22 51 44.871	-1.4246216 2.0720062 9.790619
2015-06-29-22 51 44.876	-1.6043396 2.0029755 9.873932
2015-06-29-22 51 44.881	-1.818573 2.0660553 10.045319
2015-06-29-22 51 44.886	-2.094696 2.038681 10.2178955
2015-06-29-22 51 44.891	-2.4779358 1.9910736 10.449982
2015-06-29-22 51 44.896	-2.8147583 2.0374908 10.722534
2015-06-29-22 51 44.902	-3.1325378 1.9327545 10.9427185
2015-06-29-22 51 44.907	-3.2206116 1.897049 11.260498
2015-06-29-22 51 44.912	-3.2313232 1.8815765 11.59613
2015-06-29-22 51 44.916	-3.1622925 1.8256378 11.85083
2015-06-29-22 51 44.921	-3.0075684 1.8149261 12.054352
2015-06-29-22 51 44.926	-2.8611755 1.8851471 12.322144
2015-06-29-22 51 44.932	-2.8528442 1.8280182 12.259064
2015-06-29-22 51 44.936	-2.8266602 1.7542267 12.213837
2015-06-29-22 51 44.941	-2.9385376 1.6363983 12.130524
2015-06-29-22 51 44.947	-3.0789795 1.6304474 12.053162
2015-06-29-22 51 44.952	-3.1111145 1.5935516 11.816315
2015-06-29-22 51 44.956	-3.2337036 1.5161896 11.634216
2015-06-29-22 51 44.961	-3.3539124 1.6125946 11.571136
2015-06-29-22 51 44.967	-3.370575 1.5435638 11.547333
2015-06-29-22 51 44.972	-3.351532 1.4590607 11.681824
2015-06-29-22 51 44.977	-3.2896423 1.3745575 11.863922
2015-06-29-22 51 44.982	-3.1682434 1.2924347 12.206696
2015-06-29-22 51 44.987	-2.9825745 1.2079315 12.513763
2015-06-29-22 51 44.992	-2.7504883 1.19841 12.893433
2015-06-29-22 51 44.997	-2.5267334 1.1234283 13.293335
2015-06-29-22 51 45.002	-2.370819 1.1139069 13.737274
2015-06-29-22 51 45.009	-2.2339478 1.037735 14.428772
2015-06-29-22 51 45.014	-2.3279724 0.9710846 14.564453
2015-06-29-22 51 45.017	-2.460083 0.94966125 14.676331
2015-06-29-22 51 45.022	-2.704071 0.9234772 14.558502
2015-06-29-22 51 45.027	-2.851654 0.9365692 14.403778
2015-06-29-22 51 45.032	-2.9528198 0.89372253 14.206207
2015-06-29-22 51 45.037	-2.9647217 0.8365936 14.025299
2015-06-29-22 51 45.046	-2.8754578 0.8330231 13.788452
2015-06-29-22 51 45.047	-2.800476 0.8282623 13.501617
2015-06-29-22 51 45.053	-2.7207336 0.9449005 13.115997
2015-06-29-22 51 45.057	-2.768341 0.9270477 12.754181
2015-06-29-22 51 45.062	-2.8433228 1.0294037 12.29953
2015-06-29-22 51 45.067	-2.8754578 1.0674896 11.91391
2015-06-29-22 51 45.073	-2.8433228 1.1698456 11.544952
2015-06-29-22 51 45.077	-2.781433 1.1948395 11.178375
2015-06-29-22 51 45.082	-2.7433472 1.2971954 10.82251
2015-06-29-22 51 45.087	-2.5612488 1.3674164 10.445221
2015-06-29-22 51 45.093	-2.5291138 1.4066925 10.203613
2015-06-29-22 51 45.097	-2.3089294 1.4864349 9.847748
2015-06-29-22 51 45.102	-2.2458496 1.5007172 9.404999
2015-06-29-22 51 45.108	-2.1411133 1.6363983 9.0824585
2015-06-29-22 51 45.113	-1.9840088 1.6744843 8.51355
2015-06-29-22 51 45.117	-1.8971252 1.7066193 7.9422607
2015-06-29-22 51 45.123	-1.8614197 1.8577728 7.392395
2015-06-29-22 51 45.128	-2.088745 1.8899078 7.3007507
2015-06-29-22 51 45.133	-1.8816528 1.9434662 6.596161
2015-06-29-22 51 45.138	-1.54245 2.1077118 5.9772644
2015-06-29-22 51 45.143	-1.3924866 2.146988 5.5809326
2015-06-29-22 51 45.148	-1.3413086 2.1648407 5.154846
2015-06-29-22 51 45.153	-1.0651855 2.2195892 4.9334717
2015-06-29-22 51 45.159	-0.7462158 2.1422272 4.7585144
2015-06-29-22 51 45.163	-0.47009277 2.1707916 4.79422
2015-06-29-22 51 45.168	-0.1630249 2.0910492 4.940613
2015-06-29-22 51 45.173	0.12619019 2.114853 5.038208
2015-06-29-22 51 45.178	0.32138062 2.1231842 5.256012
2015-06-29-22 51 45.183	0.5189514 2.179123 5.441681
2015-06-29-22 51 45.188	0.6248779 2.2255402 5.4250183
2015-06-29-22 51 45.193	0.7319946 2.2207794 5.469055
2015-06-29-22 51 45.198	0.91171265 2.2862396 5.764221
2015-06-29-22 51 45.204	1.0283508 2.3814545 5.9974976
2015-06-29-22 51 45.209	0.9724121 2.35289 6.07724
2015-06-29-22 51 45.214	0.9628906 2.4254913 6.14151
2015-06-29-22 51 45.218	0.98550415 2.449295 6.314087
2015-06-29-22 51 45.223	0.901001 2.5183258 6.4461975
2015-06-29-22 51 45.228	0.97598267 2.576645 6.679474
2015-06-29-22 51 45.234	0.9878845 2.6397247 6.9067993
2015-06-29-22 51 45.239	1.0116882 2.7420807 7.224579
2015-06-29-22 51 45.244	1.0854797 2.8039703 7.4388123
2015-06-29-22 51 45.249	1.2437744 2.814682 7.706604
2015-06-29-22 51 45.254	1.3020935 2.852768 7.9029846
2015-06-29-22 51 45.258	1.2806702 2.8099213 8.022003
2015-06-29-22 51 45.264	1.34375 2.852768 8.120789
2015-06-29-22 51 45.269	1.3735046 2.9063263 8.169586
2015-06-29-22 51 45.274	1.2616272 2.917038 8.224335
2015-06-29-22 51 45.279	1.0723877 2.9253693 8.311218
2015-06-29-22 51 45.284	0.89624023 3.0063019 8.45166
2015-06-29-22 51 45.289	0.8236389 2.981308 8.681366
2015-06-29-22 51 45.294	0.5689392 3.0098724 8.924164
2015-06-29-22 51 45.299	0.3808899 3.0039215 9.108643
2015-06-29-22 51 45.304	0.1583252 3.0217743 9.322876
2015-06-29-22 51 45.311	-0.053527832 3.0550995 9.509735
2015-06-29-22 51 45.315	-0.17730713 3.0824738 9.622803
2015-06-29-22 51 45.319	-0.2784729 3.136032 9.752533
2015-06-29-22 51 45.324	-0.41653442 3.18721 9.758484
2015-06-29-22 51 45.329	-0.4593811 3.2586212 9.653748
2015-06-29-22 51 45.334	-0.45700073 3.3526459 9.453796
2015-06-29-22 51 45.339	-0.43081665 3.4431 9.008667
2015-06-29-22 51 45.344	-0.31655884 3.4335785 8.694458
2015-06-29-22 51 45.349	-0.30941772 3.4097748 8.379059
2015-06-29-22 51 45.355	-0.30941772 3.405014 8.081512
2015-06-29-22 51 45.359	-0.3201294 3.3800201 7.949402
2015-06-29-22 51 45.365	-0.52127075 3.3812103 7.854187
2015-06-29-22 51 45.370	-0.6664734 3.4097748 7.9017944
2015-06-29-22 51 45.375	-0.82595825 3.366928 8.248138
2015-06-29-22 51 45.380	-0.978302 3.3300323 8.561157
2015-06-29-22 51 45.385	-1.0401917 3.2848053 8.974152
2015-06-29-22 51 45.389	-0.9533081 3.2145844 9.383575
2015-06-29-22 51 45.395	-0.80215454 3.1074677 9.92749
2015-06-29-22 51 45.399	-0.6390991 2.9146576 10.327393
2015-06-29-22 51 45.405	-0.44509888 2.8111115 10.94986
2015-06-29-22 51 45.410	-0.18563843 2.692093 11.610413
2015-06-29-22 51 45.415	0.08453369 2.5040436 12.130524
2015-06-29-22 51 45.420	0.15356445 2.3374176 12.473297
2015-06-29-22 51 45.425	0.49276733 2.3505096 12.996979
2015-06-29-22 51 45.430	0.99264526 2.2969513 13.167175
2015-06-29-22 51 45.435	1.0009766 2.070816 13.32309
2015-06-29-22 51 45.440	0.9819336 1.8565826 13.381409
2015-06-29-22 51 45.445	1.0866699 1.8161163 13.363556
2015-06-29-22 51 45.450	1.1628418 1.9113312 13.625397
2015-06-29-22 51 45.455	1.0057373 1.8851471 13.793213
2015-06-29-22 51 45.461	0.965271 1.6542511 14.063385
2015-06-29-22 51 45.465	0.8652954 1.5947418 14.176453
2015-06-29-22 51 45.470	0.7736511 1.5042877 14.282379
2015-06-29-22 51 45.475	0.7605591 1.4983368 14.165741
2015-06-29-22 51 45.480	0.74746704 1.5483246 14.061005
2015-06-29-22 51 45.485	0.9569397 1.4531097 13.995544
2015-06-29-22 51 45.490	0.86172485 1.3495636 13.632538
2015-06-29-22 51 45.496	0.8760071 1.3686066 13.279053
2015-06-29-22 51 45.500	0.9712219 1.319809 12.712524
2015-06-29-22 51 45.506	1.1295166 1.4174042 12.347137
2015-06-29-22 51 45.511	1.2556763 1.3900299 12.003174
2015-06-29-22 51 45.516	1.3675537 1.397171 11.704437
2015-06-29-22 51 45.521	1.4580078 1.3019562 11.46402
2015-06-29-22 51 45.525	1.6210632 1.3590851 11.443787
2015-06-29-22 51 45.531	1.6817627 1.2924347 11.53067
2015-06-29-22 51 45.536	1.5413208 1.3150482 11.563995
