2015-07-04-23 13 21.241	-2.2696533 1.7637482 11.959137
2015-07-04-23 13 21.246	-2.331543 1.550705 12.900574
2015-07-04-23 13 21.253	-2.1815796 1.3352814 13.820587
2015-07-04-23 13 21.257	-1.8995056 1.204361 14.472809
2015-07-04-23 13 21.263	-1.6674194 1.2186432 14.936981
2015-07-04-23 13 21.268	-1.0913696 1.3805084 15.470184
2015-07-04-23 13 21.273	-0.53912354 1.3686066 15.682037
2015-07-04-23 13 21.277	-0.22610474 1.3019562 15.263092
2015-07-04-23 13 21.285	0.083343506 1.3055267 14.48233
2015-07-04-23 13 21.288	0.18688965 1.204361 13.623016
2015-07-04-23 13 21.293	0.46420288 1.2269745 12.649445
2015-07-04-23 13 21.299	0.56655884 1.1793671 11.894867
2015-07-04-23 13 21.304	0.78674316 1.3031464 11.242645
2015-07-04-23 13 21.308	0.9390869 1.5209503 10.466644
2015-07-04-23 13 21.313	1.1711731 1.8982391 9.792999
2015-07-04-23 13 21.317	1.3377991 2.3005219 9.127686
2015-07-04-23 13 21.323	1.3223267 2.5683136 8.573059
2015-07-04-23 13 21.328	1.3080444 2.5564117 8.029144
2015-07-04-23 13 21.333	1.1985474 2.3969269 7.6316223
2015-07-04-23 13 21.338	1.0176392 2.1696014 7.578064
2015-07-04-23 13 21.344	0.8593445 1.8256378 7.9089355
2015-07-04-23 13 21.348	0.5439453 1.5852203 8.783722
2015-07-04-23 13 21.353	0.3320923 1.4423981 9.86441
2015-07-04-23 13 21.360	0.113098145 1.2602997 11.006989
2015-07-04-23 13 21.363	-0.15231323 1.0865326 12.311432
2015-07-04-23 13 21.368	-0.44866943 0.9437103 13.513519
2015-07-04-23 13 21.373	-0.57958984 0.7092438 14.939362
2015-07-04-23 13 21.378	-0.7890625 0.53904724 16.358063
2015-07-04-23 13 21.383	-0.8616638 0.33909607 17.359009
2015-07-04-23 13 21.388	-0.90927124 0.16532898 17.861267
2015-07-04-23 13 21.394	-0.7652588 -0.05128479 17.94339
2015-07-04-23 13 21.398	-0.7045593 -0.13697815 17.593475
2015-07-04-23 13 21.404	-0.4915161 -0.20124817 17.004333
2015-07-04-23 13 21.411	-0.18682861 -0.20124817 16.139069
2015-07-04-23 13 21.414	0.17855835 -0.14292908 15.134552
2015-07-04-23 13 21.418	0.45111084 -0.052474976 14.176453
