2015-06-14-16 28 22.902	1.491333 1.2698212 9.359772
2015-06-14-16 28 22.906	1.3961182 1.2591095 9.056274
2015-06-14-16 28 22.911	1.2318726 1.2614899 8.920593
2015-06-14-16 28 22.916	1.0985718 1.3614655 8.799194
2015-06-14-16 28 22.921	0.8914795 1.4566803 8.895599
2015-06-14-16 28 22.926	0.6867676 1.4602509 8.893219
2015-06-14-16 28 22.933	0.5141907 1.4685822 9.083649
2015-06-14-16 28 22.937	0.26901245 1.4507294 9.09198
2015-06-14-16 28 22.941	0.1821289 1.3852692 9.259796
2015-06-14-16 28 22.946	0.11785889 1.3269501 9.224091
2015-06-14-16 28 22.955	0.16070557 1.287674 9.237183
2015-06-14-16 28 22.958	0.38446045 1.2281647 9.0503235
2015-06-14-16 28 22.961	0.5844116 1.1460419 9.038422
2015-06-14-16 28 22.966	0.7831726 1.0520172 9.076508
2015-06-14-16 28 22.972	0.89385986 1.056778 8.943207
2015-06-14-16 28 22.977	0.82125854 1.1436615 8.750397
2015-06-14-16 28 22.983	0.6022644 1.185318 8.542114
2015-06-14-16 28 22.987	0.41897583 1.3769379 8.230286
2015-06-14-16 28 22.991	0.28805542 1.4376373 7.7934875
2015-06-14-16 28 22.998	0.03930664 1.4412079 7.4602356
2015-06-14-16 28 23.001	-0.07495117 1.5923615 7.0484314
2015-06-14-16 28 23.006	-0.10827637 1.6363983 6.7746887
2015-06-14-16 28 23.011	-0.0809021 1.6935272 6.596161
2015-06-14-16 28 23.017	0.054779053 1.7839813 6.470001
2015-06-14-16 28 23.021	0.21664429 1.8089752 6.473572
2015-06-14-16 28 23.026	0.39517212 1.8899078 6.3974
2015-06-14-16 28 23.032	0.47491455 1.9208527 6.3807373
2015-06-14-16 28 23.037	0.63797 1.9149017 6.4640503
2015-06-14-16 28 23.041	0.9176636 1.8672943 6.6271057
2015-06-14-16 28 23.047	1.0759583 1.8863373 6.9651184
2015-06-14-16 28 23.052	1.1818848 1.9541779 7.29599
2015-06-14-16 28 23.057	1.2699585 1.9506073 7.366211
2015-06-14-16 28 23.062	1.2640076 1.9172821 7.4840393
2015-06-14-16 28 23.068	1.2033081 2.0243988 7.4995117
2015-06-14-16 28 23.072	1.0854797 2.1565094 7.5352173
2015-06-14-16 28 23.077	0.9747925 2.3302765 7.6578064
2015-06-14-16 28 23.082	0.8438721 2.4350128 7.7363586
2015-06-14-16 28 23.087	0.82958984 2.4850006 7.9101257
2015-06-14-16 28 23.092	0.71295166 2.5683136 7.963684
2015-06-14-16 28 23.100	0.7748413 2.5885468 8.232666
2015-06-14-16 28 23.104	0.78674316 2.7147064 8.482605
2015-06-14-16 28 23.107	0.65701294 2.73732 8.775391
2015-06-14-16 28 23.112	0.63201904 2.7801666 9.084839
2015-06-14-16 28 23.118	0.49752808 2.782547 9.391907
2015-06-14-16 28 23.122	0.46896362 2.750412 9.73111
2015-06-14-16 28 23.127	0.38208008 2.7611237 10.05365
2015-06-14-16 28 23.134	0.3475647 2.7075653 10.346436
2015-06-14-16 28 23.138	0.22021484 2.6623383 10.497589
2015-06-14-16 28 23.142	0.07144165 2.5671234 10.7118225
2015-06-14-16 28 23.150	0.05834961 2.60997 11.074829
2015-06-14-16 28 23.153	0.054779053 2.6563873 11.139099
2015-06-14-16 28 23.158	0.10714722 2.7480316 11.189087
2015-06-14-16 28 23.163	0.11190796 2.7742157 11.118866
2015-06-14-16 28 23.168	0.12857056 2.8182526 10.88559
2015-06-14-16 28 23.173	0.07382202 2.8515778 10.546387
2015-06-14-16 28 23.178	-0.01663208 2.890854 10.300018
2015-06-14-16 28 23.183	-0.19873047 2.8765717 10.170288
2015-06-14-16 28 23.188	-0.37487793 2.8801422 10.229797
2015-06-14-16 28 23.193	-0.4272461 2.8646698 10.088165
2015-06-14-16 28 23.200	-0.4855652 2.8123016 9.979858
2015-06-14-16 28 23.203	-0.664093 2.8420563 9.762054
2015-06-14-16 28 23.208	-0.93188477 2.8063507 9.741821
2015-06-14-16 28 23.214	-1.0473328 2.5909271 10.18338
2015-06-14-16 28 23.219	-1.2234802 2.4957123 10.6297
2015-06-14-16 28 23.223	-1.4817505 2.4588165 10.858215
2015-06-14-16 28 23.228	-1.4317627 2.2195892 11.278351
2015-06-14-16 28 23.233	-1.3127441 2.0612946 11.709198
2015-06-14-16 28 23.239	-1.2210999 1.8208771 12.136475
