2015-06-23-18 43 21.557	-0.548645 2.2600555 10.044128
2015-06-23-18 43 21.562	-0.5736389 2.064865 9.180054
2015-06-23-18 43 21.567	-0.6260071 2.0910492 8.38382
2015-06-23-18 43 21.573	-0.54626465 2.2790985 7.9779663
2015-06-23-18 43 21.577	-0.42843628 2.4659576 7.6661377
2015-06-23-18 43 21.583	-0.39868164 2.5540314 7.29718
2015-06-23-18 43 21.588	-0.45462036 2.41716 6.8294373
2015-06-23-18 43 21.593	-0.651001 2.411209 6.2521973
2015-06-23-18 43 21.598	-0.5664978 2.5504608 5.976074
2015-06-23-18 43 21.603	-0.3522644 2.6016388 5.7475586
2015-06-23-18 43 21.608	-0.25585938 2.5659332 5.621399
2015-06-23-18 43 21.613	-0.0642395 2.5361786 5.815399
2015-06-23-18 43 21.618	0.0178833 2.430252 6.0105896
2015-06-23-18 43 21.623	0.22854614 2.3993073 6.4188232
2015-06-23-18 43 21.630	0.6094055 2.3255157 7.307892
2015-06-23-18 43 21.634	0.64035034 2.3219452 7.852997
2015-06-23-18 43 21.638	0.64035034 2.3219452 7.852997
2015-06-23-18 43 21.643	0.6748657 2.2671967 8.313599
2015-06-23-18 43 21.648	0.7486572 2.121994 8.786102
2015-06-23-18 43 21.653	0.7427063 1.9827423 9.246704
2015-06-23-18 43 21.660	0.7093811 1.9648895 9.360962
2015-06-23-18 43 21.663	0.66415405 2.000595 9.521637
2015-06-23-18 43 21.668	0.5606079 2.0374908 9.509735
2015-06-23-18 43 21.674	0.503479 2.0743866 9.429993
2015-06-23-18 43 21.678	0.42611694 2.064865 9.331207
2015-06-23-18 43 21.683	0.41897583 2.102951 9.081268
2015-06-23-18 43 21.689	0.40707397 2.1493683 9.15506
2015-06-23-18 43 21.694	0.27020264 2.1969757 9.116974
2015-06-23-18 43 21.698	0.07501221 2.000595 9.210999
2015-06-23-18 43 21.703	0.048828125 1.8577728 9.600189
2015-06-23-18 43 21.709	-0.11065674 1.9601288 10.065552
2015-06-23-18 43 21.714	-0.15945435 1.9458466 10.465454
2015-06-23-18 43 21.718	-0.4189148 1.9577484 10.50473
2015-06-23-18 43 21.724	-0.5688782 2.0017853 10.601135
2015-06-23-18 43 21.729	-0.75216675 1.864914 10.720154
2015-06-23-18 43 21.734	-0.8235779 1.8815765 10.728485
2015-06-23-18 43 21.739	-0.7973938 1.9732208 10.608276
2015-06-23-18 43 21.744	-0.7402649 1.9506073 10.427368
2015-06-23-18 43 21.749	-1.0794678 1.6233063 10.577332
2015-06-23-18 43 21.754	-1.2496643 1.7506561 10.597565
2015-06-23-18 43 21.759	-1.4055786 1.9327545 10.553528
2015-06-23-18 43 21.764	-1.6852722 1.910141 10.542816
2015-06-23-18 43 21.769	-1.8459473 1.8030243 10.510681
2015-06-23-18 43 21.775	-2.1280212 1.6066437 10.453552
2015-06-23-18 43 21.780	-2.3220215 1.58284 10.636841
