2015-06-23-15 11 51.618	-1.0794678 2.0303497 9.520447
2015-06-23-15 11 51.622	-1.1056519 1.910141 9.524017
2015-06-23-15 11 51.627	-1.2853699 1.7970734 9.650177
2015-06-23-15 11 51.632	-1.4484253 1.7316132 9.973907
2015-06-23-15 11 51.637	-1.7055054 1.6268768 10.31073
2015-06-23-15 11 51.642	-1.966156 1.4578705 10.851074
2015-06-23-15 11 51.648	-2.1054077 1.3340912 11.27478
2015-06-23-15 11 51.653	-2.0090027 1.2472076 11.793701
2015-06-23-15 11 51.658	-2.0339966 1.2662506 12.251923
2015-06-23-15 11 51.663	-1.8221436 1.2317352 12.550659
2015-06-23-15 11 51.668	-1.504364 1.3674164 12.81131
2015-06-23-15 11 51.673	-1.1235046 1.6494904 12.954132
2015-06-23-15 11 51.677	-0.9116516 2.0077362 12.656586
2015-06-23-15 11 51.683	-0.84381104 2.2386322 12.119812
2015-06-23-15 11 51.688	-0.80215454 2.3433685 11.348572
2015-06-23-15 11 51.697	-0.73550415 2.4207306 10.597565
2015-06-23-15 11 51.703	-0.52008057 2.379074 10.032227
2015-06-23-15 11 51.704	-0.5581665 2.455246 9.6406555
2015-06-23-15 11 51.708	-0.8973694 2.4600067 9.226471
2015-06-23-15 11 51.713	-1.568634 2.5052338 8.83728
2015-06-23-15 11 51.718	-2.306549 2.5730743 8.7742
2015-06-23-15 11 51.724	-2.9397278 2.6183014 9.061035
2015-06-23-15 11 51.728	-3.3289185 2.6587677 9.612091
2015-06-23-15 11 51.735	-3.4396057 2.506424 10.583282
2015-06-23-15 11 51.739	-3.2337036 2.2088776 11.806793
2015-06-23-15 11 51.744	-2.7671509 2.0017853 12.737518
2015-06-23-15 11 51.750	-2.274414 1.7078094 13.615875
2015-06-23-15 11 51.753	-2.0185242 1.5304718 14.473999
2015-06-23-15 11 51.758	-1.773346 1.3400421 15.0928955
2015-06-23-15 11 51.763	-1.6543274 1.1960297 15.582062
2015-06-23-15 11 51.769	-1.6781311 1.1246185 15.659424
2015-06-23-15 11 51.773	-1.7828674 1.2733917 15.3237915
2015-06-23-15 11 51.778	-1.9875793 1.4043121 14.476379
2015-06-23-15 11 51.784	-2.204193 1.4733429 13.568268
2015-06-23-15 11 51.789	-2.4898376 1.6840057 12.605408
2015-06-23-15 11 51.793	-2.6362305 1.8553925 11.762756
2015-06-23-15 11 51.799	-2.742157 1.9767914 10.837982
2015-06-23-15 11 51.804	-2.780243 2.070816 10.009613
2015-06-23-15 11 51.809	-2.7124023 2.1850739 9.297882
2015-06-23-15 11 51.813	-2.7409668 2.3362274 8.529022
2015-06-23-15 11 51.819	-2.575531 2.4528656 7.8137207
2015-06-23-15 11 51.824	-2.4612732 2.41716 7.4031067
2015-06-23-15 11 51.829	-2.2756042 2.4397736 7.066284
2015-06-23-15 11 51.834	-2.0482788 2.4123993 6.9913025
2015-06-23-15 11 51.839	-1.73526 2.3362274 7.0103455
2015-06-23-15 11 51.846	-1.5031738 2.2576752 6.9579773
2015-06-23-15 11 51.852	-1.3424988 2.1719818 7.116272
2015-06-23-15 11 51.854	-1.3044128 2.102951 7.2721863
2015-06-23-15 11 51.859	-1.2460938 2.1112823 7.6530457
2015-06-23-15 11 51.864	-1.2306213 1.9446564 7.906555
2015-06-23-15 11 51.869	-1.1699219 1.9029999 8.080322
2015-06-23-15 11 51.874	-1.0735168 1.8315887 8.1588745
2015-06-23-15 11 51.879	-1.010437 1.8470612 8.0112915
2015-06-23-15 11 51.884	-1.0770874 1.8423004 7.795868
2015-06-23-15 11 51.890	-1.0128174 1.8768158 7.507843
2015-06-23-15 11 51.894	-0.93426514 1.9351349 7.2864685
2015-06-23-15 11 51.899	-0.8711853 1.9648895 6.982971
2015-06-23-15 11 51.904	-0.7378845 1.9922638 6.693756
2015-06-23-15 11 51.910	-0.77835083 2.064865 6.437866
2015-06-23-15 11 51.914	-0.70336914 2.0779572 6.239105
2015-06-23-15 11 51.919	-0.7069397 2.1362762 6.173645
2015-06-23-15 11 51.924	-0.7140808 2.1826935 6.0165405
2015-06-23-15 11 51.930	-0.6581421 2.0803375 6.0177307
2015-06-23-15 11 51.934	-0.6581421 2.1005707 5.9915466
2015-06-23-15 11 51.939	-0.6807556 2.0922394 6.1058044
2015-06-23-15 11 51.945	-0.71884155 2.064865 6.1772156
2015-06-23-15 11 51.950	-0.6569519 1.9375153 6.4783325
2015-06-23-15 11 51.955	-0.45819092 1.8506317 6.84729
2015-06-23-15 11 51.959	-0.30941772 1.8184967 7.2412415
2015-06-23-15 11 51.965	-0.06542969 1.7458954 7.668518
2015-06-23-15 11 51.970	0.061920166 1.7066193 7.9922485
2015-06-23-15 11 51.975	0.113098145 1.6102142 8.314789
2015-06-23-15 11 51.980	0.11785889 1.6363983 8.607574
2015-06-23-15 11 51.985	-0.00592041 1.6137848 8.739685
2015-06-23-15 11 51.990	-0.08328247 1.7220917 8.937256
2015-06-23-15 11 51.996	-0.15826416 1.7601776 9.102692
2015-06-23-15 11 52.000	-0.33798218 1.8946686 9.075317
2015-06-23-15 11 52.005	-0.48794556 2.0660553 8.96225
2015-06-23-15 11 52.010	-0.6307678 2.2136383 8.733734
2015-06-23-15 11 52.015	-0.85214233 2.28862 8.426666
2015-06-23-15 11 52.020	-1.0116272 2.314804 8.1779175
2015-06-23-15 11 52.025	-1.1377869 2.443344 7.9029846
2015-06-23-15 11 52.030	-1.3163147 2.5361786 7.7173157
2015-06-23-15 11 52.035	-1.2913208 2.6551971 7.7113647
2015-06-23-15 11 52.041	-1.2460938 2.6063995 7.7613525
2015-06-23-15 11 52.046	-0.9890137 2.6171112 7.8779907
2015-06-23-15 11 52.051	-0.8723755 2.67424 8.189819
2015-06-23-15 11 52.055	-0.52960205 2.6563873 8.437378
2015-06-23-15 11 52.060	-0.63671875 2.5885468 8.507599
2015-06-23-15 11 52.065	-0.5177002 2.5076141 8.675415
2015-06-23-15 11 52.071	-0.24395752 2.4588165 8.849182
2015-06-23-15 11 52.075	-0.13684082 2.379074 9.069366
2015-06-23-15 11 52.080	-0.03567505 2.2517242 9.47403
2015-06-23-15 11 52.086	-0.14993286 2.1291351 9.881073
2015-06-23-15 11 52.091	-0.2796631 2.0660553 10.190521
2015-06-23-15 11 52.095	-0.47009277 1.9886932 10.779663
2015-06-23-15 11 52.100	-0.6069641 1.8565826 11.435455
2015-06-23-15 11 52.106	-0.6807556 1.6828156 12.007935
2015-06-23-15 11 52.111	-0.55340576 1.5852203 12.594696
2015-06-23-15 11 52.116	-0.4439087 1.4602509 13.174316
2015-06-23-15 11 52.121	-0.36654663 1.4066925 13.689667
2015-06-23-15 11 52.126	-0.27609253 1.3733673 14.027679
2015-06-23-15 11 52.131	-0.21539307 1.3864594 14.260956
2015-06-23-15 11 52.136	-0.0071105957 1.4626312 14.205017
2015-06-23-15 11 52.141	0.24401855 1.5721283 14.066956
2015-06-23-15 11 52.148	0.5296631 1.5328522 13.524231
2015-06-23-15 11 52.152	0.5927429 1.6435394 13.189789
2015-06-23-15 11 52.156	0.5927429 1.6435394 13.189789
2015-06-23-15 11 52.161	0.6439209 1.7839813 12.908905
2015-06-23-15 11 52.166	0.522522 1.987503 12.466156
2015-06-23-15 11 52.171	0.36184692 2.114853 11.910339
2015-06-23-15 11 52.176	0.10952759 2.269577 11.430695
2015-06-23-15 11 52.181	-0.021392822 2.2576752 11.030792
2015-06-23-15 11 52.186	-0.024963379 2.2457733 10.691589
2015-06-23-15 11 52.193	-0.13684082 2.262436 10.432129
2015-06-23-15 11 52.196	-0.17849731 2.2469635 10.408325
2015-06-23-15 11 52.201	-0.16183472 2.173172 10.589233
2015-06-23-15 11 52.206	0.08572388 1.923233 11.084351
2015-06-23-15 11 52.212	0.08572388 1.923233 11.084351
2015-06-23-15 11 52.216	0.32733154 1.7673187 11.377136
