2015-06-24-09 55 21.696	0.35708618 1.7185211 8.38739
2015-06-24-09 55 21.701	0.43206787 1.8054047 8.608765
2015-06-24-09 55 21.706	0.26901245 1.7875519 8.329071
2015-06-24-09 55 21.714	0.0059814453 1.9910736 7.9279785
2015-06-24-09 55 21.724	-0.020202637 2.076767 7.5947266
2015-06-24-09 55 21.725	-0.00592041 2.295761 7.418579
2015-06-24-09 55 21.726	-0.00592041 2.2195892 7.0543823
2015-06-24-09 55 21.731	-0.053527832 2.301712 6.878235
2015-06-24-09 55 21.737	-0.16659546 2.3624115 6.794922
2015-06-24-09 55 21.741	-0.17611694 2.4278717 6.813965
2015-06-24-09 55 21.747	-0.24157715 2.5076141 6.9841614
2015-06-24-09 55 21.752	-0.35583496 2.5397491 7.2031555
2015-06-24-09 55 21.757	-0.47842407 2.5730743 7.23172
2015-06-24-09 55 21.761	-0.56292725 2.6063995 7.475708
2015-06-24-09 55 21.766	-0.5736389 2.6587677 7.545929
2015-06-24-09 55 21.772	-0.6331482 2.6837616 7.795868
2015-06-24-09 55 21.777	-0.6176758 2.6813812 8.125549
2015-06-24-09 55 21.781	-0.68551636 2.7611237 8.399292
2015-06-24-09 55 21.787	-0.6664734 2.8242035 8.713501
2015-06-24-09 55 21.792	-0.61886597 2.9134674 8.9027405
2015-06-24-09 55 21.797	-0.67837524 2.9801178 8.969391
2015-06-24-09 55 21.802	-0.7307434 3.0729523 9.078888
2015-06-24-09 55 21.807	-0.72003174 3.0860443 8.968201
2015-06-24-09 55 21.812	-0.779541 3.2074432 9.062225
2015-06-24-09 55 21.819	-0.87475586 3.2217255 9.132446
2015-06-24-09 55 21.822	-0.99972534 3.2729034 9.122925
2015-06-24-09 55 21.827	-1.1544495 3.4216766 9.293121
2015-06-24-09 55 21.832	-1.2829895 3.4514313 9.362152
2015-06-24-09 55 21.837	-1.3198853 3.5026093 9.401428
2015-06-24-09 55 21.842	-1.2948914 3.5240326 9.339539
2015-06-24-09 55 21.847	-1.241333 3.4930878 9.231232
2015-06-24-09 55 21.854	-1.1889648 3.5954437 9.083649
2015-06-24-09 55 21.860	-1.1889648 3.5954437 9.083649
2015-06-24-09 55 21.862	-1.1211243 3.5549774 9.034851
2015-06-24-09 55 21.870	-1.1568298 3.5168915 8.9670105
2015-06-24-09 55 21.873	-1.1604004 3.4680939 9.012238
2015-06-24-09 55 21.878	-1.2199097 3.3502655 9.28241
2015-06-24-09 55 21.882	-1.1568298 3.3002777 9.781097
2015-06-24-09 55 21.887	-1.1413574 3.1967316 10.539246
2015-06-24-09 55 21.892	-1.0985107 3.045578 11.130768
2015-06-24-09 55 21.898	-1.1782532 2.8123016 11.790131
2015-06-24-09 55 21.902	-1.0259094 2.5885468 12.388794
