1970-01-02-20:26:26.686	-0.16004944 -0.3632202 0.45233154 0.0 0.0 0.0
1970-01-02-20:26:26.687	-0.08314514 -0.32904053 0.4416504 0.0 0.0 0.0
1970-01-02-20:26:26.688	-0.023330688 -0.28631592 0.44058228 0.0 0.0 0.0
1970-01-02-20:26:26.710	0.025802612 -0.13891602 0.48757935 0.0 -0.0 0.0
1970-01-02-20:26:26.710	-0.0041046143 -0.0887146 0.50787354 0.0 -0.0 0.0
1970-01-02-20:26:26.711	-0.051101685 -0.047058105 0.52389526 0.0 -0.0 0.0
1970-01-02-20:26:26.715	-0.19316101 -0.008605957 0.5409851 0.0 -0.0 0.0
1970-01-02-20:26:26.720	-0.27540588 -0.004333496 0.54312134 165.06982 -13.177237 -7.730597
1970-01-02-20:26:26.730	-0.40785217 -0.016082764 0.55059814 164.8252 -12.954022 -7.805475
1970-01-02-20:26:26.737	-0.4441681 -0.03744507 0.5538025 164.57983 -12.696057 -7.867741
1970-01-02-20:26:26.756	-0.4665985 -0.10366821 0.577301 164.32867 -12.406397 -7.93804
1970-01-02-20:26:26.757	-0.4580536 -0.14105225 0.595459 164.073 -12.109781 -7.9954033
1970-01-02-20:26:26.761	-0.4035797 -0.21261597 0.63604736 163.80542 -11.8224945 -8.048052
1970-01-02-20:26:26.766	-0.3608551 -0.24572754 0.6595459 163.52972 -11.561317 -8.067387
1970-01-02-20:26:26.775	-0.26686096 -0.29058838 0.7076111 163.2445 -11.339396 -8.048709
1970-01-02-20:26:26.785	-0.17713928 -0.2927246 0.7524719 162.9469 -11.158036 -8.003299
1970-01-02-20:26:26.790	-0.13975525 -0.28097534 0.7652893 162.633 -11.0478 -7.9128146
1970-01-02-20:26:26.800	-0.09062195 -0.24572754 0.78878784 162.31146 -10.990003 -7.782538
1970-01-02-20:26:26.805	-0.08100891 -0.22116089 0.799469 161.98145 -10.956742 -7.651462
1970-01-02-20:26:26.815	-0.07460022 -0.17202759 0.8154907 161.6405 -10.951227 -7.5241194
1970-01-02-20:26:26.821	-0.06819153 -0.14959717 0.8197632 161.29059 -10.958558 -7.404752
