1970-01-04-08:52:06.107	0.20417786 0.48486328 -0.45663452 0.0 0.0 0.0
1970-01-04-08:52:06.107	0.2287445 0.3737793 -0.54849243 0.0 0.0 0.0
1970-01-04-08:52:06.108	0.23835754 0.24453735 -0.62646484 0.0 0.0 0.0
1970-01-04-08:52:06.134	0.18495178 -0.10687256 -0.757843 0.0 -0.0 0.0
1970-01-04-08:52:06.135	0.1507721 -0.14212036 -0.76852417 0.0 -0.0 0.0
1970-01-04-08:52:06.135	0.1091156 -0.16348267 -0.75891113 0.0 -0.0 0.0
1970-01-04-08:52:06.138	-0.03614807 -0.1592102 -0.6777344 0.0 -0.0 0.0
1970-01-04-08:52:06.145	-0.14402771 -0.118621826 -0.62005615 162.82349 -19.144903 1.9132737
1970-01-04-08:52:06.151	-0.39289856 0.0031433105 -0.4961548 162.99927 -18.961634 1.491956
1970-01-04-08:52:06.156	-0.508255 0.07043457 -0.433136 163.12555 -18.727404 1.0530841
1970-01-04-08:52:06.168	-0.6684723 0.28085327 -0.3081665 163.20825 -18.387785 0.60394186
1970-01-04-08:52:06.177	-0.702652 0.5906067 -0.22592163 163.24976 -17.966309 0.15115759
1970-01-04-08:52:06.183	-0.6983795 0.67926025 -0.20455933 163.25275 -17.393814 -0.31504473
1970-01-04-08:52:06.191	-0.6556549 0.7871399 -0.1960144 163.23425 -16.787104 -0.8010703
1970-01-04-08:52:06.199	-0.6150665 0.7315979 -0.20349121 163.20508 -16.175257 -1.3275142
1970-01-04-08:52:06.206	-0.45698547 0.39834595 -0.26223755 163.16821 -15.568711 -1.9086608
1970-01-04-08:52:06.212	-0.332016 0.16656494 -0.3081665 163.18463 -15.015803 -2.375119
1970-01-04-08:52:06.222	0.0012359619 -0.3130188 -0.41497803 163.28607 -14.51064 -2.6423914
1970-01-04-08:52:06.227	0.18922424 -0.5234375 -0.4758606 163.4762 -14.116874 -2.7067142
1970-01-04-08:52:06.236	0.5214081 -0.85668945 -0.609375 163.77435 -13.846098 -2.4984543
1970-01-04-08:52:06.246	0.72862244 -1.046814 -0.76745605 164.14893 -13.7050495 -2.145591
1970-01-04-08:52:06.251	0.77241516 -1.1012878 -0.8529053 164.61536 -13.729955 -1.6617444
1970-01-04-08:52:06.262	0.7254181 -1.1098328 -1.0227356 165.14386 -13.855137 -1.1279988
1970-01-04-08:52:06.267	0.6485138 -1.0361328 -1.0889587 165.72034 -14.0158205 -0.61926514
1970-01-04-08:52:06.276	0.43489075 -0.7680359 -1.1412964 166.3244 -14.221098 -0.19227618
1970-01-04-08:52:06.287	0.19242859 -0.41448975 -1.0878906 166.92285 -14.397782 0.113752194
1970-01-04-08:52:06.293	0.06959534 -0.22970581 -1.0483704 167.46631 -14.508613 0.2158662
1970-01-04-08:52:06.302	-0.14509583 0.11102295 -0.99816895 167.96405 -14.544674 0.225642
1970-01-04-08:52:06.307	-0.22520447 0.2541504 -0.989624 168.41785 -14.494399 0.14379539
1970-01-04-08:52:06.317	-0.32026672 0.4303894 -0.9885559 168.83167 -14.329683 -0.05025227
1970-01-04-08:52:06.325	-0.32881165 0.46136475 -0.98535156 169.22467 -14.098567 -0.3249595
1970-01-04-08:52:06.331	-0.27220154 0.46136475 -0.95651245 169.59595 -13.790181 -0.69774044
1970-01-04-08:52:06.342	-0.16325378 0.4506836 -0.8699951 169.95276 -13.487692 -1.1071062
1970-01-04-08:52:06.347	-0.120529175 0.4645691 -0.7973633 170.26959 -13.222509 -1.5771377
1970-01-04-08:52:06.356	-0.09916687 0.5414734 -0.6179199 170.53473 -13.012101 -2.1103091
1970-01-04-08:52:06.362	-0.116256714 0.59381104 -0.526062 170.74219 -12.819579 -2.6520534
1970-01-04-08:52:06.371	-0.15150452 0.7155762 -0.35409546 170.89429 -12.617539 -3.182091
1970-01-04-08:52:06.378	-0.14723206 0.79034424 -0.28146362 170.99316 -12.396022 -3.6996472
1970-01-04-08:52:06.386	-0.08634949 0.91638184 -0.17037964 171.05109 -12.149146 -4.1788716
1970-01-04-08:52:06.396	0.016189575 0.9217224 -0.10949707 171.0763 -11.913475 -4.637674
1970-01-04-08:52:06.401	0.06425476 0.8725891 -0.104156494 171.07788 -11.704663 -5.048967
1970-01-04-08:52:06.411	0.15397644 0.70809937 -0.1532898 171.08441 -11.527006 -5.383468
1970-01-04-08:52:06.416	0.19776917 0.5788574 -0.19387817 171.11914 -11.382726 -5.6378975
1970-01-04-08:52:06.426	0.25117493 0.22851563 -0.28253174 171.19604 -11.270398 -5.7906694
1970-01-04-08:52:06.431	0.2554474 0.04800415 -0.33166504 171.3247 -11.184855 -5.8283954
1970-01-04-08:52:06.440	0.24369812 -0.2713623 -0.42245483 171.50372 -11.127748 -5.7562943
1970-01-04-08:52:06.445	0.23408508 -0.40594482 -0.45983887 171.72852 -11.075564 -5.601435
1970-01-04-08:52:06.456	0.21699524 -0.6163635 -0.49935913 171.98743 -11.044714 -5.3948894
1970-01-04-08:52:06.466	0.18388367 -0.7114258 -0.49401855 172.26965 -11.017662 -5.1454964
1970-01-04-08:52:06.471	0.15718079 -0.70822144 -0.48013306 172.55841 -11.004556 -4.879351
1970-01-04-08:52:06.481	0.101638794 -0.6152954 -0.43206787 172.83655 -11.006067 -4.625113
1970-01-04-08:52:06.485	0.07707214 -0.5298462 -0.3989563 173.09143 -11.002983 -4.4081964
1970-01-04-08:52:06.496	0.052505493 -0.31515503 -0.3209839 173.31183 -10.996195 -4.2633796
1970-01-04-08:52:06.500	0.051437378 -0.19018555 -0.2729187 173.49152 -10.986347 -4.1932883
1970-01-04-08:52:06.511	0.03968811 0.071502686 -0.17999268 173.62427 -10.971002 -4.2164025
1970-01-04-08:52:06.520	-0.020126343 0.2755127 -0.055023193 173.70862 -10.962156 -4.3199606
1970-01-04-08:52:06.526	-0.05430603 0.35455322 -0.003753662 173.72504 -10.939237 -4.519224
1970-01-04-08:52:06.535	-0.12800598 0.53292847 0.03149414 173.69336 -10.900863 -4.7595315
1970-01-04-08:52:06.541	-0.19850159 0.5916748 0.057128906 173.63544 -10.840154 -5.0362663
1970-01-04-08:52:06.550	-0.3544464 0.6258545 0.1265564 173.55542 -10.731665 -5.3691254
1970-01-04-08:52:06.556	-0.4228058 0.62265015 0.15966797 173.55542 -10.731665 -5.3691254
1970-01-04-08:52:06.573	-0.5274811 0.62265015 0.22695923 173.33606 -10.346765 -6.0309467
1970-01-04-08:52:06.575	-0.619339 0.6194458 0.29211426 173.2002 -10.083121 -6.3380857
1970-01-04-08:52:06.580	-0.67274475 0.59594727 0.3156128 173.04388 -9.757399 -6.6194882
