2015-06-25-17 52 54.989	-0.5748291 2.7920685 9.064606
2015-06-25-17 52 54.996	-0.49508667 2.7397003 9.177673
2015-06-25-17 52 55.000	-0.34869385 2.6873322 9.34787
2015-06-25-17 52 55.005	-0.221344 2.725418 9.657318
2015-06-25-17 52 55.010	-0.11065674 2.7230377 9.937012
2015-06-25-17 52 55.015	0.0047912598 2.725418 10.232178
2015-06-25-17 52 55.020	0.07977295 2.6825714 10.599945
2015-06-25-17 52 55.029	0.07620239 2.750412 10.82489
2015-06-25-17 52 55.030	0.0107421875 2.8349152 11.40332
2015-06-25-17 52 55.036	0.0107421875 2.8349152 11.40332
2015-06-25-17 52 55.040	-0.18087769 2.8587189 11.8663025
2015-06-25-17 52 55.045	-0.38916016 2.757553 12.303101
2015-06-25-17 52 55.050	-0.6069641 2.7539825 12.789886
2015-06-25-17 52 55.056	-0.8866577 2.5171356 13.346893
2015-06-25-17 52 55.061	-0.92593384 2.4992828 14.012207
2015-06-25-17 52 55.065	-0.8699951 2.5040436 14.701324
2015-06-25-17 52 55.070	-0.86642456 2.5992584 15.280945
2015-06-25-17 52 55.076	-0.75097656 2.789688 15.767731
2015-06-25-17 52 55.083	-0.6902771 2.8860931 16.059326
2015-06-25-17 52 55.085	-0.71884155 2.9313202 16.105743
2015-06-25-17 52 55.091	-0.9390259 2.9194183 16.070038
2015-06-25-17 52 55.096	-1.228241 2.924179 15.677277
2015-06-25-17 52 55.101	-1.3448792 2.9015656 15.05719
2015-06-25-17 52 55.106	-1.5400696 2.7325592 14.328796
2015-06-25-17 52 55.111	-1.767395 2.5564117 13.596832
2015-06-25-17 52 55.116	-1.9887695 2.2552948 12.916046
2015-06-25-17 52 55.121	-2.2601318 1.9363251 12.3280945
2015-06-25-17 52 55.126	-2.395813 1.6756744 12.04007
2015-06-25-17 52 55.131	-2.3232117 1.4043121 12.036499
2015-06-25-17 52 55.136	-2.0649414 1.1829376 12.072205
2015-06-25-17 52 55.141	-1.7102661 0.99250793 12.220978
2015-06-25-17 52 55.146	-1.2151489 0.8211212 12.61969
2015-06-25-17 52 55.151	-0.6986084 0.49858093 12.87677
2015-06-25-17 52 55.158	-0.20706177 0.16056824 12.995789
2015-06-25-17 52 55.161	0.22021484 -0.16792297 13.017212
2015-06-25-17 52 55.166	0.62368774 -0.3964386 12.887482
2015-06-25-17 52 55.171	1.029541 -0.5106964 12.794647
2015-06-25-17 52 55.177	1.2306824 -0.6844635 12.322144
2015-06-25-17 52 55.181	1.4853821 -0.7499237 11.880585
2015-06-25-17 52 55.186	1.6865234 -0.8177643 11.218842
2015-06-25-17 52 55.193	1.8483887 -0.87846375 10.572571
2015-06-25-17 52 55.197	2.0328674 -0.82966614 9.92868
2015-06-25-17 52 55.201	2.1744995 -0.8760834 9.249084
2015-06-25-17 52 55.207	2.3458862 -0.7487335 8.668274
2015-06-25-17 52 55.213	2.5101318 -0.6499481 8.099365
2015-06-25-17 52 55.217	2.4970398 -0.5535431 7.6768494
2015-06-25-17 52 55.221	2.492279 -0.41905212 7.379303
2015-06-25-17 52 55.227	2.4803772 -0.39286804 7.079376
2015-06-25-17 52 55.233	2.3851624 -0.24885559 6.775879
2015-06-25-17 52 55.237	2.2244873 -0.16197205 6.749695
2015-06-25-17 52 55.242	1.85672 -0.15364075 6.648529
2015-06-25-17 52 55.247	1.4580078 -0.13935852 6.666382
2015-06-25-17 52 55.252	1.0950012 -0.08818054 6.9460754
2015-06-25-17 52 55.257	0.6605835 -0.09413147 7.194824
2015-06-25-17 52 55.262	0.3380432 -0.06556702 7.495941
2015-06-25-17 52 55.267	0.033355713 -0.082229614 8.026764
2015-06-25-17 52 55.272	-0.19754028 -0.15959167 8.507599
2015-06-25-17 52 55.278	-0.3939209 -0.2155304 8.96225
2015-06-25-17 52 55.282	-0.5188904 -0.32859802 9.335968
2015-06-25-17 52 55.287	-0.61886597 -0.39286804 9.578766
2015-06-25-17 52 55.292	-0.6141052 -0.40715027 9.696594
2015-06-25-17 52 55.297	-0.5593567 -0.3952484 9.917969
2015-06-25-17 52 55.302	-0.4189148 -0.4464264 9.983429
2015-06-25-17 52 55.307	-0.28799438 -0.44761658 9.9227295
2015-06-25-17 52 55.312	-0.19992065 -0.37739563 9.737061
2015-06-25-17 52 55.318	-0.003540039 -0.31907654 9.562103
2015-06-25-17 52 55.322	0.057159424 -0.23457336 9.174103
2015-06-25-17 52 55.327	0.113098145 -0.12150574 8.8836975
2015-06-25-17 52 55.332	0.08215332 -0.034622192 8.430237
2015-06-25-17 52 55.338	0.1166687 0.07368469 8.089844
2015-06-25-17 52 55.342	0.08453369 0.24388123 7.772064
2015-06-25-17 52 55.347	0.07739258 0.32362366 7.469757
2015-06-25-17 52 55.352	-0.07495117 0.41526794 7.2948
2015-06-25-17 52 55.358	-0.10708618 0.5569 7.109131
2015-06-25-17 52 55.362	-0.15350342 0.7163849 7.03891
2015-06-25-17 52 55.368	-0.13922119 0.87705994 6.9472656
2015-06-25-17 52 55.373	-0.16183472 0.9806061 6.7794495
2015-06-25-17 52 55.378	-0.12136841 1.1484222 6.6509094
2015-06-25-17 52 55.386	-0.17492676 1.2091217 6.6199646
2015-06-25-17 52 55.388	-0.15945435 1.378128 6.733032
2015-06-25-17 52 55.393	-0.17373657 1.4983368 6.880615
2015-06-25-17 52 55.398	-0.17016602 1.5149994 6.9924927
2015-06-25-17 52 55.403	-0.11898804 1.6244965 7.0924683
2015-06-25-17 52 55.408	-0.13327026 1.6637726 7.1698303
2015-06-25-17 52 55.413	-0.071380615 1.6590118 7.1710205
2015-06-25-17 52 55.419	-0.08804321 1.6780548 7.148407
2015-06-25-17 52 55.423	-0.10946655 1.64711 7.16745
2015-06-25-17 52 55.429	-0.1463623 1.6863861 7.1317444
2015-06-25-17 52 55.434	-0.10470581 1.6935272 7.117462
2015-06-25-17 52 55.439	-0.15826416 1.7054291 7.0055847
2015-06-25-17 52 55.443	-0.1713562 1.698288 7.1210327
2015-06-25-17 52 55.448	-0.12612915 1.6066437 7.3840637
2015-06-25-17 52 55.453	-0.0975647 1.5911713 7.667328
2015-06-25-17 52 55.459	-0.036865234 1.5280914 7.982727
2015-06-25-17 52 55.463	0.08572388 1.5471344 8.331451
2015-06-25-17 52 55.468	0.28329468 1.531662 8.702789
2015-06-25-17 52 55.477	0.46896362 1.5673676 9.024139
2015-06-25-17 52 55.479	0.5284729 1.5911713 9.4097595
2015-06-25-17 52 55.484	0.5213318 1.5947418 9.726349
2015-06-25-17 52 55.489	0.5046692 1.692337 10.042938
2015-06-25-17 52 55.494	0.5427551 1.7399445 10.207184
2015-06-25-17 52 55.499	0.56655884 1.7863617 10.285736
2015-06-25-17 52 55.504	0.5106201 1.9434662 10.327393
2015-06-25-17 52 55.509	0.44039917 2.0684357 10.172668
2015-06-25-17 52 55.514	0.29638672 2.0922394 10.0703125
2015-06-25-17 52 55.519	0.20950317 2.3183746 9.894165
2015-06-25-17 52 55.524	0.125 2.4445343 9.7751465
2015-06-25-17 52 55.529	0.14404297 2.5230865 9.626373
2015-06-25-17 52 55.536	-0.011871338 2.8194427 9.546631
2015-06-25-17 52 55.540	-0.011871338 2.8194427 9.546631
2015-06-25-17 52 55.545	0.014312744 2.807541 9.399048
2015-06-25-17 52 55.549	-0.12374878 2.846817 9.271698
2015-06-25-17 52 55.554	-0.18682861 2.8182526 9.506165
2015-06-25-17 52 55.561	-0.2630005 2.8575287 9.753723
2015-06-25-17 52 55.564	-0.54626465 2.7456512 9.867981
2015-06-25-17 52 55.569	-0.65338135 2.5825958 10.050079
2015-06-25-17 52 55.574	-0.66171265 2.5361786 10.334534
2015-06-25-17 52 55.580	-0.5688782 2.4397736 10.846313
2015-06-25-17 52 55.584	-0.41177368 2.3195648 11.2057495
2015-06-25-17 52 55.589	-0.1713562 2.2279205 11.811554
2015-06-25-17 52 55.594	0.17260742 2.2148285 12.454254
2015-06-25-17 52 55.600	0.38327026 2.3874054 13.018402
2015-06-25-17 52 55.604	0.68914795 2.629013 13.533752
2015-06-25-17 52 55.609	0.73794556 2.852768 13.799164
2015-06-25-17 52 55.614	0.618927 3.0098724 13.667053
2015-06-25-17 52 55.620	0.323761 3.0170135 13.405212
2015-06-25-17 52 55.624	-0.17492676 2.8813324 12.950562
2015-06-25-17 52 55.629	-0.6986084 2.5099945 12.319763
2015-06-25-17 52 55.635	-1.2437134 2.2529144 11.868683
2015-06-25-17 52 55.640	-1.6864624 2.0422516 11.396179
2015-06-25-17 52 55.644	-2.036377 1.9410858 11.064117
2015-06-25-17 52 55.650	-2.319641 1.8280182 10.9938965
2015-06-25-17 52 55.655	-2.665985 1.6042633 10.939148
2015-06-25-17 52 55.660	-2.9611511 1.1734161 11.250977
2015-06-25-17 52 55.665	-3.1825256 0.7401886 11.730621
2015-06-25-17 52 55.670	-3.2467957 0.20579529 12.448303
2015-06-25-17 52 55.675	-3.2134705 -0.36549377 13.214783
2015-06-25-17 52 55.680	-3.158722 -0.87965393 14.170502
2015-06-25-17 52 55.686	-2.5767212 -1.5699615 15.9010315
2015-06-25-17 52 55.690	-2.5767212 -1.5699615 15.9010315
2015-06-25-17 52 55.698	-2.3755798 -1.8020477 16.368774
2015-06-25-17 52 55.701	-2.2303772 -1.9758148 16.679413
2015-06-25-17 52 55.705	-1.9625854 -2.035324 16.697266
2015-06-25-17 52 55.710	-1.9364014 -1.9698639 16.298553
2015-06-25-17 52 55.715	-1.9125977 -1.8686981 15.82962
2015-06-25-17 52 55.721	-2.1530151 -1.7508698 14.940552
2015-06-25-17 52 55.725	-2.3684387 -1.6342316 14.218109
2015-06-25-17 52 55.731	-2.2434692 -0.93440247 13.00531
2015-06-25-17 52 55.736	-2.4624634 -0.13102722 10.76181
2015-06-25-17 52 55.741	-2.4624634 -0.13102722 10.76181
2015-06-25-17 52 55.745	-2.7433472 -0.04890442 9.819183
2015-06-25-17 52 55.750	-2.9444885 0.14390564 9.040802
2015-06-25-17 52 55.755	-3.0408936 0.6318817 7.820862
2015-06-25-17 52 55.761	-3.0551758 0.92585754 7.3328857
2015-06-25-17 52 55.765	-3.0861206 1.0270233 6.9924927
2015-06-25-17 52 55.770	-3.0980225 1.166275 6.666382
2015-06-25-17 52 55.775	-3.127777 1.1793671 6.4592896
2015-06-25-17 52 55.781	-3.0837402 1.140091 6.378357
2015-06-25-17 52 55.785	-2.9183044 1.1305695 6.4069214
2015-06-25-17 52 55.791	-2.710022 1.0984344 6.531891
