2015-06-30-20 33 18.418	-0.47009277 -0.20600891 9.318115
2015-06-30-20 33 18.424	-0.4677124 -0.1405487 9.490692
2015-06-30-20 33 18.429	-0.4343872 -0.07865906 9.632324
2015-06-30-20 33 18.434	-0.42962646 -0.10484314 9.743011
2015-06-30-20 33 18.439	-0.43795776 -0.092941284 9.739441
2015-06-30-20 33 18.444	-0.37368774 -0.09770203 9.651367
2015-06-30-20 33 18.449	-0.25109863 -0.07865906 9.441895
2015-06-30-20 33 18.454	-0.16421509 -0.022720337 9.020569
2015-06-30-20 33 18.460	-0.1880188 0.06535339 8.818237
2015-06-30-20 33 18.465	-0.084472656 0.17008972 8.6206665
2015-06-30-20 33 18.469	0.09048462 0.19270325 8.176727
2015-06-30-20 33 18.474	0.06430054 0.33433533 7.828003
2015-06-30-20 33 18.480	0.030975342 0.4271698 7.520935
2015-06-30-20 33 18.486	0.009552002 0.45454407 7.237671
2015-06-30-20 33 18.489	0.044067383 0.5818939 6.9258423
2015-06-30-20 33 18.495	-0.055908203 0.66282654 6.6640015
2015-06-30-20 33 18.500	-0.10946655 0.6580658 6.4140625
2015-06-30-20 33 18.505	-0.11779785 0.7306671 6.2153015
2015-06-30-20 33 18.509	-0.14398193 0.8365936 5.955841
2015-06-30-20 33 18.516	-0.1796875 0.935379 5.7285156
2015-06-30-20 33 18.520	-0.25942993 1.0020294 5.69281
2015-06-30-20 33 18.525	-0.3201294 1.1008148 5.621399
2015-06-30-20 33 18.530	-0.3939209 1.1389008 5.4904785
2015-06-30-20 33 18.536	-0.32369995 1.2162628 5.430969
2015-06-30-20 33 18.540	-0.44628906 1.2852936 5.4714355
2015-06-30-20 33 18.545	-0.52246094 1.332901 5.56308
2015-06-30-20 33 18.550	-0.57244873 1.3293304 5.673767
2015-06-30-20 33 18.555	-0.7057495 1.2412567 5.699951
2015-06-30-20 33 18.560	-0.7247925 1.1710358 5.909424
2015-06-30-20 33 18.566	-0.8223877 1.0853424 6.095093
2015-06-30-20 33 18.570	-0.74502563 1.031784 6.249817
2015-06-30-20 33 18.575	-0.6997986 1.0436859 6.518799
2015-06-30-20 33 18.583	-0.66052246 0.9722748 6.787781
2015-06-30-20 33 18.585	-0.6474304 0.87705994 7.1127014
2015-06-30-20 33 18.590	-0.6402893 0.7247162 7.410248
2015-06-30-20 33 18.595	-0.67837524 0.5081024 7.713745
2015-06-30-20 33 18.601	-0.6260071 0.3521881 8.039856
2015-06-30-20 33 18.605	-0.5736389 0.21055603 8.415955
2015-06-30-20 33 18.610	-0.49865723 0.005844116 8.630188
2015-06-30-20 33 18.616	-0.31417847 -0.09056091 8.997955
2015-06-30-20 33 18.621	-0.23324585 -0.18696594 9.303833
2015-06-30-20 33 18.625	-0.17849731 -0.30122375 9.60733
2015-06-30-20 33 18.631	-0.033294678 -0.34169006 9.785858
2015-06-30-20 33 18.637	0.067871094 -0.35359192 9.921539
2015-06-30-20 33 18.641	0.0107421875 -0.43452454 10.167908
2015-06-30-20 33 18.646	0.0345459 -0.4797516 10.369049
2015-06-30-20 33 18.651	-0.14874268 -0.5606842 10.599945
2015-06-30-20 33 18.656	-0.34155273 -0.64042664 10.766571
2015-06-30-20 33 18.661	-0.548645 -0.60591125 10.967712
2015-06-30-20 33 18.667	-0.71765137 -0.6439972 11.14267
2015-06-30-20 33 18.671	-0.87594604 -0.6606598 11.266449
2015-06-30-20 33 18.676	-0.95925903 -0.6785126 11.383087
2015-06-30-20 33 18.687	-1.0889893 -0.674942 11.428314
2015-06-30-20 33 18.688	-1.1663513 -0.693985 11.329529
2015-06-30-20 33 18.691	-1.1163635 -0.7154083 11.343811
2015-06-30-20 33 18.696	-1.0854187 -0.7523041 11.158142
2015-06-30-20 33 18.701	-1.106842 -0.8011017 11.006989
2015-06-30-20 33 18.706	-1.0782776 -0.8677521 10.920105
2015-06-30-20 33 18.711	-1.0782776 -0.95106506 10.721344
2015-06-30-20 33 18.716	-1.0949402 -0.9724884 10.69397
2015-06-30-20 33 18.721	-1.1818237 -1.0093842 10.496399
2015-06-30-20 33 18.726	-1.2782288 -1.17482 10.538055
2015-06-30-20 33 18.731	-1.3770142 -1.2819366 10.5321045
2015-06-30-20 33 18.736	-1.5781555 -1.3961945 10.435699
2015-06-30-20 33 18.742	-1.7340698 -1.5068817 10.498779
2015-06-30-20 33 18.746	-1.8864136 -1.5390167 10.57019
2015-06-30-20 33 18.751	-2.0125732 -1.5890045 10.908203
2015-06-30-20 33 18.756	-1.9994812 -1.5306854 11.177185
2015-06-30-20 33 18.762	-1.8245239 -1.5009308 11.405701
2015-06-30-20 33 18.766	-1.5829163 -1.3902435 11.78418
2015-06-30-20 33 18.771	-1.1996765 -1.2176666 12.322144
2015-06-30-20 33 18.777	-0.72598267 -1.0629425 12.820831
2015-06-30-20 33 18.782	-0.20111084 -0.9415436 13.487335
2015-06-30-20 33 18.788	0.26187134 -0.8249054 14.171692
2015-06-30-20 33 18.792	0.65701294 -0.822525 14.904846
2015-06-30-20 33 18.797	0.9997864 -0.8558502 15.597534
2015-06-30-20 33 18.802	1.2342529 -1.0046234 16.140259
2015-06-30-20 33 18.807	1.5091858 -1.1403046 16.541351
2015-06-30-20 33 18.812	1.7995911 -1.1926727 16.934113
2015-06-30-20 33 18.817	1.9828796 -1.206955 16.965057
2015-06-30-20 33 18.822	1.9840698 -1.2295685 16.938873
2015-06-30-20 33 18.827	1.7507935 -1.2307587 16.711548
2015-06-30-20 33 18.832	1.3604126 -1.2486115 16.354492
2015-06-30-20 33 18.837	0.86291504 -1.2426605 15.866516
2015-06-30-20 33 18.842	0.2975769 -1.1641083 15.31665
2015-06-30-20 33 18.847	-0.2284851 -1.0879364 14.719177
2015-06-30-20 33 18.852	-0.8902283 -0.96772766 13.995544
2015-06-30-20 33 18.857	-1.4734192 -0.87013245 13.183838
2015-06-30-20 33 18.862	-2.1184998 -0.65708923 12.432831
2015-06-30-20 33 18.867	-2.7028809 -0.3964386 11.59256
2015-06-30-20 33 18.872	-3.2241821 -0.13697815 10.836792
2015-06-30-20 33 18.877	-3.8121338 0.059402466 10.201233
2015-06-30-20 33 18.883	-4.223938 0.38075256 9.546631
2015-06-30-20 33 18.887	-4.609558 0.66282654 8.882507
2015-06-30-20 33 18.892	-4.8880615 0.8794403 8.356445
2015-06-30-20 33 18.897	-5.1058655 1.2293549 7.8506165
2015-06-30-20 33 18.903	-5.167755 1.531662 7.345978
2015-06-30-20 33 18.907	-5.19989 1.8065948 7.1019897
2015-06-30-20 33 18.912	-5.140381 2.1017609 6.706848
2015-06-30-20 33 18.918	-4.9273376 2.3171844 6.499756
2015-06-30-20 33 18.923	-4.6821594 2.4671478 6.322418
2015-06-30-20 33 18.927	-4.3762817 2.576645 6.2521973
2015-06-30-20 33 18.933	-3.9811401 2.564743 6.2843323
2015-06-30-20 33 18.940	-2.980194 2.4147797 6.448578
2015-06-30-20 33 18.944	-2.980194 2.4147797 6.448578
2015-06-30-20 33 18.948	-2.537445 2.2267303 6.4985657
2015-06-30-20 33 18.953	-2.0935059 2.0553436 6.5497437
2015-06-30-20 33 18.958	-1.703125 1.8887177 6.6580505
2015-06-30-20 33 18.963	-1.2841797 1.6363983 6.5687866
2015-06-30-20 33 18.968	-0.8961792 1.4745331 6.4985657
2015-06-30-20 33 18.973	-0.51651 1.3043365 6.5223694
2015-06-30-20 33 18.978	-0.22729492 1.115097 6.506897
2015-06-30-20 33 18.984	-0.0725708 0.9782257 6.4450073
2015-06-30-20 33 18.988	0.18569946 0.80921936 6.4271545
2015-06-30-20 33 18.993	0.3713684 0.7163849 6.2855225
2015-06-30-20 33 18.998	0.43206787 0.6663971 6.180786
2015-06-30-20 33 19.003	0.5141907 0.7068634 6.0308228
2015-06-30-20 33 19.008	0.41897583 0.70448303 5.9963074
2015-06-30-20 33 19.013	0.34280396 0.74494934 5.853485
2015-06-30-20 33 19.018	0.24401855 0.93418884 5.8296814
2015-06-30-20 33 19.024	0.070251465 1.0805817 5.828491
2015-06-30-20 33 19.028	-0.09161377 1.268631 5.891571
2015-06-30-20 33 19.033	-0.32965088 1.3364716 5.9344177
2015-06-30-20 33 19.038	-0.47366333 1.4554901 6.024872
2015-06-30-20 33 19.044	-0.64505005 1.5709381 6.007019
2015-06-30-20 33 19.048	-0.7640686 1.6244965 6.0736694
2015-06-30-20 33 19.053	-0.7652588 1.6078339 6.103424
2015-06-30-20 33 19.059	-0.7557373 1.6625824 6.0689087
2015-06-30-20 33 19.064	-0.66290283 1.749466 6.0867615
2015-06-30-20 33 19.068	-0.4915161 1.7577972 6.01178
2015-06-30-20 33 19.073	-0.33917236 1.8220673 6.0867615
2015-06-30-20 33 19.079	-0.16778564 1.8684845 6.245056
2015-06-30-20 33 19.084	-0.16778564 1.8684845 6.245056
2015-06-30-20 33 19.090	0.021453857 1.6506805 6.5818787
2015-06-30-20 33 19.094	0.19522095 1.5042877 6.78302
2015-06-30-20 33 19.099	0.2892456 1.4055023 7.1757813
2015-06-30-20 33 19.104	0.49395752 1.3531342 7.475708
2015-06-30-20 33 19.109	0.7260437 1.2234039 7.804199
2015-06-30-20 33 19.114	0.94384766 1.1698456 8.099365
2015-06-30-20 33 19.119	1.1568909 1.0662994 8.525452
2015-06-30-20 33 19.124	1.2235413 0.96632385 9.100311
2015-06-30-20 33 19.129	1.4496765 0.8080292 9.752533
2015-06-30-20 33 19.134	1.5270386 0.67948914 10.339294
2015-06-30-20 33 19.140	1.6567688 0.5342865 10.896301
2015-06-30-20 33 19.144	1.8210144 0.36647034 11.477112
2015-06-30-20 33 19.149	2.1078491 0.28196716 11.987701
2015-06-30-20 33 19.154	2.3304138 0.25697327 12.344757
2015-06-30-20 33 19.159	2.5458374 0.261734 12.636353
2015-06-30-20 33 19.165	2.723175 0.27244568 12.794647
2015-06-30-20 33 19.169	2.9850159 0.37242126 12.885101
2015-06-30-20 33 19.174	3.5360718 0.5259552 13.063629
2015-06-30-20 33 19.179	3.2337646 0.65449524 12.767273
2015-06-30-20 33 19.185	2.9505005 0.7175751 12.485199
2015-06-30-20 33 19.189	2.7493591 0.8044586 12.30191
2015-06-30-20 33 19.194	2.7326965 0.92585754 12.229309
2015-06-30-20 33 19.200	2.7648315 1.018692 12.062683
2015-06-30-20 33 19.205	2.9207458 1.2329254 11.8472595
2015-06-30-20 33 19.209	3.069519 1.4685822 11.794891
2015-06-30-20 33 19.218	3.1611633 1.634018 11.842499
2015-06-30-20 33 19.220	3.1861572 1.6066437 11.766327
2015-06-30-20 33 19.226	3.0469055 1.4888153 11.587799
2015-06-30-20 33 19.230	2.6470032 1.3043365 11.4664
2015-06-30-20 33 19.237	2.3304138 1.0234528 11.461639
2015-06-30-20 33 19.242	2.0483398 0.8151703 11.391418
2015-06-30-20 33 19.246	1.837677 0.7413788 11.430695
2015-06-30-20 33 19.250	1.735321 0.6509247 11.78894
2015-06-30-20 33 19.255	1.6460571 0.6509247 12.160278
2015-06-30-20 33 19.260	1.6317749 0.6390228 12.567322
2015-06-30-20 33 19.265	1.5758362 0.5937958 13.120758
2015-06-30-20 33 19.270	1.5913086 0.5342865 13.665863
2015-06-30-20 33 19.275	1.5437012 0.4259796 14.099091
2015-06-30-20 33 19.280	1.5972595 0.2879181 14.449005
2015-06-30-20 33 19.286	1.7519836 0.19151306 14.702515
2015-06-30-20 33 19.290	1.8305359 0.051071167 14.708466
2015-06-30-20 33 19.295	1.9745483 -0.012008667 14.681091
2015-06-30-20 33 19.300	2.132843 -0.07865906 14.681091
2015-06-30-20 33 19.305	2.1233215 -0.28575134 14.579926
2015-06-30-20 33 19.310	2.1245117 -0.56663513 14.551361
2015-06-30-20 33 19.315	2.0602417 -0.7499237 14.2847595
2015-06-30-20 33 19.321	1.9471741 -0.97605896 14.019348
2015-06-30-20 33 19.326	1.8531494 -1.284317 13.703949
2015-06-30-20 33 19.330	1.79245 -1.4247589 13.312378
2015-06-30-20 33 19.336	1.7591248 -1.5628204 12.791077
2015-06-30-20 33 19.341	1.7638855 -1.6544647 12.357849
2015-06-30-20 33 19.346	1.6972351 -1.6735077 11.869873
2015-06-30-20 33 19.351	1.7162781 -1.7223053 11.496155
2015-06-30-20 33 19.356	1.6484375 -1.6782684 11.2569275
2015-06-30-20 33 19.361	1.6282043 -1.6520844 10.853455
2015-06-30-20 33 19.366	1.5924988 -1.6235199 10.724915
2015-06-30-20 33 19.371	1.5329895 -1.4902191 10.601135
2015-06-30-20 33 19.376	1.561554 -1.3723907 10.592804
2015-06-30-20 33 19.381	1.5187073 -1.2581329 10.434509
2015-06-30-20 33 19.386	1.4663391 -1.0938873 10.476166
2015-06-30-20 33 19.392	1.4151611 -0.89512634 10.279785
2015-06-30-20 33 19.396	1.2759094 -0.7915802 10.1203
2015-06-30-20 33 19.401	1.2021179 -0.68208313 9.841797
2015-06-30-20 33 19.406	1.0795288 -0.53330994 9.627563
2015-06-30-20 33 19.412	1.0116882 -0.43452454 9.232422
2015-06-30-20 33 19.416	0.81173706 -0.25242615 8.831329
2015-06-30-20 33 19.421	0.65463257 -0.17982483 8.395721
2015-06-30-20 33 19.426	0.49871826 -0.08103943 8.0112915
2015-06-30-20 33 19.431	0.29995728 0.018936157 7.572113
2015-06-30-20 33 19.437	0.15713501 0.0974884 7.052002
2015-06-30-20 33 19.442	-0.06542969 0.1879425 6.602112
2015-06-30-20 33 19.447	-0.28204346 0.26054382 6.256958
2015-06-30-20 33 19.451	-0.39987183 0.34742737 5.896332
2015-06-30-20 33 19.456	-0.5938721 0.4271698 5.5345154
2015-06-30-20 33 19.461	-0.7069397 0.5319061 5.2536316
2015-06-30-20 33 19.467	-0.8652344 0.5937958 5.026306
2015-06-30-20 33 19.471	-0.99972534 0.691391 4.8120728
2015-06-30-20 33 19.476	-1.1151733 0.81159973 4.652588
2015-06-30-20 33 19.482	-1.196106 0.9270477 4.4252625
2015-06-30-20 33 19.487	-1.22229 1.0436859 4.376465
2015-06-30-20 33 19.491	-1.2841797 1.1222382 4.3407593
2015-06-30-20 33 19.496	-1.2984619 1.2424469 4.1884155
2015-06-30-20 33 19.502	-1.3127441 1.3495636 4.231262
2015-06-30-20 33 19.507	-1.2258606 1.435257 4.350281
2015-06-30-20 33 19.511	-1.2877502 1.4745331 4.441925
2015-06-30-20 33 19.517	-1.2080078 1.5388031 4.5145264
2015-06-30-20 33 19.522	-1.1853943 1.5304718 4.716858
2015-06-30-20 33 19.527	-1.0854187 1.5566559 4.8501587
2015-06-30-20 33 19.532	-0.946167 1.5745087 5.0858154
2015-06-30-20 33 19.537	-0.7962036 1.5721283 5.358368
2015-06-30-20 33 19.544	-0.57839966 1.4245453 5.738037
2015-06-30-20 33 19.548	-0.57839966 1.4245453 5.738037
2015-06-30-20 33 19.552	-0.45343018 1.3102875 5.890381
2015-06-30-20 33 19.557	-0.43081665 1.1817474 6.1831665
2015-06-30-20 33 19.562	-0.368927 1.0365448 6.390259
2015-06-30-20 33 19.567	-0.31536865 0.7913666 6.508087
2015-06-30-20 33 19.572	-0.31536865 0.62831116 6.794922
