2015-07-07-15 37 46.945	0.36898804 1.9922638 5.941559
2015-07-07-15 37 46.951	0.3309021 2.1041412 5.9070435
2015-07-07-15 37 46.957	0.27972412 2.199356 5.9451294
2015-07-07-15 37 46.962	0.21664429 2.2195892 5.9986877
2015-07-07-15 37 46.965	0.14761353 2.320755 6.046295
2015-07-07-15 37 46.972	0.12261963 2.326706 6.059387
2015-07-07-15 37 46.976	0.13571167 2.3647919 6.091522
2015-07-07-15 37 46.981	0.094055176 2.404068 6.20697
2015-07-07-15 37 46.986	0.16784668 2.4016876 6.386688
2015-07-07-15 37 46.993	0.23925781 2.442154 6.4830933
2015-07-07-15 37 46.998	0.2654419 2.4397736 6.5997314
2015-07-07-15 37 47.001	0.39041138 2.443344 6.852051
2015-07-07-15 37 47.006	0.50704956 2.4147797 7.044861
2015-07-07-15 37 47.011	0.554657 2.4338226 7.244812
2015-07-07-15 37 47.016	0.6177368 2.3897858 7.4483337
2015-07-07-15 37 47.023	0.76293945 2.3647919 7.667328
2015-07-07-15 37 47.026	0.7831726 2.3683624 7.931549
2015-07-07-15 37 47.031	0.8581543 2.3826447 8.174347
2015-07-07-15 37 47.037	0.8998108 2.314804 8.404053
2015-07-07-15 37 47.041	0.8486328 2.307663 8.656372
2015-07-07-15 37 47.046	0.8557739 2.3088531 8.953918
2015-07-07-15 37 47.051	0.91052246 2.313614 9.133636
2015-07-07-15 37 47.057	0.9664612 2.3707428 9.432373
2015-07-07-15 37 47.062	0.9640808 2.398117 9.588287
2015-07-07-15 37 47.067	0.9640808 2.4635773 9.895355
2015-07-07-15 37 47.072	0.997406 2.506424 10.060791
2015-07-07-15 37 47.077	0.946228 2.5457 10.152435
2015-07-07-15 37 47.082	1.0176392 2.6040192 10.24765
2015-07-07-15 37 47.090	1.0283508 2.7301788 10.486877
2015-07-07-15 37 47.095	1.0450134 2.7599335 10.5642395
2015-07-07-15 37 47.100	1.0640564 2.8134918 10.660645
2015-07-07-15 37 47.103	1.0116882 2.8134918 10.649933
2015-07-07-15 37 47.110	1.0152588 2.833725 10.805847
2015-07-07-15 37 47.113	1.1045227 2.878952 10.909393
2015-07-07-15 37 47.117	1.0735779 2.8944244 10.966522
2015-07-07-15 37 47.124	1.0569153 2.9325104 11.158142
2015-07-07-15 37 47.127	0.9747925 2.9063263 11.425934
2015-07-07-15 37 47.134	1.0473938 2.8587189 11.733002
2015-07-07-15 37 47.137	1.1473694 2.8349152 11.997223
2015-07-07-15 37 47.143	1.1973572 2.7968292 12.348328
2015-07-07-15 37 47.147	1.2890015 2.8313446 12.74585
2015-07-07-15 37 47.152	1.3651733 2.8491974 13.06839
2015-07-07-15 37 47.157	1.3961182 2.7992096 13.369507
2015-07-07-15 37 47.162	1.5389404 2.7301788 13.539703
2015-07-07-15 37 47.167	1.5437012 2.686142 13.650391
2015-07-07-15 37 47.172	1.47229 2.5730743 13.724182
2015-07-07-15 37 47.177	1.4056396 2.3647919 13.789642
2015-07-07-15 37 47.182	1.196167 2.2362518 13.744415
2015-07-07-15 37 47.188	1.0057373 2.0565338 13.705139
2015-07-07-15 37 47.193	0.78793335 1.9053802 13.494476
2015-07-07-15 37 47.198	0.6582031 1.8149261 13.413544
2015-07-07-15 37 47.202	0.51538086 1.8220673 13.384979
2015-07-07-15 37 47.208	0.41064453 1.8339691 13.439728
2015-07-07-15 37 47.212	0.27972412 1.7613678 13.524231
2015-07-07-15 37 47.218	0.3142395 1.6494904 13.852722
2015-07-07-15 37 47.222	0.3475647 1.7185211 14.103851
2015-07-07-15 37 47.227	0.59869385 1.6721039 14.364502
2015-07-07-15 37 47.233	0.8260193 1.6221161 14.720367
2015-07-07-15 37 47.238	1.0069275 1.4495392 14.823914
2015-07-07-15 37 47.242	1.2592468 1.2436371 14.522797
2015-07-07-15 37 47.247	1.3687439 0.86039734 14.165741
2015-07-07-15 37 47.253	1.3973083 0.50691223 13.633728
2015-07-07-15 37 47.258	1.4389648 0.15342712 13.014832
2015-07-07-15 37 47.262	1.5306091 -0.044143677 12.42569
2015-07-07-15 37 47.268	1.5091858 -0.24647522 11.7187195
2015-07-07-15 37 47.273	1.606781 -0.43452454 11.035553
2015-07-07-15 37 47.278	1.6353455 -0.4940338 10.221466
2015-07-07-15 37 47.283	1.7876892 -0.546402 9.527588
2015-07-07-15 37 47.288	1.9352722 -0.5368805 8.96582
2015-07-07-15 37 47.295	2.0804749 -0.5832977 8.3862
2015-07-07-15 37 47.299	2.0899963 -0.5832977 7.9458313
2015-07-07-15 37 47.303	2.1542664 -0.53092957 7.6518555
2015-07-07-15 37 47.308	2.1852112 -0.44047546 7.404297
2015-07-07-15 37 47.313	2.1875916 -0.35835266 7.2852783
2015-07-07-15 37 47.318	2.2173462 -0.21076965 7.391205
2015-07-07-15 37 47.323	2.2066345 -0.0048675537 7.5804443
2015-07-07-15 37 47.328	2.1185608 0.1558075 8.00177
2015-07-07-15 37 47.333	1.9055176 0.25102234 8.369537
2015-07-07-15 37 47.339	1.6436768 0.31886292 8.850372
2015-07-07-15 37 47.343	1.4187317 0.4033661 9.358582
2015-07-07-15 37 47.348	1.1890259 0.38075256 9.700165
2015-07-07-15 37 47.353	1.0223999 0.38075256 9.841797
2015-07-07-15 37 47.359	0.8890991 0.39860535 9.877502
2015-07-07-15 37 47.363	0.798645 0.41764832 9.763245
2015-07-07-15 37 47.368	0.7355652 0.43312073 9.67041
2015-07-07-15 37 47.376	0.7510376 0.43788147 9.416901
2015-07-07-15 37 47.379	0.72247314 0.4676361 9.097931
2015-07-07-15 37 47.383	0.76174927 0.4938202 8.7742
2015-07-07-15 37 47.388	0.69747925 0.5842743 8.534973
2015-07-07-15 37 47.394	0.6867676 0.61997986 8.144592
2015-07-07-15 37 47.399	0.5963135 0.7068634 7.6387634
2015-07-07-15 37 47.403	0.5629883 0.8056488 7.2805176
2015-07-07-15 37 47.408	0.5844116 0.90086365 6.9091797
2015-07-07-15 37 47.414	0.48205566 0.95799255 6.512848
2015-07-07-15 37 47.419	0.4284973 1.0603485 6.2022095
2015-07-07-15 37 47.424	0.41659546 1.1710358 5.9570313
2015-07-07-15 37 47.429	0.44277954 1.2567291 5.7594604
2015-07-07-15 37 47.434	0.4534912 1.3495636 5.603546
2015-07-07-15 37 47.439	0.44277954 1.4792938 5.519043
