2015-06-30-22 26 30.381	0.77008057 -0.2655182 11.160522
2015-06-30-22 26 30.387	0.323761 -0.5368805 10.664215
2015-06-30-22 26 30.392	0.06430054 -0.68208313 10.291687
2015-06-30-22 26 30.397	-0.0642395 -0.67970276 10.017944
2015-06-30-22 26 30.402	-0.27371216 -0.67256165 9.700165
2015-06-30-22 26 30.408	-0.3772583 -0.66185 9.509735
2015-06-30-22 26 30.412	-0.39868164 -0.5285492 9.456177
2015-06-30-22 26 30.417	-0.3522644 -0.33216858 9.67041
2015-06-30-22 26 30.423	-0.29275513 -0.007247925 10.167908
2015-06-30-22 26 30.427	-0.22372437 0.29148865 10.545197
2015-06-30-22 26 30.432	0.22140503 0.54618835 10.6154175
2015-06-30-22 26 30.438	0.78674316 0.5985565 10.457123
2015-06-30-22 26 30.443	1.183075 0.52238464 10.195282
2015-06-30-22 26 30.448	1.3877869 0.4771576 9.931061
2015-06-30-22 26 30.453	1.5389404 0.60450745 9.725159
2015-06-30-22 26 30.457	1.5817871 0.8461151 9.698975
2015-06-30-22 26 30.463	0.86886597 1.0603485 9.744202
2015-06-30-22 26 30.469	0.86886597 1.0603485 9.744202
2015-06-30-22 26 30.474	-0.00592041 1.1698456 9.828705
2015-06-30-22 26 30.477	-0.3022766 1.4269257 10.05127
2015-06-30-22 26 30.489	-0.61886597 1.6161652 10.335724
2015-06-30-22 26 30.490	-1.1437378 1.7066193 10.614227
2015-06-30-22 26 30.494	-1.427002 1.7256622 11.072449
2015-06-30-22 26 30.499	-0.90808105 1.4792938 11.510437
2015-06-30-22 26 30.506	-0.4343872 1.1805573 11.837738
2015-06-30-22 26 30.509	-0.17492676 0.8449249 12.134094
2015-06-30-22 26 30.516	-0.008300781 0.4116974 12.0781555
2015-06-30-22 26 30.517	0.013122559 0.008224487 11.65921
2015-06-30-22 26 30.522	-0.21896362 -0.25242615 10.985565
2015-06-30-22 26 30.528	-0.48199463 -0.32383728 10.096497
2015-06-30-22 26 30.533	-0.8223877 -0.1572113 9.401428
2015-06-30-22 26 30.538	-1.1937256 0.029647827 8.812286
2015-06-30-22 26 30.542	-1.2365723 0.009414673 8.151733
2015-06-30-22 26 30.548	-1.2056274 0.021316528 7.675659
2015-06-30-22 26 30.553	-1.1651611 0.25578308 7.4388123
2015-06-30-22 26 30.558	-1.0021057 0.460495 7.584015
2015-06-30-22 26 30.563	-0.7390747 0.74375916 7.692322
2015-06-30-22 26 30.568	-0.6260071 1.0496368 7.8708496
2015-06-30-22 26 30.573	-0.6010132 1.3567047 8.251709
2015-06-30-22 26 30.578	-0.49627686 1.7411346 8.683746
2015-06-30-22 26 30.583	-0.3843994 1.9684601 8.975342
2015-06-30-22 26 30.588	-0.34869385 2.2386322 9.224091
2015-06-30-22 26 30.593	-0.33441162 2.358841 9.306213
2015-06-30-22 26 30.598	-0.21063232 2.4838104 9.270508
2015-06-30-22 26 30.603	-0.19277954 2.4540558 9.174103
2015-06-30-22 26 30.609	-0.15231323 2.4445343 8.802765
2015-06-30-22 26 30.614	-0.1546936 2.3195648 8.499268
2015-06-30-22 26 30.618	-0.023773193 2.3314667 7.898224
2015-06-30-22 26 30.623	0.12619019 2.3862152 7.437622
2015-06-30-22 26 30.629	0.38327026 2.6147308 7.1317444
2015-06-30-22 26 30.633	0.5272827 2.8361053 6.833008
2015-06-30-22 26 30.638	0.61654663 3.2217255 6.7913513
2015-06-30-22 26 30.643	0.6939087 3.5835419 6.97464
2015-06-30-22 26 30.649	0.71533203 3.8810883 7.110321
2015-06-30-22 26 30.653	0.9426575 4.21196 7.3257446
2015-06-30-22 26 30.659	1.2021179 4.5880585 7.847046
2015-06-30-22 26 30.666	1.5389404 5.014145 8.554016
2015-06-30-22 26 30.669	1.7424622 5.424759 9.308594
2015-06-30-22 26 30.674	1.7817383 5.5616302 10.1214905
2015-06-30-22 26 30.679	1.677002 5.515213 10.620178
2015-06-30-22 26 30.684	1.427063 5.3271637 11.08197
2015-06-30-22 26 30.689	1.164032 4.958206 11.234314
2015-06-30-22 26 30.694	0.7498474 4.5678253 11.178375
2015-06-30-22 26 30.699	0.39993286 4.0441437 10.943909
2015-06-30-22 26 30.704	0.15475464 3.539505 10.369049
2015-06-30-22 26 30.710	-0.09637451 3.2276764 9.847748
2015-06-30-22 26 30.714	-0.37130737 3.1812592 9.372864
2015-06-30-22 26 30.719	-0.63790894 3.1491241 8.826569
2015-06-30-22 26 30.724	-0.84143066 3.1622162 8.25647
2015-06-30-22 26 30.729	-0.92355347 3.2110138 7.9541626
2015-06-30-22 26 30.734	-0.85095215 3.1812592 7.775635
2015-06-30-22 26 30.739	-0.8616638 3.3740692 7.776825
2015-06-30-22 26 30.744	-0.8033447 3.6132965 8.035095
2015-06-30-22 26 30.750	-0.7581177 3.8382416 8.457611
2015-06-30-22 26 30.754	-0.80810547 4.0881805 9.038422
2015-06-30-22 26 30.759	-0.9354553 4.226242 9.560913
2015-06-30-22 26 30.764	-1.1818237 4.3202667 9.851318
2015-06-30-22 26 30.770	-1.3270264 4.359543 10.109589
2015-06-30-22 26 30.774	-1.369873 4.392868 10.359528
2015-06-30-22 26 30.779	-1.4746094 4.432144 10.323822
2015-06-30-22 26 30.787	-1.3591614 4.367874 10.069122
2015-06-30-22 26 30.790	-1.6079102 4.2726593 9.641846
2015-06-30-22 26 30.795	-1.6424255 4.104843 9.320496
2015-06-30-22 26 30.800	-1.7197876 3.9929657 8.993195
2015-06-30-22 26 30.805	-1.7495422 3.7799225 8.675415
2015-06-30-22 26 30.810	-1.5936279 3.4978485 8.523071
2015-06-30-22 26 30.816	-1.5793457 3.4014435 8.621857
2015-06-30-22 26 30.820	-1.5079346 3.334793 9.09436
2015-06-30-22 26 30.825	-1.4496155 3.2645721 9.752533
2015-06-30-22 26 30.830	-1.3627319 3.2217255 10.405945
2015-06-30-22 26 30.835	-1.2817993 3.0955658 11.14743
2015-06-30-22 26 30.840	-1.2996521 2.9146576 11.715149
2015-06-30-22 26 30.845	-1.1949158 2.795639 12.093628
2015-06-30-22 26 30.850	-1.02948 2.7135162 12.348328
2015-06-30-22 26 30.855	-1.1044617 2.629013 12.10553
2015-06-30-22 26 30.860	-1.1699219 2.4957123 11.736572
2015-06-30-22 26 30.866	-1.1615906 2.4457245 11.01413
2015-06-30-22 26 30.870	-1.1949158 2.4350128 10.449982
2015-06-30-22 26 30.875	-1.138977 2.4243011 9.637085
2015-06-30-22 26 30.880	-1.1758728 2.4516754 8.920593
2015-06-30-22 26 30.888	-1.2175293 2.4957123 8.285034
2015-06-30-22 26 30.891	-1.3615417 2.525467 7.7673035
2015-06-30-22 26 30.895	-1.421051 2.4588165 7.257904
2015-06-30-22 26 30.900	-1.5412598 2.410019 6.7151794
2015-06-30-22 26 30.905	-1.568634 2.3421783 6.3640747
2015-06-30-22 26 30.911	-1.587677 2.3064728 6.1879272
2015-06-30-22 26 30.915	-1.3353577 2.1850739 6.314087
2015-06-30-22 26 30.920	-1.1044617 2.102951 6.537842
2015-06-30-22 26 30.925	-0.82476807 2.0553436 6.9079895
2015-06-30-22 26 30.931	-0.5331726 1.9815521 7.309082
2015-06-30-22 26 30.935	-0.24395752 1.8482513 8.146973
2015-06-30-22 26 30.941	-0.08328247 1.6673431 9.071747
2015-06-30-22 26 30.946	-0.09994507 1.4471588 9.976288
2015-06-30-22 26 30.951	0.02859497 1.2769623 10.780853
2015-06-30-22 26 30.956	0.09048462 1.2543488 11.4687805
2015-06-30-22 26 30.961	0.06311035 1.0686798 12.023407
2015-06-30-22 26 30.968	-0.095184326 0.7140045 12.863678
2015-06-30-22 26 30.972	-0.095184326 0.7140045 12.863678
2015-06-30-22 26 30.976	-0.24276733 0.6164093 12.916046
2015-06-30-22 26 30.981	-0.5510254 0.4021759 12.764893
2015-06-30-22 26 30.986	-0.8140564 0.312912 12.3280945
2015-06-30-22 26 30.991	-0.997345 0.33909607 11.644928
2015-06-30-22 26 30.996	-1.02948 0.44502258 10.899872
2015-06-30-22 26 31.001	-0.9854431 0.68663025 10.207184
2015-06-30-22 26 31.006	-0.9806824 0.91871643 9.4609375
2015-06-30-22 26 31.012	-0.99972534 1.2091217 8.7682495
2015-06-30-22 26 31.016	-0.9771118 1.3900299 8.310028
2015-06-30-22 26 31.021	-0.77001953 1.6006927 7.9089355
2015-06-30-22 26 31.026	-0.4855652 1.7613678 7.5744934
2015-06-30-22 26 31.032	-0.35107422 1.7887421 7.379303
2015-06-30-22 26 31.036	-0.3356018 1.9125214 7.3245544
2015-06-30-22 26 31.041	-0.28442383 1.8613434 7.4471436
2015-06-30-22 26 31.046	-0.22015381 1.8851471 7.501892
2015-06-30-22 26 31.052	-0.22015381 1.9065704 7.5685425
2015-06-30-22 26 31.056	-0.17016602 1.8637238 7.5185547
2015-06-30-22 26 31.061	-0.21658325 1.9208527 7.5292664
2015-06-30-22 26 31.067	-0.3272705 2.0553436 7.635193
2015-06-30-22 26 31.072	-0.32608032 2.0422516 7.976776
2015-06-30-22 26 31.076	-0.39035034 2.0934296 8.198151
2015-06-30-22 26 31.082	-0.31298828 2.0029755 8.507599
2015-06-30-22 26 31.087	-0.17016602 1.9137115 8.717072
2015-06-30-22 26 31.092	-0.14755249 1.9339447 8.776581
2015-06-30-22 26 31.097	-0.1308899 1.8791962 8.77301
2015-06-30-22 26 31.102	-0.16778564 1.8661041 8.51236
2015-06-30-22 26 31.107	-0.12136841 1.8184967 8.254089
2015-06-30-22 26 31.117	-0.15707397 1.8351593 7.9803467
2015-06-30-22 26 31.120	-0.1463623 1.7780304 7.6316223
2015-06-30-22 26 31.122	-0.1463623 1.7780304 7.6316223
2015-06-30-22 26 31.127	-0.1308899 1.762558 7.4459534
2015-06-30-22 26 31.132	0.032165527 1.8470612 7.3697815
2015-06-30-22 26 31.137	0.16546631 1.993454 7.5828247
2015-06-30-22 26 31.142	0.32495117 2.2219696 7.7470703
2015-06-30-22 26 31.147	0.3975525 2.3695526 7.9029846
2015-06-30-22 26 31.152	0.4225464 2.5742645 7.969635
2015-06-30-22 26 31.157	0.4225464 2.7349396 7.976776
2015-06-30-22 26 31.163	0.41064453 2.8634796 8.014862
2015-06-30-22 26 31.168	0.7760315 3.147934 8.371918
2015-06-30-22 26 31.173	0.98669434 3.2348175 8.77063
2015-06-30-22 26 31.177	1.1295166 3.2729034 9.238373
2015-06-30-22 26 31.182	1.1949768 3.2669525 9.596619
2015-06-30-22 26 31.188	1.3877869 3.1729279 10.034607
2015-06-30-22 26 31.193	1.5437012 3.0800934 10.44165
2015-06-30-22 26 31.198	1.6508179 2.9991608 10.82251
2015-06-30-22 26 31.202	1.7745972 2.9765472 10.999847
2015-06-30-22 26 31.207	1.8793335 2.8610992 11.152191
2015-06-30-22 26 31.213	1.9793091 2.7789764 11.139099
2015-06-30-22 26 31.217	2.0281067 2.6052094 10.992706
2015-06-30-22 26 31.223	1.9995422 2.564743 10.927246
2015-06-30-22 26 31.228	1.8936157 2.4850006 10.729675
2015-06-30-22 26 31.233	1.8079224 2.4885712 10.69516
2015-06-30-22 26 31.238	1.6460571 2.2707672 10.386902
2015-06-30-22 26 31.243	1.5389404 2.1053314 10.30954
2015-06-30-22 26 31.248	1.3104248 1.9363251 10.31073
2015-06-30-22 26 31.253	1.0128784 1.7982635 10.379761
2015-06-30-22 26 31.258	0.6605835 1.7696991 10.569
2015-06-30-22 26 31.263	0.46658325 1.6780548 10.701111
2015-06-30-22 26 31.270	0.41064453 1.5876007 10.818939
2015-06-30-22 26 31.274	0.60583496 1.5138092 10.636841
2015-06-30-22 26 31.278	0.81173706 1.3233795 10.335724
2015-06-30-22 26 31.283	1.0569153 1.2019806 9.759674
2015-06-30-22 26 31.288	1.3258972 1.13414 9.289551
2015-06-30-22 26 31.294	1.6651001 1.1841278 8.914642
2015-06-30-22 26 31.298	2.0066833 1.2781525 8.868225
2015-06-30-22 26 31.303	2.3220825 1.4043121 9.213379
2015-06-30-22 26 31.308	2.5505981 1.5209503 9.853699
2015-06-30-22 26 31.314	2.6767578 1.5649872 10.75824
2015-06-30-22 26 31.318	2.5422668 1.4852448 11.577087
2015-06-30-22 26 31.323	2.2506714 1.3590851 12.438782
2015-06-30-22 26 31.329	1.8840942 1.115097 12.983887
2015-06-30-22 26 31.335	1.4318237 0.8139801 13.407593
2015-06-30-22 26 31.339	1.080719 0.51524353 13.596832
2015-06-30-22 26 31.344	0.6915283 0.19508362 13.439728
2015-06-30-22 26 31.348	0.3320923 -0.15007019 13.165985
2015-06-30-22 26 31.354	0.19998169 -0.39167786 12.637543
2015-06-30-22 26 31.358	0.03692627 -0.6082916 12.145996
2015-06-30-22 26 31.364	-0.052337646 -0.6856537 11.40094
2015-06-30-22 26 31.369	-0.09161377 -0.63923645 10.809418
2015-06-30-22 26 31.374	-0.013061523 -0.68089294 10.082214
2015-06-30-22 26 31.379	0.123809814 -0.5618744 9.451416
2015-06-30-22 26 31.384	0.3796997 -0.4214325 8.956299
2015-06-30-22 26 31.389	0.73080444 -0.10246277 8.431427
2015-06-30-22 26 31.394	1.0569153 0.18080139 8.230286
2015-06-30-22 26 31.399	1.3877869 0.49024963 8.104126
2015-06-30-22 26 31.404	1.7769775 0.8151703 8.120789
2015-06-30-22 26 31.409	2.0459595 1.1198578 8.187439
2015-06-30-22 26 31.414	2.3232727 1.2781525 8.295746
2015-06-30-22 26 31.420	2.441101 1.2888641 8.414764
2015-06-30-22 26 31.424	2.600586 1.249588 8.5802
2015-06-30-22 26 31.429	2.6505737 1.1377106 8.689697
2015-06-30-22 26 31.435	2.677948 0.9710846 8.781342
2015-06-30-22 26 31.439	2.536316 0.8139801 8.822998
2015-06-30-22 26 31.444	2.3494568 0.67948914 8.89679
2015-06-30-22 26 31.449	2.081665 0.61997986 9.232422
2015-06-30-22 26 31.455	1.8662415 0.4842987 9.759674
2015-06-30-22 26 31.459	1.606781 0.38789368 10.257172
2015-06-30-22 26 31.465	1.3925476 0.33195496 10.601135
2015-06-30-22 26 31.470	1.2973328 0.2879181 10.842743
2015-06-30-22 26 31.475	1.112854 0.28910828 10.984375
2015-06-30-22 26 31.480	0.9545593 0.3688507 10.845123
2015-06-30-22 26 31.485	0.8022156 0.44026184 10.498779
2015-06-30-22 26 31.490	0.7498474 0.60450745 10.186951
2015-06-30-22 26 31.495	0.59988403 0.75328064 9.623993
2015-06-30-22 26 31.500	0.5201416 0.99964905 9.072937
2015-06-30-22 26 31.505	0.37493896 1.1674652 8.51474
