2015-06-30-22 29 38.284	-0.17730713 2.2469635 8.659943
2015-06-30-22 29 38.289	-0.3867798 1.987503 8.756348
2015-06-30-22 29 38.295	-0.33322144 1.8054047 8.798004
2015-06-30-22 29 38.301	-0.50341797 1.6447296 9.003906
2015-06-30-22 29 38.305	-0.5343628 1.4781036 9.134827
2015-06-30-22 29 38.310	-0.6748047 1.3578949 9.046753
2015-06-30-22 29 38.315	-0.76882935 1.2245941 9.071747
2015-06-30-22 29 38.320	-1.0401917 1.0389252 8.953918
2015-06-30-22 29 38.325	-1.2294312 0.85087585 8.592102
2015-06-30-22 29 38.330	-1.4508057 0.72709656 8.235046
2015-06-30-22 29 38.335	-1.7519226 0.5997467 8.019623
2015-06-30-22 29 38.342	-1.8816528 0.4676361 7.5804443
2015-06-30-22 29 38.346	-1.9399719 0.3283844 7.29718
2015-06-30-22 29 38.350	-1.9899597 0.27482605 7.021057
2015-06-30-22 29 38.355	-1.9994812 0.27363586 6.7913513
2015-06-30-22 29 38.360	-2.748108 -0.8475189 5.4393005
2015-06-30-22 29 38.366	-2.2732239 -0.119125366 6.018921
2015-06-30-22 29 38.370	-2.1875305 0.42121887 6.352173
2015-06-30-22 29 38.375	-2.2446594 0.11177063 5.7035217
2015-06-30-22 29 38.380	-1.7769165 0.48905945 5.5726013
2015-06-30-22 29 38.386	-1.394867 1.0996246 5.8891907
2015-06-30-22 29 38.393	-0.96640015 1.4685822 5.955841
2015-06-30-22 29 38.395	-0.401062 1.7387543 6.0224915
2015-06-30-22 29 38.400	-0.011871338 2.0720062 6.1510315
2015-06-30-22 29 38.406	0.38208008 2.3993073 6.3628845
2015-06-30-22 29 38.411	0.62249756 2.4980927 6.559265
2015-06-30-22 29 38.415	0.5689392 2.5099945 6.8699036
2015-06-30-22 29 38.420	0.48205566 2.4183502 7.0412903
2015-06-30-22 29 38.426	0.3463745 2.3314667 7.2948
2015-06-30-22 29 38.431	0.13214111 2.1648407 7.610199
2015-06-30-22 29 38.436	-0.022583008 2.0755768 7.8946533
2015-06-30-22 29 38.441	-0.011871338 2.0279694 8.348114
2015-06-30-22 29 38.446	0.10714722 1.9994049 8.786102
2015-06-30-22 29 38.452	0.17855835 1.9589386 9.193146
2015-06-30-22 29 38.456	-1.4162903 1.8803864 11.779419
2015-06-30-22 29 38.461	-2.420807 1.6578217 15.064331
2015-06-30-22 29 38.466	-0.8878479 1.7316132 15.198822
2015-06-30-22 29 38.471	-0.6902771 1.8184967 17.067413
2015-06-30-22 29 38.476	-0.81881714 1.6697235 17.225708
2015-06-30-22 29 38.481	-0.2939453 1.531662 16.717499
2015-06-30-22 29 38.486	0.0024108887 1.51857 16.070038
2015-06-30-22 29 38.492	0.01550293 1.6590118 15.227386
2015-06-30-22 29 38.497	0.31304932 1.5745087 14.081238
2015-06-30-22 29 38.501	0.61654663 1.4911957 13.140991
2015-06-30-22 29 38.508	0.87124634 1.4816742 12.355469
2015-06-30-22 29 38.511	1.1604614 1.4769135 11.628265
2015-06-30-22 29 38.516	1.0985718 1.5590363 10.990326
2015-06-30-22 29 38.522	0.901001 1.634018 10.305969
2015-06-30-22 29 38.527	0.72247314 1.864914 9.315735
2015-06-30-22 29 38.532	0.7319946 1.9565582 8.351685
2015-06-30-22 29 38.536	0.9569397 2.2350616 7.7030334
2015-06-30-22 29 38.542	1.3782654 2.4016876 7.566162
2015-06-30-22 29 38.548	1.8364868 2.3862152 7.578064
2015-06-30-22 29 38.552	2.2066345 2.1648407 7.7423096
2015-06-30-22 29 38.557	2.6053467 1.9922638 8.3255005
2015-06-30-22 29 38.562	2.9314575 1.743515 9.108643
2015-06-30-22 29 38.567	3.1992493 1.595932 10.189331
2015-06-30-22 29 38.572	3.3099365 1.5149994 11.225983
2015-06-30-22 29 38.577	3.2730408 1.4733429 11.996033
2015-06-30-22 29 38.582	3.1421204 1.416214 12.543518
2015-06-30-22 29 38.587	3.0469055 1.2971954 12.650635
2015-06-30-22 29 38.592	3.2528076 1.1281891 12.670868
2015-06-30-22 29 38.597	3.6503296 0.9151459 12.331665
2015-06-30-22 29 38.604	4.1240234 0.51524353 11.641357
2015-06-30-22 29 38.608	4.1240234 0.51524353 11.641357
2015-06-30-22 29 38.612	4.1871033 0.4426422 11.416412
2015-06-30-22 29 38.617	4.159729 0.59617615 11.316437
2015-06-30-22 29 38.622	3.9371643 0.86039734 11.443787
2015-06-30-22 29 38.628	3.4872742 1.1246185 11.533051
2015-06-30-22 29 38.632	3.0849915 1.4257355 11.862732
2015-06-30-22 29 38.637	2.7196045 1.6673431 11.965088
2015-06-30-22 29 38.642	2.2709045 1.7685089 12.188843
2015-06-30-22 29 38.649	2.1245117 1.7387543 12.205505
2015-06-30-22 29 38.652	1.9519348 1.628067 12.288818
2015-06-30-22 29 38.657	2.0150146 1.5459442 12.275726
2015-06-30-22 29 38.662	2.1054688 1.2936249 12.113861
2015-06-30-22 29 38.668	2.1852112 1.0722504 11.971039
2015-06-30-22 29 38.673	2.2459106 0.78660583 11.65564
2015-06-30-22 29 38.677	2.2518616 0.5271454 11.189087
2015-06-30-22 29 38.683	2.1185608 0.38789368 10.799896
2015-06-30-22 29 38.688	1.8424377 0.40693665 10.44046
2015-06-30-22 29 38.693	1.4306335 0.47001648 10.204803
2015-06-30-22 29 38.698	0.91052246 0.6830597 9.983429
2015-06-30-22 29 38.703	0.90457153 0.7711334 9.919159
2015-06-30-22 29 38.708	0.95336914 0.77708435 9.709686
2015-06-30-22 29 38.713	1.0212097 0.8877716 9.504974
2015-06-30-22 29 38.718	0.9807434 0.9306183 9.401428
2015-06-30-22 29 38.723	0.9176636 0.97346497 9.265747
2015-06-30-22 29 38.729	0.88671875 0.98179626 9.0896
2015-06-30-22 29 38.733	0.76174927 1.0305939 8.950348
2015-06-30-22 29 38.738	0.63916016 1.153183 9.061035
2015-06-30-22 29 38.743	0.64630127 1.3079071 8.978912
2015-06-30-22 29 38.749	0.55822754 1.4400177 9.099121
2015-06-30-22 29 38.754	0.5856018 1.7125702 9.049133
2015-06-30-22 29 38.758	0.50704956 1.8423004 9.065796
2015-06-30-22 29 38.764	0.45706177 1.858963 9.2836
2015-06-30-22 29 38.769	0.3070984 1.8946686 9.28598
2015-06-30-22 29 38.773	0.1749878 1.7970734 9.213379
2015-06-30-22 29 38.778	0.18093872 1.7708893 9.068176
2015-06-30-22 29 38.783	0.18093872 1.7339935 8.752777
2015-06-30-22 29 38.789	0.2487793 1.7482758 8.45166
2015-06-30-22 29 38.793	0.19760132 1.7375641 8.074371
2015-06-30-22 29 38.799	0.18927002 1.7375641 7.6839905
2015-06-30-22 29 38.804	0.1821289 1.7708893 7.2293396
2015-06-30-22 29 38.809	0.3796997 1.6399689 6.790161
2015-06-30-22 29 38.814	0.43444824 1.7197113 6.404541
2015-06-30-22 29 38.819	0.3225708 1.9363251 5.9391785
2015-06-30-22 29 38.824	0.07144165 2.135086 5.6511536
2015-06-30-22 29 38.829	-0.2296753 2.385025 5.5606995
2015-06-30-22 29 38.834	-0.26776123 2.5397491 5.448822
2015-06-30-22 29 38.839	-0.3617859 2.6492462 5.5749817
2015-06-30-22 29 38.844	-0.368927 2.7658844 5.56308
2015-06-30-22 29 38.849	-0.40701294 2.775406 5.614258
2015-06-30-22 29 38.854	-0.6010132 2.9003754 5.847534
2015-06-30-22 29 38.859	-0.7581177 3.0241547 6.0224915
2015-06-30-22 29 38.864	-0.95687866 3.0848541 6.314087
2015-06-30-22 29 38.869	-1.0199585 3.1943512 6.603302
2015-06-30-22 29 38.874	-0.9283142 3.199112 6.963928
2015-06-30-22 29 38.879	-0.8152466 3.2014923 7.2174377
2015-06-30-22 29 38.884	-0.64505005 3.2419586 7.589966
2015-06-30-22 29 38.889	-0.44033813 3.3478851 7.969635
2015-06-30-22 29 38.894	-0.04638672 3.3419342 8.329071
2015-06-30-22 29 38.899	0.39041138 3.5192719 8.555206
2015-06-30-22 29 38.906	1.2390137 3.9096527 8.763489
2015-06-30-22 29 38.910	1.722229 3.725174 8.611145
2015-06-30-22 29 38.914	1.9007568 3.4859467 8.526642
2015-06-30-22 29 38.919	1.7615051 3.4657135 8.668274
2015-06-30-22 29 38.924	1.47229 3.3419342 8.730164
2015-06-30-22 29 38.930	1.099762 3.2610016 8.839661
2015-06-30-22 29 38.934	0.5439453 3.2229156 9.005096
2015-06-30-22 29 38.939	0.07977295 3.212204 9.274078
2015-06-30-22 29 38.945	-0.43200684 3.2871857 9.781097
