2015-07-01-23 42 35.250	0.07501221 5.310501 11.609222
2015-07-01-23 42 35.255	-0.060668945 4.1191254 11.327148
2015-07-01-23 42 35.260	0.30233765 2.5814056 10.286926
2015-07-01-23 42 35.265	2.1947327 -0.07984924 8.1267395
2015-07-01-23 42 35.271	2.1947327 -0.07984924 8.1267395
2015-07-01-23 42 35.276	2.9064636 -0.8891754 7.720886
2015-07-01-23 42 35.282	2.7624512 -1.8282318 7.8970337
2015-07-01-23 42 35.287	2.4137268 -1.893692 8.233856
2015-07-01-23 42 35.291	2.3934937 -1.7544403 8.734924
2015-07-01-23 42 35.296	2.6481934 -1.4461823 9.3133545
2015-07-01-23 42 35.300	2.4553833 -0.7820587 10.132202
2015-07-01-23 42 35.307	1.2782898 0.3367157 11.540192
2015-07-01-23 42 35.311	0.08453369 1.5388031 12.995789
2015-07-01-23 42 35.316	-0.23919678 2.4028778 14.383545
2015-07-01-23 42 35.320	0.17617798 2.7111359 15.198822
2015-07-01-23 42 35.326	1.3032837 2.6040192 15.5047
2015-07-01-23 42 35.331	2.4161072 2.3302765 15.527313
2015-07-01-23 42 35.335	2.9945374 1.872055 14.908417
2015-07-01-23 42 35.341	3.037384 1.4709625 14.155029
2015-07-01-23 42 35.346	1.8840942 1.1567535 12.820831
2015-07-01-23 42 35.351	1.907898 0.72709656 11.553284
2015-07-01-23 42 35.356	2.0328674 0.3271942 10.108398
2015-07-01-23 42 35.362	2.4553833 -0.25004578 8.990814
2015-07-01-23 42 35.367	2.7886353 -0.6332855 8.369537
2015-07-01-23 42 35.373	2.5934448 -0.72969055 8.156494
2015-07-01-23 42 35.376	1.9186096 -0.5297394 8.06485
2015-07-01-23 42 35.381	1.2402039 -0.21195984 8.280273
2015-07-01-23 42 35.386	0.59750366 0.1879425 8.717072
2015-07-01-23 42 35.391	0.18569946 0.4938202 9.09436
2015-07-01-23 42 35.396	-0.0071105957 0.75090027 9.596619
2015-07-01-23 42 35.401	-0.24276733 0.9377594 10.05603
2015-07-01-23 42 35.408	-0.54626465 0.99250793 10.510681
2015-07-01-23 42 35.412	-0.7247925 1.0353546 10.874878
2015-07-01-23 42 35.416	-0.83547974 1.1281891 11.140289
2015-07-01-23 42 35.422	-0.88308716 1.0401154 10.966522
2015-07-01-23 42 35.430	-0.9854431 0.7818451 10.789185
2015-07-01-23 42 35.432	-0.7914429 0.47477722 10.358337
2015-07-01-23 42 35.436	-0.61172485 0.10343933 9.678741
2015-07-01-23 42 35.446	-0.4093933 -0.32740784 8.857513
2015-07-01-23 42 35.451	-0.285614 -0.5856781 8.350494
2015-07-01-23 42 35.459	-0.11779785 -0.7249298 7.7089844
2015-07-01-23 42 35.461	0.008361816 -0.8594208 7.23172
2015-07-01-23 42 35.462	0.10714722 -0.92845154 6.78302
2015-07-01-23 42 35.469	0.16427612 -1.0986481 6.5818787
2015-07-01-23 42 35.474	0.26068115 -1.2950287 6.4212036
2015-07-01-23 42 35.477	0.39160156 -1.3509674 6.508087
2015-07-01-23 42 35.482	0.4630127 -1.3604889 6.71875
2015-07-01-23 42 35.487	0.3892212 -1.3509674 7.2102966
2015-07-01-23 42 35.492	0.2642517 -1.2950287 7.803009
2015-07-01-23 42 35.497	0.14761353 -1.1831512 8.549255
2015-07-01-23 42 35.502	0.1904602 -1.0736542 9.325256
2015-07-01-23 42 35.507	0.5058594 -1.0450897 10.107208
2015-07-01-23 42 35.513	0.9962158 -1.0641327 11.073639
2015-07-01-23 42 35.517	1.3354187 -0.9915314 12.057922
2015-07-01-23 42 35.523	1.080719 -0.8558502 12.851776
2015-07-01-23 42 35.527	0.6355896 -0.6523285 13.289764
2015-07-01-23 42 35.532	0.1666565 -0.4880829 13.417114
2015-07-01-23 42 35.537	-0.19515991 -0.47261047 13.340942
2015-07-01-23 42 35.542	-0.5010376 -0.5261688 13.115997
2015-07-01-23 42 35.547	-0.82476807 -0.5773468 12.900574
2015-07-01-23 42 35.553	-0.94140625 -0.8058624 12.4756775
2015-07-01-23 42 35.557	-0.8878479 -1.0189056 12.143616
2015-07-01-23 42 35.562	-0.86642456 -1.1165009 11.804413
2015-07-01-23 42 35.567	-0.92593384 -1.117691 11.608032
2015-07-01-23 42 35.573	-0.94021606 -1.0272369 11.302155
2015-07-01-23 42 35.577	-0.8985596 -0.8665619 10.82251
2015-07-01-23 42 35.582	-0.39868164 -0.26194763 9.826324
2015-07-01-23 42 35.588	0.046447754 0.18675232 8.693268
2015-07-01-23 42 35.593	-0.026153564 0.43788147 7.6982727
2015-07-01-23 42 35.597	-0.21658325 0.58784485 7.0055847
2015-07-01-23 42 35.602	-0.24990845 0.8449249 6.5283203
2015-07-01-23 42 35.608	0.5463257 1.1448517 6.083191
2015-07-01-23 42 35.613	1.4484863 1.3947906 6.0879517
2015-07-01-23 42 35.619	0.997406 1.762558 6.281952
2015-07-01-23 42 35.623	0.044067383 2.1493683 6.679474
2015-07-01-23 42 35.628	-0.47961426 2.4659576 7.1210327
2015-07-01-23 42 35.633	-0.87475586 2.6432953 7.2876587
2015-07-01-23 42 35.638	-1.3544006 2.7492218 7.7280273
2015-07-01-23 42 35.643	-1.6757507 2.6694794 7.823242
2015-07-01-23 42 35.648	-1.748352 2.4766693 7.906555
2015-07-01-23 42 35.654	-1.7840576 2.1434174 7.9006042
2015-07-01-23 42 35.658	-1.5495911 1.7375641 8.157684
2015-07-01-23 42 35.664	-1.1413574 1.3495636 8.38739
2015-07-01-23 42 35.669	-0.9021301 1.1948395 8.557587
2015-07-01-23 42 35.673	-0.7890625 1.3126678 8.827759
2015-07-01-23 42 35.678	-0.5510254 1.5709381 9.232422
2015-07-01-23 42 35.683	-0.15231323 1.9410858 9.633514
2015-07-01-23 42 35.688	0.15237427 2.3064728 10.084595
2015-07-01-23 42 35.693	0.3392334 2.5933075 10.490448
2015-07-01-23 42 35.698	0.44396973 2.7325592 10.834412
2015-07-01-23 42 35.704	1.0319214 2.7075653 10.82489
2015-07-01-23 42 35.709	2.569641 2.3600311 10.726105
2015-07-01-23 42 35.714	2.344696 2.3314667 10.734436
2015-07-01-23 42 35.718	2.0221558 2.462387 10.510681
2015-07-01-23 42 35.723	2.030487 2.7527924 10.195282
2015-07-01-23 42 35.729	1.9840698 2.9824982 9.894165
2015-07-01-23 42 35.734	1.7317505 3.3633575 9.632324
2015-07-01-23 42 35.738	1.6353455 3.5787811 9.213379
2015-07-01-23 42 35.744	1.5889282 3.70018 8.775391
2015-07-01-23 42 35.749	1.6210632 3.7584991 8.377869
2015-07-01-23 42 35.754	1.5306091 3.82872 8.111267
2015-07-01-23 42 35.759	1.4306335 3.878708 7.981537
2015-07-01-23 42 35.764	1.3913574 3.969162 7.949402
2015-07-01-23 42 35.771	0.9057617 3.7216034 7.68161
2015-07-01-23 42 35.775	0.9057617 3.7216034 7.68161
2015-07-01-23 42 35.779	0.37493896 3.3443146 7.8172913
2015-07-01-23 42 35.784	-0.30584717 2.9824982 7.9910583
2015-07-01-23 42 35.789	-1.0901794 2.0684357 8.310028
2015-07-01-23 42 35.794	-0.81881714 1.0282135 9.059845
2015-07-01-23 42 35.799	-0.20944214 0.2795868 9.778717
2015-07-01-23 42 35.804	0.03930664 -0.17625427 10.561859
2015-07-01-23 42 35.809	0.07977295 -0.15126038 11.508057
2015-07-01-23 42 35.815	0.41183472 0.11772156 12.322144
2015-07-01-23 42 35.819	0.97598267 0.53785706 13.038635
2015-07-01-23 42 35.824	1.6020203 1.1674652 13.976501
2015-07-01-23 42 35.829	2.2173462 1.7387543 14.794159
2015-07-01-23 42 35.834	2.6767578 2.198166 15.453522
2015-07-01-23 42 35.839	3.2658997 2.5992584 15.864136
2015-07-01-23 42 35.844	3.813385 2.8051605 16.196198
2015-07-01-23 42 35.853	4.204956 2.859909 16.27118
2015-07-01-23 42 35.857	4.462036 2.6718597 16.294983
2015-07-01-23 42 35.859	4.254944 2.442154 16.287842
2015-07-01-23 42 35.864	3.7015076 2.0779572 16.442566
2015-07-01-23 42 35.870	2.8279114 1.6530609 16.53421
2015-07-01-23 42 35.875	1.882904 1.230545 16.447327
2015-07-01-23 42 35.879	1.1402283 0.7473297 16.129547
2015-07-01-23 42 35.884	0.63201904 0.26768494 15.679657
2015-07-01-23 42 35.890	0.25234985 -0.16911316 15.276184
2015-07-01-23 42 35.895	-0.23324585 -0.4214325 14.782257
2015-07-01-23 42 35.900	-0.5653076 -0.5440216 14.513275
2015-07-01-23 42 35.905	-0.8902283 -0.6535187 14.193115
2015-07-01-23 42 35.910	-1.0913696 -0.60591125 13.812256
2015-07-01-23 42 35.915	-1.2615662 -0.45237732 13.063629
2015-07-01-23 42 35.921	-0.77716064 -0.19410706 10.843933
2015-07-01-23 42 35.925	-0.77716064 -0.19410706 10.843933
2015-07-01-23 42 35.930	-0.44747925 -0.34169006 9.783478
2015-07-01-23 42 35.935	-0.10827637 -0.54878235 8.7682495
2015-07-01-23 42 35.940	0.12261963 -0.59877014 8.19339
2015-07-01-23 42 35.945	0.6522522 -0.5832977 8.151733
2015-07-01-23 42 35.950	1.3068542 -0.40596008 8.563538
2015-07-01-23 42 35.955	2.074524 -0.16078186 9.008667
2015-07-01-23 42 35.960	2.710083 0.08201599 9.508545
2015-07-01-23 42 35.965	3.146881 0.3117218 9.933441
2015-07-01-23 42 35.971	3.6193848 0.8211212 10.527344
2015-07-01-23 42 35.975	3.6193848 0.8211212 10.527344
2015-07-01-23 42 35.980	3.440857 1.0912933 10.670166
2015-07-01-23 42 35.985	2.8029175 1.2079315 11.233124
2015-07-01-23 42 35.990	2.43396 1.2722015 11.350952
2015-07-01-23 42 35.996	1.972168 1.3019562 11.4664
2015-07-01-23 42 36.000	1.6793823 1.2150726 11.489014
2015-07-01-23 42 36.005	1.3377991 1.1162872 11.380707
2015-07-01-23 42 36.010	1.0081177 1.0270233 11.011749
2015-07-01-23 42 36.016	0.81173706 0.9377594 10.715393
