2015-07-10-13 10 29.264	-0.37606812 -0.72969055 6.763977
2015-07-10-13 10 29.270	0.3320923 -0.2881317 6.967499
2015-07-10-13 10 29.275	0.6939087 0.051071167 6.9448853
2015-07-10-13 10 29.280	-0.27252197 0.7401886 6.9151306
2015-07-10-13 10 29.284	-0.27252197 0.7401886 6.9151306
2015-07-10-13 10 29.289	-1.0270996 0.83540344 6.904419
2015-07-10-13 10 29.295	-1.6293335 0.9056244 6.8318176
2015-07-10-13 10 29.299	-2.4957886 0.8484955 6.988922
2015-07-10-13 10 29.306	-3.177765 0.86634827 6.924652
2015-07-10-13 10 29.309	-3.7859497 0.8544464 6.8234863
2015-07-10-13 10 29.315	-3.7930908 1.0353546 7.0805664
2015-07-10-13 10 29.321	-3.6062317 1.1924591 6.9841614
2015-07-10-13 10 29.326	-3.7383423 1.3769379 6.8580017
2015-07-10-13 10 29.331	-4.2394104 1.4459686 6.4021606
2015-07-10-13 10 29.335	-4.152527 1.6613922 6.174835
2015-07-10-13 10 29.341	-3.7895203 2.0529633 6.0546265
2015-07-10-13 10 29.345	-3.6812134 2.4052582 5.896332
2015-07-10-13 10 29.350	-3.4122314 2.705185 5.795166
2015-07-10-13 10 29.355	-4.3667603 3.0860443 4.891815
2015-07-10-13 10 29.361	-3.922821 3.4002533 4.645447
2015-07-10-13 10 29.365	-3.3884277 3.7692108 4.287201
2015-07-10-13 10 29.370	-2.132782 4.367874 3.9575195
2015-07-10-13 10 29.376	-1.1282654 4.892746 3.3552856
2015-07-10-13 10 29.382	-0.12374878 5.425949 3.1636658
2015-07-10-13 10 29.387	1.0366821 5.8913116 2.9613342
2015-07-10-13 10 29.390	1.9602661 5.977005 2.7578125
2015-07-10-13 10 29.395	2.318512 5.706833 2.5650024
2015-07-10-13 10 29.400	2.209015 5.0688934 2.3864746
2015-07-10-13 10 29.406	1.478241 4.163162 2.363861
2015-07-10-13 10 29.410	0.37374878 3.206253 2.7578125
2015-07-10-13 10 29.415	-0.65219116 2.423111 3.4362183
2015-07-10-13 10 29.422	-1.3591614 2.0232086 4.5526123
2015-07-10-13 10 29.427	-1.5603027 1.9137115 5.877289
2015-07-10-13 10 29.430	-1.3044128 1.813736 7.29718
2015-07-10-13 10 29.435	-1.1008911 1.5221405 10.810608
2015-07-10-13 10 29.441	-0.6664734 1.7661285 13.265961
2015-07-10-13 10 29.446	0.30471802 2.2422028 10.971283
2015-07-10-13 10 29.450	0.6915283 2.5207062 10.126251
2015-07-10-13 10 29.456	0.45706177 2.2910004 12.009125
2015-07-10-13 10 29.461	0.78912354 1.9565582 13.655151
2015-07-10-13 10 29.466	1.4734802 2.0279694 13.555176
2015-07-10-13 10 29.472	1.7626953 2.1684113 13.13266
2015-07-10-13 10 29.476	2.2506714 2.262436 13.183838
2015-07-10-13 10 29.481	3.0064392 2.3969269 13.231445
2015-07-10-13 10 29.488	3.4694214 2.7551727 11.971039
2015-07-10-13 10 29.491	3.3884888 2.9420319 10.709442
2015-07-10-13 10 29.496	2.979065 3.071762 10.24527
2015-07-10-13 10 29.501	3.2539978 3.2800446 10.485687
2015-07-10-13 10 29.506	3.4944153 3.6240082 10.95343
2015-07-10-13 10 29.511	3.788391 4.0858 11.203369
2015-07-10-13 10 29.516	3.8312378 4.5309296 11.628265
2015-07-10-13 10 29.521	3.6634216 4.759445 12.176941
2015-07-10-13 10 29.527	2.9695435 4.8498993 12.794647
2015-07-10-13 10 29.532	2.254242 4.6892242 13.697998
2015-07-10-13 10 29.539	1.5782166 4.6392365 15.033386
2015-07-10-13 10 29.541	1.1414185 4.527359 16.60205
2015-07-10-13 10 29.547	0.82839966 4.496414 18.036224
2015-07-10-13 10 29.551	0.3963623 4.3952484 18.978851
2015-07-10-13 10 29.556	0.07382202 4.2226715 19.590607
2015-07-10-13 10 29.561	-0.15707397 4.046524 19.828644
2015-07-10-13 10 29.567	-0.26776123 4.007248 19.891724
2015-07-10-13 10 29.571	-0.48199463 3.9798737 19.817932
