2015-07-02-18 11 49.325	-1.3627319 5.3712006 5.1774597
2015-07-02-18 11 49.330	-1.2080078 5.2878876 5.275055
2015-07-02-18 11 49.337	-1.061615 5.245041 5.352417
2015-07-02-18 11 49.341	-0.946167 5.135544 5.492859
2015-07-02-18 11 49.346	-0.84381104 5.085556 5.5880737
2015-07-02-18 11 49.351	-0.75097656 5.084366 5.6951904
2015-07-02-18 11 49.356	-0.72003174 5.0165253 5.7154236
2015-07-02-18 11 49.361	-0.60220337 4.9593964 5.8689575
2015-07-02-18 11 49.366	-0.6081543 4.912979 5.954651
2015-07-02-18 11 49.371	-0.38796997 4.943924 5.943939
2015-07-02-18 11 49.376	-0.3605957 4.9296417 6.1188965
2015-07-02-18 11 49.382	-0.28918457 4.9915314 6.1843567
2015-07-02-18 11 49.387	-0.2868042 5.0319977 6.1141357
2015-07-02-18 11 49.391	-0.2868042 5.0319977 6.1141357
2015-07-02-18 11 49.396	-0.26776123 5.1605377 6.179596
2015-07-02-18 11 49.402	-0.27252197 5.1914825 6.178406
2015-07-02-18 11 49.406	-0.33203125 5.2676544 6.1450806
2015-07-02-18 11 49.412	-0.29156494 5.3319244 6.166504
2015-07-02-18 11 49.417	-0.22253418 5.379532 6.1462708
2015-07-02-18 11 49.422	-0.19515991 5.4723663 5.9487
2015-07-02-18 11 49.426	-0.1546936 5.618759 5.922516
2015-07-02-18 11 49.432	-0.09161377 5.680649 6.024872
2015-07-02-18 11 49.437	-0.14279175 5.791336 6.0177307
2015-07-02-18 11 49.442	-0.14279175 5.791336 6.0177307
2015-07-02-18 11 49.447	-0.2284851 5.959152 6.540222
2015-07-02-18 11 49.452	-0.28918457 6.1602936 6.7270813
2015-07-02-18 11 49.457	-0.26657104 6.2162323 7.046051
2015-07-02-18 11 49.462	-0.2951355 6.2126617 7.2495728
2015-07-02-18 11 49.468	-0.4105835 6.2376556 7.4352417
2015-07-02-18 11 49.472	-0.39987183 6.3019257 7.6470947
2015-07-02-18 11 49.477	-0.38916016 6.3721466 7.7673035
2015-07-02-18 11 49.485	-0.4831848 6.450699 7.8827515
2015-07-02-18 11 49.487	-0.5772095 6.4423676 7.9541626
2015-07-02-18 11 49.492	-0.5664978 6.58519 8.216003
2015-07-02-18 11 49.497	-0.63671875 6.71492 8.263611
2015-07-02-18 11 49.502	-0.70098877 6.7958527 8.1267395
2015-07-02-18 11 49.507	-0.747406 6.9279633 8.486176
2015-07-02-18 11 49.512	-0.946167 7.2040863 8.604004
2015-07-02-18 11 49.519	-0.9806824 7.4099884 8.031525
2015-07-02-18 11 49.523	-0.5664978 7.4671173 7.661377
2015-07-02-18 11 49.527	-0.5081787 7.530197 7.341217
2015-07-02-18 11 49.532	-0.7390747 7.605179 7.3245544
2015-07-02-18 11 49.539	-0.7331238 7.7753754 7.3888245
2015-07-02-18 11 49.543	-0.77716064 8.072922 7.4804688
2015-07-02-18 11 49.547	-0.7950134 8.237167 7.474518
2015-07-02-18 11 49.552	-0.93307495 8.389511 7.9660645
2015-07-02-18 11 49.557	-0.9057007 8.5394745 8.225525
2015-07-02-18 11 49.563	-0.9854431 8.496628 8.57663
2015-07-02-18 11 49.569	-0.9306946 8.558517 8.780151
2015-07-02-18 11 49.572	-0.8569031 8.5204315 8.959869
2015-07-02-18 11 49.577	-0.79382324 8.3407135 9.28598
2015-07-02-18 11 49.584	-0.5891113 8.131241 9.427612
2015-07-02-18 11 49.587	-0.6176758 7.8932037 9.67041
2015-07-02-18 11 49.593	-0.4105835 7.74086 9.7239685
2015-07-02-18 11 49.598	-0.0809021 7.74086 9.819183
2015-07-02-18 11 49.603	0.33328247 7.921768 9.877502
2015-07-02-18 11 49.608	0.70224 8.12648 9.844177
2015-07-02-18 11 49.613	0.8641052 8.111008 9.847748
2015-07-02-18 11 49.618	0.5879822 7.875351 9.804901
2015-07-02-18 11 49.623	0.42016602 7.7837067 9.531158
2015-07-02-18 11 49.628	0.035736084 7.5313873 9.47403
2015-07-02-18 11 49.634	-0.3201294 7.4540253 9.508545
2015-07-02-18 11 49.638	-0.4677124 7.4242706 9.34906
2015-07-02-18 11 49.643	-0.53674316 7.324295 9.244324
2015-07-02-18 11 49.648	-0.7319336 7.376663 9.253845
2015-07-02-18 11 49.653	-0.8057251 7.400467 9.406189
2015-07-02-18 11 49.658	-0.85809326 7.195755 9.258606
2015-07-02-18 11 49.663	-0.7069397 6.9565277 9.616852
2015-07-02-18 11 49.668	-0.71051025 6.6589813 9.79657
2015-07-02-18 11 49.673	-0.5105591 6.528061 9.915588
2015-07-02-18 11 49.678	-0.14398193 6.3019257 9.915588
2015-07-02-18 11 49.684	0.23925781 6.1983795 9.825134
2015-07-02-18 11 49.689	0.50704956 6.026993 9.902496
2015-07-02-18 11 49.693	0.8676758 6.0043793 9.73111
2015-07-02-18 11 49.698	1.1937866 5.9722443 9.613281
2015-07-02-18 11 49.704	1.6889038 6.0305634 9.370483
2015-07-02-18 11 49.708	2.0031128 6.0519867 8.939636
2015-07-02-18 11 49.713	2.4113464 6.1519623 8.414764
2015-07-02-18 11 49.718	2.8207703 6.144821 7.9291687
2015-07-02-18 11 49.724	2.9754944 6.1983795 7.367401
2015-07-02-18 11 49.728	3.0980835 6.1352997 6.803253
2015-07-02-18 11 49.734	3.1956787 6.111496 6.2974243
2015-07-02-18 11 49.739	3.1897278 5.9877167 5.866577
2015-07-02-18 11 49.744	3.0992737 5.8806 5.4464417
2015-07-02-18 11 49.749	3.198059 5.771103 5.185791
2015-07-02-18 11 49.754	3.2456665 5.6865997 5.0417786
2015-07-02-18 11 49.759	3.2349548 5.6413727 5.057251
2015-07-02-18 11 49.764	3.114746 5.5247345 5.1060486
2015-07-02-18 11 49.769	3.0397644 5.4461823 5.1441345
2015-07-02-18 11 49.774	3.1302185 5.2950287 5.1893616
2015-07-02-18 11 49.779	3.1385498 5.214096 5.3619385
2015-07-02-18 11 49.784	3.1742554 5.123642 5.519043
2015-07-02-18 11 49.789	3.1373596 5.0641327 5.7356567
2015-07-02-18 11 49.794	3.1111755 4.9665375 5.8880005
2015-07-02-18 11 49.799	3.0469055 4.815384 5.9510803
2015-07-02-18 11 49.804	2.9957275 4.784439 5.910614
2015-07-02-18 11 49.809	2.748169 4.572586 5.56546
2015-07-02-18 11 49.814	2.4458618 4.386917 5.713043
2015-07-02-18 11 49.819	2.2518616 4.1774445 5.7737427
2015-07-02-18 11 49.825	1.9793091 3.9417877 5.768982
2015-07-02-18 11 49.829	1.882904 3.7037506 5.7999268
2015-07-02-18 11 49.834	1.6996155 3.5299835 5.8760986
2015-07-02-18 11 49.841	1.5603638 3.3300323 6.0415344
2015-07-02-18 11 49.845	1.4234924 3.0872345 6.239105
2015-07-02-18 11 49.849	1.2842407 2.9729767 6.4783325
2015-07-02-18 11 49.854	1.1473694 2.8944244 6.724701
2015-07-02-18 11 49.860	0.914093 2.814682 6.9329834
2015-07-02-18 11 49.865	0.6284485 2.9122772 7.110321
2015-07-02-18 11 49.869	0.471344 2.9265594 6.97464
2015-07-02-18 11 49.875	-0.70336914 2.9444122 8.268372
2015-07-02-18 11 49.880	-1.0318604 3.2371979 9.378815
2015-07-02-18 11 49.885	0.20236206 3.533554 7.046051
2015-07-02-18 11 49.890	0.6689148 3.5740204 6.199829
2015-07-02-18 11 49.895	-0.61053467 3.5180817 6.8580017
2015-07-02-18 11 49.900	-1.3532104 3.5049896 7.0686646
2015-07-02-18 11 49.905	-0.5855408 3.6180573 6.230774
2015-07-02-18 11 49.910	0.17260742 3.7525482 5.160797
2015-07-02-18 11 49.915	0.21664429 3.713272 5.039398
2015-07-02-18 11 49.920	-0.05709839 3.776352 5.3881226
2015-07-02-18 11 49.925	0.05239868 3.9037018 5.359558
2015-07-02-18 11 49.930	0.2487793 4.175064 5.43692
2015-07-02-18 11 49.935	0.43920898 4.3773956 5.319092
2015-07-02-18 11 49.941	0.6355896 4.4023895 5.2024536
2015-07-02-18 11 49.946	0.8248291 4.354782 5.1560364
2015-07-02-18 11 49.951	1.0343018 4.3393097 5.076294
2015-07-02-18 11 49.957	1.2449646 4.379776 5.127472
2015-07-02-18 11 49.960	1.4223022 4.397629 5.2643433
2015-07-02-18 11 49.966	1.5544128 4.451187 5.4131165
2015-07-02-18 11 49.970	1.5496521 4.3904877 5.742798
2015-07-02-18 11 49.975	1.440155 4.391678 6.0736694
2015-07-02-18 11 49.980	1.3901672 4.432144 6.5307007
2015-07-02-18 11 49.986	1.2199707 4.4035797 6.7485046
2015-07-02-18 11 49.992	0.9295654 4.3500214 7.3888245
2015-07-02-18 11 49.995	0.9295654 4.3500214 7.3888245
2015-07-02-18 11 50.000	0.69033813 4.3690643 7.842285
2015-07-02-18 11 50.006	0.35827637 4.4154816 8.379059
2015-07-02-18 11 50.010	-0.0047302246 4.558304 8.659943
2015-07-02-18 11 50.016	-0.30703735 4.579727 8.789673
2015-07-02-18 11 50.021	-0.48675537 4.682083 8.733734
2015-07-02-18 11 50.026	-0.7319336 4.7415924 8.765869
2015-07-02-18 11 50.031	-0.85928345 4.8784637 8.6528015
2015-07-02-18 11 50.036	-0.99020386 5.0998383 8.712311
2015-07-02-18 11 50.041	-1.0913696 5.3188324 8.695648
2015-07-02-18 11 50.046	-1.0925598 5.6092377 8.675415
2015-07-02-18 11 50.051	-1.0949402 5.860367 8.648041
2015-07-02-18 11 50.056	-1.1592102 6.149582 8.427856
2015-07-02-18 11 50.061	-1.5805359 6.561386 8.461182
2015-07-02-18 11 50.066	-1.8792725 6.9886627 8.392151
2015-07-02-18 11 50.071	-2.2315674 7.1588593 8.300507
2015-07-02-18 11 50.076	-2.4886475 7.2897797 8.150543
2015-07-02-18 11 50.081	-2.7945251 7.254074 8.039856
2015-07-02-18 11 50.087	-3.030182 7.2564545 7.943451
2015-07-02-18 11 50.091	-3.1515808 7.279068 7.9529724
2015-07-02-18 11 50.096	-3.1384888 7.264786 8.074371
2015-07-02-18 11 50.102	-3.2860718 7.2386017 8.38739
2015-07-02-18 11 50.106	-3.2467957 7.0529327 8.667084
2015-07-02-18 11 50.111	-3.0135193 6.9172516 9.051514
2015-07-02-18 11 50.116	-2.7647705 6.7244415 9.6716
2015-07-02-18 11 50.121	-2.6278992 6.5839996 10.24765
2015-07-02-18 11 50.127	-2.4957886 6.4864044 10.879639
2015-07-02-18 11 50.131	-2.4184265 6.606613 11.563995
2015-07-02-18 11 50.137	-2.242279 6.874405 12.326904
2015-07-02-18 11 50.143	-2.4505615 6.950577 13.176697
2015-07-02-18 11 50.148	-2.9718628 6.6268463 13.243347
2015-07-02-18 11 50.151	-3.5752869 6.07341 13.236206
2015-07-02-18 11 50.156	-3.6324158 5.456894 9.238373
2015-07-02-18 11 50.162	-4.244171 5.2426605 12.987457
2015-07-02-18 11 50.167	-4.409607 5.028427 13.4123535
2015-07-02-18 11 50.172	-4.358429 4.835617 13.650391
2015-07-02-18 11 50.177	-4.295349 4.8189545 13.514709
2015-07-02-18 11 50.182	-3.954956 4.699936 13.718231
2015-07-02-18 11 50.188	-3.8287964 4.488083 13.730133
2015-07-02-18 11 50.192	-3.755005 4.109604 13.878906
2015-07-02-18 11 50.197	-3.6109924 3.7918243 13.613495
2015-07-02-18 11 50.202	-3.4705505 3.5609283 13.4635315
2015-07-02-18 11 50.207	-3.1813354 3.4264374 13.340942
2015-07-02-18 11 50.212	-2.967102 3.3431244 13.161224
2015-07-02-18 11 50.217	-2.8183289 3.212204 13.231445
2015-07-02-18 11 50.222	-2.8266602 3.1181793 13.32666
2015-07-02-18 11 50.227	-2.9766235 3.064621 13.207642
2015-07-02-18 11 50.232	-3.236084 2.9991608 13.236206
2015-07-02-18 11 50.237	-3.5324402 2.9467926 13.0660095
2015-07-02-18 11 50.242	-3.8894958 2.9991608 12.723236
2015-07-02-18 11 50.248	-4.3227234 2.8825226 12.442352
2015-07-02-18 11 50.252	-4.628601 2.724228 12.001984
2015-07-02-18 11 50.257	-4.8868713 2.5885468 11.72348
2015-07-02-18 11 50.262	-4.9344788 2.5099945 11.33667
2015-07-02-18 11 50.268	-4.982086 2.4207306 11.155762
2015-07-02-18 11 50.272	-5.0606384 2.230301 10.920105
2015-07-02-18 11 50.277	-5.0737305 2.0672455 10.559479
2015-07-02-18 11 50.283	-4.853546 1.9922638 10.152435
2015-07-02-18 11 50.288	-4.710724 1.9053802 9.664459
2015-07-02-18 11 50.294	-4.511963 1.8661041 9.297882
2015-07-02-18 11 50.297	-4.198944 1.961319 8.867035
2015-07-02-18 11 50.303	-3.8406982 1.9720306 8.379059
2015-07-02-18 11 50.308	-3.6419373 2.038681 7.949402
2015-07-02-18 11 50.313	-3.525299 2.1291351 7.340027
2015-07-02-18 11 50.318	-3.3098755 2.0874786 6.8115845
2015-07-02-18 11 50.323	-3.1646729 2.1267548 6.3057556
2015-07-02-18 11 50.328	-2.9944763 2.1743622 5.745178
2015-07-02-18 11 50.333	-2.831421 2.1362762 5.2143555
2015-07-02-18 11 50.338	-2.6802673 2.102951 4.8489685
2015-07-02-18 11 50.344	-2.4672241 2.1231842 4.4383545
2015-07-02-18 11 50.348	-2.3470154 2.1743622 4.101532
2015-07-02-18 11 50.353	-2.0982666 2.2124481 3.4957275
