2015-07-02-18 13 31.327	2.3982544 5.5640106 5.718994
2015-07-02-18 13 31.331	2.318512 5.347397 5.545227
2015-07-02-18 13 31.337	2.1483154 5.2557526 5.321472
2015-07-02-18 13 31.342	1.998352 5.1093597 5.3119507
2015-07-02-18 13 31.348	1.7876892 4.9677277 5.2655334
2015-07-02-18 13 31.352	1.6103516 4.840378 5.1179504
2015-07-02-18 13 31.357	1.4104004 4.705887 5.031067
2015-07-02-18 13 31.364	1.1842651 4.5106964 4.979889
2015-07-02-18 13 31.368	1.0045471 4.346451 4.92276
2015-07-02-18 13 31.372	0.90457153 4.1334076 4.871582
2015-07-02-18 13 31.380	0.77841187 3.9513092 4.79541
2015-07-02-18 13 31.383	0.6260681 3.796585 4.6823425
2015-07-02-18 13 31.390	0.58917236 3.629959 4.621643
2015-07-02-18 13 31.393	0.41540527 3.4276276 4.47406
2015-07-02-18 13 31.398	0.38327026 3.244339 4.199127
2015-07-02-18 13 31.403	0.26187134 3.1086578 3.8373108
2015-07-02-18 13 31.408	0.22140503 2.9634552 3.5683289
2015-07-02-18 13 31.414	0.13095093 2.8837128 3.1922302
2015-07-02-18 13 31.418	0.032165527 2.7551727 2.920868
2015-07-02-18 13 31.424	-0.029724121 2.6230621 2.6721191
2015-07-02-18 13 31.430	-0.30465698 2.5528412 2.3341064
2015-07-02-18 13 31.433	-0.5069885 2.4719086 2.0139465
2015-07-02-18 13 31.438	-0.7747803 2.423111 1.8687439
2015-07-02-18 13 31.443	-0.90927124 2.4504852 1.7640076
2015-07-02-18 13 31.448	-1.0675659 2.5528412 1.8925476
2015-07-02-18 13 31.453	-1.2853699 2.7206573 2.0889282
2015-07-02-18 13 31.459	-1.5603027 2.8158722 2.3412476
2015-07-02-18 13 31.464	-1.7650146 2.9860687 2.54953
2015-07-02-18 13 31.468	-2.1482544 3.1134186 2.8482666
2015-07-02-18 13 31.474	-2.427948 3.2395782 3.094635
2015-07-02-18 13 31.478	-2.677887 3.3716888 3.4707336
2015-07-02-18 13 31.483	-2.9171143 3.5561676 3.96109
2015-07-02-18 13 31.489	-3.095642 3.7275543 4.4335938
2015-07-02-18 13 31.493	-3.306305 3.9774933 4.9906006
2015-07-02-18 13 31.498	-3.3991394 4.1334076 5.5559387
2015-07-02-18 13 31.503	-3.5788574 4.257187 6.191498
2015-07-02-18 13 31.509	-3.7645264 4.47023 6.749695
2015-07-02-18 13 31.513	-3.8478394 4.5951996 7.374542
2015-07-02-18 13 31.518	-4.10849 4.7487335 8.006531
2015-07-02-18 13 31.524	-4.3679504 4.8844147 8.731354
2015-07-02-18 13 31.529	-4.6321716 4.9998627 9.4930725
2015-07-02-18 13 31.534	-5.218933 4.8844147 9.739441
2015-07-02-18 13 31.539	-7.162506 3.725174 8.650421
2015-07-02-18 13 31.544	-6.9530334 4.3262177 8.214813
2015-07-02-18 13 31.549	-6.5888367 4.764206 9.278839
2015-07-02-18 13 31.555	-7.1851196 4.808243 9.696594
2015-07-02-18 13 31.560	-6.9018555 5.3247833 11.268829
